Phy,Name,EFN
Acanthognathus_ocellatus,Acanthognathus ocellatus,0
Acanthomyrmex_ferox,Acanthomyrmex ferox,0
Acanthostichus_brevicornis,Acanthostichus brevicornis,0
Acanthostichus_quadratus,Acanthostichus quadratus,0
Acromyrmex_ambiguus,Acromyrmex ambiguus,0
Acromyrmex_balzani,Acromyrmex balzani,0
Acromyrmex_echinatior,Acromyrmex echinatior,0
Acromyrmex_heyeri,Acromyrmex heyeri,0
Acromyrmex_landolti,Acromyrmex landolti,0
Acromyrmex_lundii,Acromyrmex lundii,0
Acromyrmex_octospinosus,Acromyrmex octospinosus,0
Acromyrmex_striatus,Acromyrmex striatus,0
Acromyrmex_versicolor,Acromyrmex versicolor,0
Acropyga_acutiventris,Acropyga acutiventris,0
Acropyga_epedana,Acropyga epedana,0
Adlerzia_froggatti,Adlerzia froggatti,0
Aenictus_aratus,Aenictus aratus,0
Aenictus_ceylonicus,Aenictus ceylonicus,0
Aenictus_eugenii,Aenictus eugenii,0
Aenictus_laeviceps,Aenictus laeviceps,0
Aenictus_rotundatus,Aenictus rotundatus,0
Aenictus_turneri,Aenictus turneri,0
Allomerus_decemarticulatus,Allomerus decemarticulatus,1
Allomerus_octoarticulatus,Allomerus octoarticulatus,0
Amblyopone_australis,Amblyopone australis,0
Aneuretus_simoni,Aneuretus simoni,0
Anillomyrma_decamera,Anillomyrma decamera,0
Anochetus_ghilianii,Anochetus ghilianii,0
Anochetus_grandidieri,Anochetus grandidieri,0
Anochetus_mayri,Anochetus mayri,0
Anochetus_princeps,Anochetus princeps,0
Anomalomyrma_boltoni,Anomalomyrma boltoni,0
Anonychomyrma_gilberti,Anonychomyrma gilberti,1
Anonychomyrma_itinerans,Anonychomyrma itinerans,0
Anoplolepis_custodiens,Anoplolepis custodiens,0
Anoplolepis_gracilipes,Anoplolepis gracilipes,1
Aphaenogaster_araneoides,Aphaenogaster araneoides,0
Aphaenogaster_balcanica,Aphaenogaster balcanica,0
Aphaenogaster_boulderensis,Aphaenogaster boulderensis,0
Aphaenogaster_carolinensis,Aphaenogaster carolinensis,0
Aphaenogaster_flemingi,Aphaenogaster flemingi,0
Aphaenogaster_floridana,Aphaenogaster floridana,0
Aphaenogaster_fulva,Aphaenogaster fulva,0
Aphaenogaster_huachucana,Aphaenogaster huachucana,0
Aphaenogaster_japonica,Aphaenogaster japonica,0
Aphaenogaster_lamellidens,Aphaenogaster lamellidens,0
Aphaenogaster_mariae,Aphaenogaster mariae,0
Aphaenogaster_megommata,Aphaenogaster megommata,0
Aphaenogaster_miamiana,Aphaenogaster miamiana,0
Aphaenogaster_occidentalis,Aphaenogaster occidentalis,0
Aphaenogaster_picea,Aphaenogaster picea,0
Aphaenogaster_pythia,Aphaenogaster pythia,0
Aphaenogaster_rudis,Aphaenogaster rudis,0
Aphaenogaster_senilis,Aphaenogaster senilis,0
Aphaenogaster_swammerdami,Aphaenogaster swammerdami,0
Aphaenogaster_tennesseensis,Aphaenogaster tennesseensis,0
Aphaenogaster_texana,Aphaenogaster texana,0
Aphaenogaster_treatae,Aphaenogaster treatae,0
Aphomomyrmex_afer,Aphomomyrmex afer,0
Apomyrma_stygia,Apomyrma stygia,0
Apterostigma_collare,Apterostigma collare,0
Apterostigma_dentigerum,Apterostigma dentigerum,0
Apterostigma_megacephala,Apterostigma megacephala,0
Apterostigma_pilosum,Apterostigma pilosum,0
Apterostigma_steigeri,Apterostigma steigeri,0
Aptinoma_antongil,Aptinoma antongil,0
Aptinoma_mangabe,Aptinoma mangabe,0
Atopomyrmex_mocquerysi,Atopomyrmex mocquerysi,0
Atta_bisphaerica,Atta bisphaerica,0
Atta_cephalotes,Atta cephalotes,0
Atta_colombica,Atta colombica,0
Atta_laevigata,Atta laevigata,0
Atta_mexicana,Atta mexicana,0
Atta_robusta,Atta robusta,0
Atta_texana,Atta texana,0
Austromorium_flavigaster,Austromorium flavigaster,0
Azteca_beltii,Azteca beltii,0
Azteca_instabilis,Azteca instabilis,0
Azteca_oecocordia,Azteca oecocordia,0
Azteca_ovaticeps,Azteca ovaticeps,0
Azteca_pittieri,Azteca pittieri,0
Azteca_schimperi,Azteca schimperi,0
Basiceros_manni,Basiceros manni,0
Blepharidatta_brasiliensis,Blepharidatta brasiliensis,0
Blepharidatta_conops,Blepharidatta conops,0
Bothriomyrmex_meridionalis,Bothriomyrmex meridionalis,0
Bothriomyrmex_paradoxus,Bothriomyrmex paradoxus,0
Bothriomyrmex_saundersi,Bothriomyrmex saundersi,0
Brachymyrmex_depilis,Brachymyrmex depilis,1
Brachyponera_chinensis,Brachyponera chinensis,0
Brachyponera_sennaarensis,Brachyponera sennaarensis,0
Buniapone_amblyops,Buniapone amblyops,0
Calyptomyrmex_beccarii,Calyptomyrmex beccarii,0
Camponotus_americanus,Camponotus americanus,0
Camponotus_aurocinctus,Camponotus aurocinctus,0
Camponotus_castaneus,Camponotus castaneus,0
Camponotus_clarithorax,Camponotus clarithorax,0
