Phy,n_introduced_ranges
Acromyrmex_coronatus,1
Acromyrmex_lobicornis,1
Acromyrmex_lundii,1
Acromyrmex_octospinosus,2
Acromyrmex_octospinosus cubanus,1
Adelomyrmex_myops,1
Amblyopone_australis,2
Anochetus_emarginatus,1
Anochetus_ghilianii,1
Anochetus_graeffei,19
Anochetus_mayri,3
Anochetus_sedilloti,2
Anonychomyrma_itinerans,1
Anoplolepis_custodiens,1
Anoplolepis_gracilipes,56
Anoplolepis_steingroeveri gertrudae,1
Aphaenogaster_gemella,2
Aphaenogaster_iberica,2
Aphaenogaster_longiceps,1
Aphaenogaster_ovaticeps,1
Aphaenogaster_senilis,3
Aphaenogaster_splendida,7
Aphaenogaster_subterranea,1
Atta_laevigata,1
Azteca_constructor,1
Azteca_flavigaster,1
Brachymyrmex_aphidicola,2
Brachymyrmex_australis,2
Brachymyrmex_cordemoyi,12
Brachymyrmex_heeri,5
Brachymyrmex_minutus,2
Brachymyrmex_obscurior,15
Brachymyrmex_patagonicus,9
Brachymyrmex_termitophilus,1
Brachyponera_chinensis,7
Brachyponera_luteipes,5
Brachyponera_obscurans,1
Brachyponera_sennaarensis,6
Camponotus_aegyptiacus,1
Camponotus_aeneopilosus,1
Camponotus_atriceps,5
Camponotus_barbaricus,1
Camponotus_bishamon,1
Camponotus_brevis,1
Camponotus_britteni,2
Camponotus_bugnioni,2
Camponotus_canescens,1
Camponotus_chloroticus,1
Camponotus_chromaiodes,1
Camponotus_compressus,2
Camponotus_conspicuus zonatus,3
Camponotus_essigi,1
Camponotus_exiguoguttatus,1
Camponotus_fabricator,1
Camponotus_fallax,4
Camponotus_fastigatus,1
Camponotus_floridanus,2
Camponotus_hemichlaena,1
Camponotus_herculeanus,4
Camponotus_hova,1
Camponotus_irritans,1
Camponotus_irritans carinifer,1
Camponotus_itoi,1
Camponotus_keihitoi,1
Camponotus_maculatus,7
Camponotus_mitis,1
Camponotus_modoc,1
Camponotus_mus,1
Camponotus_navigator,1
Camponotus_nawai,1
Camponotus_nearcticus,1
Camponotus_nigroaeneus,1
Camponotus_novaeboracensis,2
Camponotus_novaehollandiae,1
Camponotus_novogranadensis,2
Camponotus_nylanderi,1
Camponotus_obscuripes,2
Camponotus_pennsylvanicus,7
Camponotus_perrisii nigeriensis,1
Camponotus_planatus,7
Camponotus_planatus continentis,1
Camponotus_rectangularis,1
Camponotus_sayi,1
Camponotus_sericeiventris rex,1
Camponotus_sericeus,1
Camponotus_sexguttatus,4
Camponotus_sexguttatus biguttatus,1
Camponotus_singularis,1
Camponotus_snellingi,1
Camponotus_sylvaticus,2
Camponotus_tergestinus,1
Camponotus_thoracicus,1
Camponotus_tortuganus,3
Camponotus_ustus,1
Camponotus_vagus,2
Camponotus_variegatus,4
Camponotus_werthi,1
Cardiocondyla_batesii,1
Cardiocondyla_breviscapa,1
Cardiocondyla_britteni,1
Cardiocondyla_emeryi,71
Cardiocondyla_fajumensis,1
Cardiocondyla_itsukii,9
Cardiocondyla_kagutsuchi,20
Cardiocondyla_mauritanica,30
Cardiocondyla_minutior,60
Cardiocondyla_nigra,1
Cardiocondyla_nuda,14
Cardiocondyla_obscurior,38
Cardiocondyla_strigifrons,6
Cardiocondyla_tjibodana,7
Cardiocondyla_venustula,12
Cardiocondyla_wroughtonii,38
Carebara_affinis,2
Carebara_diversa,4
Cataglyphis_nodus,1
Cataulacus_intrudens,1
Cephalotes_curvistriatus,1
Cephalotes_maculatus,1
Cephalotes_pusillus,1
Chelaner_antarcticus,2
Colobopsis_mississippiensis,1
Colobopsis_truncata,4
Crematogaster_algirica,1
Crematogaster_ashmeadi,2
Crematogaster_bicolor,1
Crematogaster_carinata,1
Crematogaster_coarctata,1
Crematogaster_crinosa,1
Crematogaster_curvispinosa,1
Crematogaster_egidyi,1
Crematogaster_inermis,2
Crematogaster_irritabilis,1
Crematogaster_lineolata,1
Crematogaster_nawai,1
Crematogaster_obscurata,4
Crematogaster_peringueyi,1
Crematogaster_rochai,1
Crematogaster_rogenhoferi,1
Crematogaster_scutellaris,2
Crematogaster_sordidula,2
Crematogaster_steinheili,1
Crematogaster_subdentata,2
Crematogaster_teranishii,1
Crematogaster_terminalis,1
Crematogaster_torosa,1
Cryptopone_testacea,1
Cylindromyrmex_whymperi,1
Cyphomyrmex_rimosus,3
Cyphomyrmex_salvini,1
Diacamma_indicum,1
Diacamma_rugosum,2
Diacamma_vagans,2
Doleromyrma_darwiniana,1
Dolichoderus_lutosus,1
Dolichoderus_quadripunctatus,1
Dolichoderus_thoracicus,5
Dorylus_fulvus,2
Ectatomma_brunneum,1
Ectatomma_ruidum,1
Erromyrma_latinodis,12
Formica_fusca,1
Formica_obscuripes,1
Formica_paralugubris,2
Formica_rufa,1
Formica_rufibarbis,1
Formica_subpolita,1
Gnamptogenys_porcata,1
Gnamptogenys_regularis,1
Gnamptogenys_striatula,2
Gnamptogenys_triangularis,3
Hypoponera_boerorum,1
Hypoponera_confinis,5
Hypoponera_eduardi,15
Hypoponera_elliptica,1
Hypoponera_ergatandria,23
Hypoponera_gibbinota,1
Hypoponera_opaciceps,28
Hypoponera_opaciceps pampana,4
Hypoponera_opacior,6
Hypoponera_punctatissima,80
Hypoponera_punctatissima indifferens,1
Hypoponera_ragusai,39
Hypoponera_trigona,1
Hypoponera_zwaluwenburgi,1
Iridomyrmex_anceps,5
Iridomyrmex_chasei,1
Iridomyrmex_cyaneus,1
Iridomyrmex_minor,1
Iridomyrmex_purpureus,1
Iridomyrmex_rufoniger,1
Iridomyrmex_suchieri,2
