valid_species_name,Phy_all_underscore,total.area.native,LogArea.native,Phy
Lepisiota.gracilicornis abdominalis,Lepisiota_gracilicornis_abdominalis,1127639.398,6.052170241,Lepisiota_gracilicornis abdominalis
Pseudolasius.butteli abhorrens,Pseudolasius_butteli_abhorrens,801827.581,5.904080991,Pseudolasius_butteli abhorrens
Camponotus.auropubens absalon,Camponotus_auropubens_absalon,1609941.122,6.206809994,Camponotus_auropubens absalon
Myrmicaria.distincta abyssinica,Myrmicaria_distincta_abyssinica,1127639.398,6.052170241,Myrmicaria_distincta abyssinica
Pheidole.caffra abyssinica,Pheidole_caffra_abyssinica,1249149.584,6.096614448,Pheidole_caffra abyssinica
Camponotus.robecchii abyssinicus,Camponotus_robecchii_abyssinicus,1127639.398,6.052170241,Camponotus_robecchii abyssinicus
Camponotus.planatus acaciae,Camponotus_planatus_acaciae,234894.3802,5.370872626,Camponotus_planatus acaciae
Dorylus.funereus acherontus,Dorylus_funereus_acherontus,3135038.999,6.496242948,Dorylus_funereus acherontus
Lepisiota.capensis acholli,Lepisiota_capensis_acholli,2798958.671,6.446996486,Lepisiota_capensis acholli
Echinopla.striata aciculata,Echinopla_striata_aciculata,363162.4708,5.560100962,Echinopla_striata aciculata
Crematogaster.sewellii acis,Crematogaster_sewellii_acis,2791143.855,6.44578222,Crematogaster_sewellii acis
Dorylus.attenuatus acuminatus,Dorylus_attenuatus_acuminatus,2982965.184,6.474648184,Dorylus_attenuatus acuminatus
Pseudoneoponera.excavata acuticostata,Pseudoneoponera_excavata_acuticostata,1728607.828,6.237696475,Pseudoneoponera_excavata acuticostata
Crematogaster.delagoensis acutidens,Crematogaster_delagoensis_acutidens,1627996.429,6.211653448,Crematogaster_delagoensis acutidens
Polyrhachis.arcuata acutinota,Polyrhachis_arcuata_acutinota,886427.1868,5.947643067,Polyrhachis_arcuata acutinota
Camponotus.chrysurus acutisquamis,Camponotus_chrysurus_acutisquamis,4311868.587,6.634665516,Camponotus_chrysurus acutisquamis
Pheidole.occipitalis adami,Pheidole_occipitalis_adami,245085.7668,5.389318091,Pheidole_occipitalis adami
Polyrhachis.tibialis addax,Polyrhachis_tibialis_addax,131805.4105,5.119933238,Polyrhachis_tibialis addax
Pseudolasius.mayri adolphi,Pseudolasius_mayri_adolphi,131805.4105,5.119933238,Pseudolasius_mayri adolphi
Myrmicaria.arachnoides adpressipilosa,Myrmicaria_arachnoides_adpressipilosa,824933.1825,5.916418773,Myrmicaria_arachnoides adpressipilosa
Crematogaster.depressa adultera,Crematogaster_depressa_adultera,343895.1443,5.536426044,Crematogaster_depressa adultera
Camponotus.hospes adultus,Camponotus_hospes_adultus,132314.5167,5.121607495,Camponotus_hospes adultus
Cataglyphis.bicolor adusta,Cataglyphis_bicolor_adusta,155349.4866,5.191309822,Cataglyphis_bicolor adusta
Crematogaster.castanea adusta,Crematogaster_castanea_adusta,824684.0347,5.916287587,Crematogaster_castanea adusta
Camponotus.bellus adustus,Camponotus_bellus_adustus,132314.5167,5.121607495,Camponotus_bellus adustus
Lepisiota.frauenfeldi aegyptiaca,Lepisiota_frauenfeldi_aegyptiaca,1025754.911,6.011043605,Lepisiota_frauenfeldi aegyptiaca
Dorylus.affinis aegyptiacus,Dorylus_affinis_aegyptiacus,7122572.523,6.85263688,Dorylus_affinis aegyptiacus
Carebara.oertzeni aeolia,Carebara_oertzeni_aeolia,780642.0371,5.892451934,Carebara_oertzeni aeolia
Crematogaster.sordidula aeolia,Crematogaster_sordidula_aeolia,780642.0371,5.892451934,Crematogaster_sordidula aeolia
Arnoldius.pusillus aequalis,Arnoldius_pusillus_aequalis,2761361.438,6.441123256,Arnoldius_pusillus aequalis
Polyrhachis.atossa aequicuspis,Polyrhachis_atossa_aequicuspis,737781.7092,5.867927884,Polyrhachis_atossa aequicuspis
Camponotus.blandus aequinotus,Camponotus_blandus_aequinotus,912675.4032,5.960316346,Camponotus_blandus aequinotus
Camponotus.perroti aeschylus,Camponotus_perroti_aeschylus,593087.2472,5.773118586,Camponotus_perroti aeschylus
Camponotus.arcuatus aesopus,Camponotus_arcuatus_aesopus,1487476.688,6.172450168,Camponotus_arcuatus aesopus
Crematogaster.chiarinii aethiops,Crematogaster_chiarinii_aethiops,1763977.835,6.246493124,Crematogaster_chiarinii aethiops
Mesoponera.caffraria affinis,Mesoponera_caffraria_affinis,343895.1443,5.536426044,Mesoponera_caffraria affinis
Vollenhovia.subtilis affinis,Vollenhovia_subtilis_affinis,1258236.676,6.09976234,Vollenhovia_subtilis affinis
Parvaponera.darwinii africana,Parvaponera_darwinii_africana,8214395.061,6.914575586,Parvaponera_darwinii africana
Camponotus.thraso agricola,Camponotus_thraso_agricola,1220325.69,6.086475754,Camponotus_thraso agricola
Monomorium.atomum aharonii,Monomorium_atomum_aharonii,27022.17176,4.43172025,Monomorium_atomum aharonii
Crematogaster.laestrygon airensis,Crematogaster_laestrygon_airensis,3935241.804,6.594971423,Crematogaster_laestrygon airensis
Camponotus.foleyi ajjer,Camponotus_foleyi_ajjer,2317506.149,6.365020895,Camponotus_foleyi ajjer
Trichomyrmex.chobauti ajjer,Trichomyrmex_chobauti_ajjer,2317506.149,6.365020895,Trichomyrmex_chobauti ajjer
Camponotus.ferreri akka,Camponotus_ferreri_akka,2326848.226,6.366768056,Camponotus_ferreri akka
Camponotus.macilentus albemarlensis,Camponotus_macilentus_albemarlensis,7801.23693,3.892163468,Camponotus_macilentus albemarlensis
Dorymyrmex.pyramicus albemarlensis,Dorymyrmex_pyramicus_albemarlensis,7801.23693,3.892163468,Dorymyrmex_pyramicus albemarlensis
Camponotus.sexguttatus albotaeniolatus,Camponotus_sexguttatus_albotaeniolatus,247987.0565,5.394429014,Camponotus_sexguttatus albotaeniolatus
Crematogaster.victima alegrensis,Crematogaster_victima_alegrensis,369553.151,5.56767691,Crematogaster_victima alegrensis
Messor.arenarius alfierii,Messor_arenarius_alfierii,998732.739,5.999449287,Messor_arenarius alfierii
Pheidole.variabilis aliena,Pheidole_variabilis_aliena,17066.06439,4.23213338,Pheidole_variabilis aliena
Crematogaster.scutellaris alii,Crematogaster_scutellaris_alii,558802.5433,5.747258374,Crematogaster_scutellaris alii
Crematogaster.africana alligatrix,Crematogaster_africana_alligatrix,3235168.919,6.509896962,Crematogaster_africana alligatrix
Eciton.vagans allognathum,Eciton_vagans_allognathum,2649734.48,6.423202357,Eciton_vagans allognathum
Vollenhovia.oblonga alluaudi,Vollenhovia_oblonga_alluaudi,737781.7092,5.867927884,Vollenhovia_oblonga alluaudi
Formica.adamsi alpina,Formica_adamsi_alpina,3919214.102,6.593198989,Formica_adamsi alpina
Dorymyrmex.pyramicus alticonis,Dorymyrmex_pyramicus_alticonis,2972678.342,6.473147919,Dorymyrmex_pyramicus alticonis
Camponotus.macilentus altinotus,Camponotus_macilentus_altinotus,72299.69173,4.859136446,Camponotus_macilentus altinotus
Leptogenys.kitteli altisquamis,Leptogenys_kitteli_altisquamis,2384394.385,6.37737809,Leptogenys_kitteli altisquamis
Dorymyrmex.breviscapis alvarezi,Dorymyrmex_breviscapis_alvarezi,134972.4608,5.130245166,Dorymyrmex_breviscapis alvarezi
Messor.oertzeni amasiensis,Messor_oertzeni_amasiensis,780642.0371,5.892451934,Messor_oertzeni amasiensis
Megaponera.analis amazon,Megaponera_analis_amazon,4867035.7,6.687264532,Megaponera_analis amazon
Camponotus.crassus amazonicus,Camponotus_crassus_amazonicus,2116094.91,6.325535143,Camponotus_crassus amazonicus
Camponotus.variegatus ambonensis,Camponotus_variegatus_ambonensis,77393.12025,4.888702356,Camponotus_variegatus ambonensis
Crematogaster.popohana amia,Crematogaster_popohana_amia,36261.8317,4.559449738,Crematogaster_popohana amia
Temnothorax.flavispinus amilcaris,Temnothorax_flavispinus_amilcaris,155349.4866,5.191309822,Temnothorax_flavispinus amilcaris
Pheidole.caffra amoena,Pheidole_caffra_amoena,121510.1854,5.084612683,Pheidole_caffra amoena
Camponotus.cinereus amperei,Camponotus_cinereus_amperei,5893955.855,6.770406879,Camponotus_cinereus amperei
Camponotus.eugeniae amplior,Camponotus_eugeniae_amplior,2326848.226,6.366768056,Camponotus_eugeniae amplior
Dorymyrmex.exsanguis anaemicus,Dorymyrmex_exsanguis_anaemicus,244877.5168,5.388948913,Dorymyrmex_exsanguis anaemicus
Crematogaster.castanea analis,Crematogaster_castanea_analis,2670743.371,6.426632159,Crematogaster_castanea analis
Bothriomyrmex.communista anatolicus,Bothriomyrmex_communista_anatolicus,780642.0371,5.892451934,Bothriomyrmex_communista anatolicus
Diacamma.rugosum anceps,Diacamma_rugosum_anceps,4645354.209,6.667018835,Diacamma_rugosum anceps
Dorylus.braunsi anceps,Dorylus_braunsi_anceps,389615.4325,5.590636151,Dorylus_braunsi anceps
Lepisiota.capensis anceps,Lepisiota_capensis_anceps,2908678.454,6.463695714,Lepisiota_capensis anceps
Philidris.myrmecodiae andamanensis,Philidris_myrmecodiae_andamanensis,7399.97179,3.869230064,Philidris_myrmecodiae andamanensis
Acromyrmex.coronatus andicola,Acromyrmex_coronatus_andicola,2626352.649,6.41935304,Acromyrmex_coronatus andicola
Camponotus.punctulatus andigenus,Camponotus_punctulatus_andigenus,5267629.087,6.721615187,Camponotus_punctulatus andigenus
Aenictus.furculatus andrieui,Aenictus_furculatus_andrieui,2759389.354,6.440812984,Aenictus_furculatus andrieui
Tapinolepis.trimenii angolensis,Tapinolepis_trimenii_angolensis,1247631.21,6.09608623,Tapinolepis_trimenii angolensis
Crematogaster.stadelmanni anguliceps,Crematogaster_stadelmanni_anguliceps,2791143.855,6.44578222,Crematogaster_stadelmanni anguliceps
Crematogaster.stadelmanni angustata,Crematogaster_stadelmanni_angustata,464295.6281,5.666794594,Crematogaster_stadelmanni angustata
Eciton.vagans angustatum,Eciton_vagans_angustatum,936499.4612,5.971507532,Eciton_vagans angustatum
Pheidole.veteratrix angustinoda,Pheidole_veteratrix_angustinoda,593573.4792,5.773474488,Pheidole_veteratrix angustinoda
Temnothorax.angustulus angustinodis,Temnothorax_angustulus_angustinodis,1617735.654,6.208907557,Temnothorax_angustulus angustinodis
Camponotus.discors angustinodus,Camponotus_discors_angustinodus,1728607.828,6.237696475,Camponotus_discors angustinodus
Crematogaster.peringueyi angustior,Crematogaster_peringueyi_angustior,1220325.69,6.086475754,Crematogaster_peringueyi angustior
Myrmicaria.rustica angustior,Myrmicaria_rustica_angustior,1179923.649,6.071853906,Myrmicaria_rustica angustior
Pheidole.latinoda angustior,Pheidole_latinoda_angustior,1182029.187,6.0726282,Pheidole_latinoda angustior
Polyrhachis.similis angustior,Polyrhachis_similis_angustior,801827.581,5.904080991,Polyrhachis_similis angustior
Colobopsis.vitrea angustula,Colobopsis_vitrea_angustula,2364783.926,6.373791465,Colobopsis_vitrea angustula
Oecophylla.longinoda annectens,Oecophylla_longinoda_annectens,2587369.487,6.412858452,Oecophylla_longinoda annectens
Tapinoma.ramulorum annellatum,Tapinoma_ramulorum_annellatum,201053.202,5.303310994,Tapinoma_ramulorum annellatum
Aphaenogaster.sardoa anoemica,Aphaenogaster_sardoa_anoemica,558802.5433,5.747258374,Aphaenogaster_sardoa anoemica
Camponotus.canescens antennatus,Camponotus_canescens_antennatus,1138110.46,6.056184415,Camponotus_canescens antennatus
Camponotus.vestitus anthracinus,Camponotus_vestitus_anthracinus,3574479.436,6.553212803,Camponotus_vestitus anthracinus
Camponotus.sexguttatus antiguanus,Camponotus_sexguttatus_antiguanus,7777.213988,3.890824049,Camponotus_sexguttatus antiguanus
Mycetomoellerius.jamaicensis antiguensis,Mycetomoellerius_jamaicensis_antiguensis,7777.213988,3.890824049,Mycetomoellerius_jamaicensis antiguensis
Azteca.delpini antillana,Azteca_delpini_antillana,920452.6171,5.964001437,Azteca_delpini antillana
Temnothorax.laurae antoniae,Temnothorax_laurae_antoniae,403453.0567,5.60579301,Temnothorax_laurae antoniae
Hypoponera.fiebrigi antoniensis,Hypoponera_fiebrigi_antoniensis,128686.4222,5.109532727,Hypoponera_fiebrigi antoniensis
Camponotus.chrysurus apellis,Camponotus_chrysurus_apellis,3574479.436,6.553212803,Camponotus_chrysurus apellis
Crematogaster.inermis aphrodite,Crematogaster_inermis_aphrodite,1626961.912,6.211377386,Crematogaster_inermis aphrodite
Crematogaster.treubi apilis,Crematogaster_treubi_apilis,132747.151,5.123025209,Crematogaster_treubi apilis
Crematogaster.castanea aquila,Crematogaster_castanea_aquila,2345808.063,6.370292475,Crematogaster_castanea aquila
