phy,Consensus mycorrhizal state
Abelmoschus_esculentus,AM
Abies_alba,EM
Abies_amabilis,EM
Abies_balsamea,EM
Abies_bifolia,EM
Abies_cephalonica,EM
Abies_concolor,EM
Abies_firma,EM
Abies_fraseri,EM
Abies_grandis,EM
Abies_holophylla,EM
Abies_homolepis,EM
Abies_koreana,EM
Abies_lasiocarpa,EM
Abies_magnifica,EM
Abies_mayriana,EM
Abies_nephrolepis,EM
Abies_nobilis,EM
Abies_nordmanniana,EM
Abies_omorika,EM
Abies_pindrow,EM
Abies_pinsapo,EM
Abies_sachalinensis,EM
Abies_sibirica,EM
Abildgaardia_ovata,AM
Abildgaardia_triflora,NM
Abronia_maritima,AM
Abronia_umbellata,AM
Abutilon_hybridum,AM
Abutilon_indicum,AM
Abutilon_otocarpum,AM
Abutilon_theophrasti,AM
Acacia_albida,AM
Acacia_auriculiformis,AM
Acacia_cochliacantha,AM
Acacia_constricta,AM
Acacia_dealbata,AM
Acacia_farnesiana,AM
Acacia_holosericea,EM
Acacia_koa,AM
Acacia_linifolia,EM
Acacia_mangium,EM
Acacia_pennatula,AM
Acacia_polyphylla,AM
Acacia_suaveolens,EM
Acacia_tortilis,AM
Acaena_magellanica,AM
Acaena_minor,AMNM
Acaena_novae-zelandiae,AM
Acaena_ovalifolia,AM
Acaena_pinnatifida,AM
Acalypha_acmophylla,AM
Acalypha_wilkesiana,NM
Acanthophyllum_borsczowi,NM
Acanthophyllum_korolkowi,NM
Acanthophyllum_krascheninnikovii,NM
Acca_sellowiana,AM
Acer_buergerianum,AM
Acer_campestre,AMNM
Acer_cappadocicum,AM
Acer_davidii,AM
Acer_ginnala,AM
Acer_negundo,AMNM
Acer_pictum,AMNM
Acer_platanoides,AMNM
Acer_pseudoplatanus,AMNM
Acer_pseudosieboldianum,AMNM
Acer_pubescens,AM
Acer_rubrum,AM
Acer_saccharinum,AM
Acer_saccharum,AM
Acer_spicatum,AM
Acer_tataricum,AMNM
Acer_tegmentosum,AMNM
Acer_turkestanicum,AM
Achillea_millefolium,AMNM
Achillea_nobilis,AM
Achillea_ptarmica,AMNM
Achillea_salicifolia,NM
Achillea_setacea,AMNM
Achnatherum_sibiricum,AM
Achnatherum_splendens,AM
Achyranthes_aspera,AMNM
Achyranthes_fauriei,NM
Achyranthes_splendens,NM
Achyroseris_tragopogonoides,AM
Acinos_alpinus,AM
Acmella_calva,AM
Aconitum_confertiflorum,AM
Aconitum_delphiniifolium,AM
