Phy,mycorrhiza.type,Consensus_state,Number,Fraction
Abarema_jupunba,AM; others not addressed,AM,1,1
Abrus_precatorius,AM; others not addressed,AM,5,1
Acacia_alata,AM; no others,AM,3,1
Acacia_alleniana,AM; no others,AM,1,1
Acacia_ampliceps,AM; others not addressed,AM,1,1
Acacia_ancistrocarpa,AM; no others,AM,1,1
Acacia_aneura,AM; others not addressed,EM,6,0.666666667
Acacia_aulacocarpa,AM; no others,AM,5,0.8
Acacia_auriculiformis,AM; others not addressed,AM,22,0.863636364
Acacia_cincinnata,AM; no others,AM,1,1
Acacia_cochliacantha,AM; others not addressed,AM,1,1
Acacia_concurrens,AM; no others,AM,2,1
Acacia_confusa,non-mycorrhizal (checked for all types),AM,2,0.5
Acacia_cyclops,AM; no others,AM,1,1
Acacia_dealbata,AM; others not addressed,AM,7,0.571428571
Acacia_decurrens,EcM; no others,AM,8,0.625
Acacia_dimidiata,"EcM,AM",AM,3,0.666666667
Acacia_dunnii,AM; no others,AM,1,1
Acacia_extensa,AM; no others,AM,3,1
Acacia_floribunda,AM; no others,AM,2,1
Acacia_gonocarpa,"EcM,AM",AM,3,0.666666667
Acacia_holosericea,AM; no others,AM,20,0.6
Acacia_implexa,"EcM,AM",EM,3,0.666666667
Acacia_koa,AM; no others,AM,2,1
Acacia_latescens,AM; no others,AM,5,0.8
Acacia_leptocarpa,AM; others not addressed,AM,1,1
Acacia_ligulata,AM; no others,AM,1,1
Acacia_linifolia,"EcM,AM",AM,3,0.666666667
Acacia_mangium,AM; others not addressed,AM,18,0.722222222
Acacia_mearnsii,AM; others not addressed,AM,5,0.8
Acacia_melanoxylon,EcM; no others,,,
Acacia_melanoxylon,"EcM,AM",,,
Acacia_melanoxylon,EcM; no others,,,
Acacia_melanoxylon,EcM; others not addressed,,,
Acacia_mimula,"EcM,AM",,,
Acacia_mimula,"EcM,AM",,,
Acacia_mimula,AM; no others,,,
Acacia_mimula,"EcM,AM",,,
Acacia_monticola,"EcM,AM",,,
Acacia_myrtifolia,"EcM,AM",,,
Acacia_myrtifolia,"EcM,AM",,,
Acacia_myrtifolia,EcM; others not addressed,,,
Acacia_myrtifolia,non-EcM; others not addressed,,,
Acacia_myrtifolia,non-EcM; others not addressed,,,
Acacia_notabilis,non-EcM; others not addressed,,,
