Phy,EFN
Abarema_jupumba,1
Abarema_lucida,1
Abarema_scutifera,1
Abarema_turgida,1
Acacia_abyssinica,1
Acacia_acanthoclada,1
Acacia_acradenia,1
Acacia_acuifera,1
Acacia_aculeatissima,1
Acacia_acuminata var. burkittii,1
Acacia_adhaerens,1
Acacia_adunca,1
Acacia_allenii,1
Acacia_amazonica,1
Acacia_amblygona,1
Acacia_amentacea,1
Acacia_amoena,1
Acacia_anegadensis,1
Acacia_aneura,1
Acacia_angustissima,1
Acacia_asparagoides,1
Acacia_ataxacantha,1
Acacia_attenuata,1
Acacia_aulacocarpa,1
Acacia_auriculiformis,1
Acacia_ausfeldii,1
Acacia_baileyana,1
Acacia_barahonensis,1
Acacia_baronii,1
Acacia_belairioides,1
Acacia_berlanderii,1
Acacia_betchei,1
Acacia_biaciculata,1
Acacia_bilimeki,1
Acacia_blakei,1
Acacia_blakelyi,1
Acacia_brachystachya,1
Acacia_brandageana,1
Acacia_brevispica,1
Acacia_bucheri,1
Acacia_caesia,1
Acacia_caffra,1
Acacia_calamifolia,1
Acacia_calyculata,1
Acacia_cambagei,1
Acacia_camptocladia,1
Acacia_cana,1
Acacia_canescens,1
Acacia_caurina,1
Acacia_chalkeri,1
Acacia_chariessa,1
Acacia_cheelii,1
Acacia_chiapensis,1
Acacia_choriophylla,1
Acacia_chundra,1
Acacia_cincinnata,1
Acacia_cochliacantha,1
Acacia_cochlocarpa,1
Acacia_collinsii,1
Acacia_complanata,1
Acacia_concinna,1
Acacia_concurrens,1
Acacia_conferta,1
Acacia_confusa,1
Acacia_constablei,1
Acacia_constricta,1
Acacia_cookii,1
Acacia_coriacea,1
Acacia_cornigera,1
Acacia_crassa,1
Acacia_cucuyo,1
Acacia_cultriformis,1
Acacia_curvifructa,1
Acacia_cyanophyla,1
Acacia_cyclops,1
Acacia_dawsonii,1
Acacia_dealbata,1
Acacia_deanei,1
Acacia_decora,1
Acacia_decurrens,1
Acacia_dictyophleba,1
Acacia_difformis,1
Acacia_dodonaeifolia,1
Acacia_doratoxylon,1
Acacia_elongata,1
Acacia_ephedroides,1
Acacia_eremaea,1
Acacia_erubescens,1
Acacia_excelsa,1
Acacia_falcata,1
Acacia_falciformis,1
Acacia_farnesiana,1
Acacia_ferruginea,1
Acacia_fimbriata,1
Acacia_floribunda,1
Acacia_gaumeri,1
Acacia_gentlei,1
Acacia_glandulifera,1
Acacia_globulifera,1
Acacia_glomerosa,1
Acacia_grandistipula,1
Acacia_greggii,1
Acacia_hayesii,1
Acacia_hindsii,1
Acacia_huarango,1
Acacia_hubbardiana,1
Acacia_huilana,1
Acacia_insulae-lacobi,1
Acacia_interior,1
Acacia_iteaphylla,1
Acacia_ixodes,1
Acacia_janzenii,1
Acacia_kallunkiae,1
Acacia_karroo,1
Acacia_koa,1
Acacia_koaia,1
Acacia_lacerans,1
Acacia_latifolia,1
Acacia_leiocalyx,1
Acacia_leptostachya,1
Acacia_leucophloea,1
Acacia_ligulata,1
Acacia_lineata,1
Acacia_longifolia,1
Acacia_longissima,1
Acacia_loretensis,1
Acacia_macradenia,1
Acacia_maidenii,1
Acacia_maranoensis,1
Acacia_mayana,1
Acacia_mearnsii,1
Acacia_melanoceras,1
Acacia_melanoxylon,1
Acacia_melvillei,1
Acacia_microbotrya,1
Acacia_microsperma,1
Acacia_miersii,1
Acacia_mucronata,1
Acacia_muricata,1
Acacia_myrtifolia,1
Acacia_neriifolia,1
Acacia_nitidifolia,1
Acacia_occidentalis,1
Acacia_omalophylla,1
Acacia_oshanesii,1
Acacia_oviedoensis,1
Acacia_pacensis,1
Acacia_paraensis,1
Acacia_parramattensis,1
Acacia_parviflora,1
Acacia_peninsularis,1
Acacia_pennata,1
Acacia_pennatula,1
Acacia_penninervis,1
Acacia_piauhiensis,1
Acacia_picachensis,1
Acacia_plumosa,1
Acacia_podalyriifolia,1
Acacia_polyacantha,1
Acacia_polyphylla,1
Acacia_polypyrigenes,1
Acacia_potosina,1
Acacia_pringlei,1
Acacia_pubescens,1
Acacia_pulchella,1
Acacia_pycnantha,1
Acacia_retinodes,1
Acacia_rigidula,1
Acacia_robusta,1
Acacia_roigii,1
Acacia_rorudiana,1
Acacia_rubida,1
Acacia_ruddiae,1
Acacia_saligna,1
Acacia_schaffneri,1
Acacia_schottii,1
Acacia_semirigida,1
Acacia_serra,1
Acacia_shirleyi,1
Acacia_soratensis,1
Acacia_spadicifera,1
Acacia_sphaerocephala,1
Acacia_stenophylla,1
Acacia_stowardii,1
Acacia_suaveolens,1
Acacia_subangulata,1
Acacia_subulata,1
Acacia_tamarindifolia,1
Acacia_telensis,1
Acacia_tenuifolia,1
Acacia_terminalis,1
Acacia_tetragonophylla,1
Acacia_tomentella,1
Acacia_tortuosa,1
Acacia_triptera,1
Acacia_ulcifolia,1
Acacia_uncinella,1
Acacia_villosa,1
Acacia_wildenowiana,1
Acacia_zapatensis,1
Adenanthera_colubin,1
Adenanthera_pavonina,1
Adenanthera_spahaerocephala,1
Affonsea_hirsuta,1
Albizia_adinocephala,1
Albizia_amara,1
Albizia_caribeae,1
Albizia_chinensis,1
Albizia_coreana,1
Albizia_corniculata,1
Albizia_falcataria,1
Albizia_guachapele,1
Albizia_idiopoda,1
Albizia_julibrissin,1
Albizia_lebbeck,1
Albizia_lebbekoides,1
Albizia_lophantha,1
Albizia_moluccana,1
Albizia_pedicellata,1
Albizia_procera,1
Albizia_retusa,1
Albizia_saponaria,1
Albizia_stipulata,1
Alexa_canaracuensis,1
Alexa_grandiflora,1
Alexa_wachenheimii,1
Anadenanthera_colubrina,1
Anadenanthera_falcata,1
Apios_americana,1
Archidendron_bubalinum,1
Archidendron_calycinum,1
Archidendron_dypearia,1
Archidendron_globosum,1
Archidendron_kerrii,1
Archidendron_lucidum,1
Archidendron_macrocarpum,1
Archidendron_ramiflorum,1
Archidendron_utile,1
Arthrosamanea_altissima,1
Balizia_peticilaris,1
Baptisia_leucophylla,1
Bauhinia_blakeana,1
Bauhinia_cheilantha,1
Bauhinia_pauletia,1
Bauhinia_rufa,1
Bauhinia_ungulata,1
Brownea_grandiceps,1
Brownea_macrophylla,1
Caesalpinia_bondoc,1
Caesalpinia_crista,1
Caesalpinia_cucullatum,1
Caesalpinia_gilliesii,1
Caesalpinia_japonica,1
Calliandra_haematomma,1
Calopogonium_caeruleum,1
Canavalia_gladiata,1
Canavalia_lineata,1
Canavalia_maritima,1
Canavalia_rosea,1
Cassia_absus,1
Cassia_acutifolia,1
Cassia_alata,1
Cassia_apoucouita,1
Cassia_artemisioides,1
Cassia_atroglandulosa,1
Cassia_auriculata,1
Cassia_bacillaris,1
Cassia_bicapsularis,1
Cassia_biflora,1
Cassia_calyciodes,1
Cassia_canca,1
Cassia_chaemaecrista,1
Cassia_colubrina,1
Cassia_coluteoides,1
Cassia_covesii,1
Cassia_dimidists,1
Cassia_divaricata,1
Cassia_fasciculata,1
Cassia_floribunda,1
Cassia_fruticosa,1
Cassia_gaudichaudi,1
Cassia_glandulosa,1
Cassia_glauca,1
Cassia_hebecarpa,1
Cassia_hochstetterii,1
Cassia_hookeriana,1
Cassia_kleinei,1
Cassia_laevigata,1
Cassia_leptocarpa,1
Cassia_leschenaultiana,1
Cassia_marilandica,1
Cassia_mimosoides,1
Cassia_mindanaensis,1
Cassia_multijuga,1
Cassia_negrensis,1
Cassia_nictitans,1
Cassia_obtusifolia,1
Cassia_occidentalis,1
Cassia_oxyphylla,1
Cassia_patellaria,1
Cassia_phyllodinea,1
Cassia_pumila,1
Cassia_reticulata,1
Cassia_rugosa,1
Cassia_sophora,1
Cassia_speciosa,1
Cassia_stenocarpa,1
Cassia_sturtii,1
Cassia_surattensis,1
Cassia_tomentosa,1
Cassia_tora,1
Cassia_uniflora,1
Castanospermum_australe,1
Centrolobium_paraense,1
Chamaecrista_amorimii,1
Chamaecrista_blanchetii,1
Chamaecrista_brachystachya,1
Chamaecrista_calycioides,1
Chamaecrista_chamaecristoides,1
Chamaecrista_choriophylla,1
Chamaecrista_confertiformis,1
Chamaecrista_coriacea,1
Chamaecrista_cystoides,1
Chamaecrista_debilis,1
Chamaecrista_decora,1
Chamaecrista_depauperata,1
Chamaecrista_desvauxii,1
Chamaecrista_diphylla,1
Chamaecrista_fasciculata,1
Chamaecrista_flexuosa,1
Chamaecrista_mucronata,1
Chamaecrista_nictitans,1
Chamaecrista_olesiphylla,1
Chamaecrista_onusta,1
Chamaecrista_pascuorum,1
Chamaecrista_pilosa,1
Chamaecrista_potentilla,1
Chamaecrista_serpens,1
Chamaecrista_supplex,1
Chamaecrista_unijuga,1
Chamaefistula_amabilis,1
Chamaefistula_antillana,1
Chamaefistula_elegans,1
Chloroleucon_dumosum,1
Chloroleucon_foliolosum,1
Crotalaria_anagyroides,1
Crotalaria_incana,1
Crotalaria_maypurensis,1
Crotalaria_murcronata,1
Crotalaria_pallida,1
Crotalaria_pumila,1
Delonix_adansonioides,1
Delonix_regia,1
Desmanthus_bicornatus,1
Desmanthus_illinoisensis,1
Desmanthus_leptolobus,1
Desmanthus_pernambucanus,1
Desmanthus_virgatus,1
Dichrostachys_glomerata,1
Dolichos_bicontortus,1
Dolichos_lablab,1
Dolichos_leucomelas,1
Dolichos_melanophtalmus,1
Dolichos_sesquipedalis,1
Dolichos_sinensis,1
Dunbaria_fusca,1
Dunbaria_podocarpa,1
Dunbaria_rotundifolia,1
Entada_phaseoloides,1
Enterolobium_contortisiliquum,1
Enterolobium_cyclocarpum,1
Enterolobium_gummiferum,1
Enterolobium_schomburgkii,1
Erythrina_abyssinica,1
Erythrina_berteroana,1
Erythrina_caffra,1
Erythrina_crista-galli,1
Erythrina_flabelliformis,1
Erythrina_fusca,1
Erythrina_greenwayi,1
Erythrina_hastifolia,1
Erythrina_herbacea,1
Erythrina_lysistemon,1
Erythrina_macropteryx,1
Erythrina_pallida,1
Erythrina_poeppigiana,1
