Species count,Family,Genus,Species,Common Name,Plant Type,Geographic Location,Nectary Location,Ecological Study,Reference,Notes
1,Acanthaceae,Acanthus,sp.,,,,,,Bentley 1977,
1,Acanthaceae,Aphelandra,albert-smithii,,,,bracteal: see McDade & Turner 1997,,McDade and Turner 1997,
1,Acanthaceae,Aphelandra,barkleyi,,,,bracteal: see McDade & Turner 1997,,McDade and Turner 1997,
1,Acanthaceae,Aphelandra,deppeana,,,,bracteal: see McDade & Turner 1997,,Deuth 1977; McDade and Turner 1997,
1,Acanthaceae,Aphelandra,dielsii,,,,bracteal: see McDade & Turner 1997,,McDade and Turner 1997,
1,Acanthaceae,Aphelandra,fasciculata,,,,bracteal: see McDade & Turner 1997,,McDade and Turner 1997,
1,Acanthaceae,Aphelandra,fernandezii,,,,bracteal: see McDade & Turner 1997,,McDade and Turner 1997,
1,Acanthaceae,Aphelandra,glabrata,,,,bracteal: see McDade & Turner 1997,,McDade and Turner 1997,
1,Acanthaceae,Aphelandra,golfodulcensis,,,,bracteal: see McDade & Turner 1997,,Durkee 1987; McDade and Turner 1997,
1,Acanthaceae,Aphelandra,gracilis,,,,bracteal: see McDade & Turner 1997,,McDade and Turner 1997,
1,Acanthaceae,Aphelandra,grandis,,,,bracteal: see McDade & Turner 1997,,McDade and Turner 1997,
1,Acanthaceae,Aphelandra,hartwegiana,,,,bracteal: see McDade & Turner 1997,,McDade and Turner 1997,
1,Acanthaceae,Aphelandra,hylaea,,,,bracteal: see McDade & Turner 1997,,McDade and Turner 1997,
1,Acanthaceae,Aphelandra,impress,,,,bracteal: see McDade & Turner 1997,,McDade and Turner 1997,
1,Acanthaceae,Aphelandra,lasia,,,,bracteal: see McDade & Turner 1997,,McDade and Turner 1997,
1,Acanthaceae,Aphelandra,leonardii,,,,bracteal: see McDade & Turner 1997,,McDade and Turner 1997,
1,Acanthaceae,Aphelandra,lingua-bovis,,,,bracteal: see McDade & Turner 1997,,McDade and Turner 1997,
1,Acanthaceae,Aphelandra,macrophylla,,,,bracteal: see McDade & Turner 1997,,McDade and Turner 1997,
1,Acanthaceae,Aphelandra,macrophylla,,,,bracteal: see McDade & Turner 1997,,McDade and Turner 1997,
1,Acanthaceae,Aphelandra,panamensis,,,,bracteal: see McDade & Turner 1997,,McDade and Turner 1997,
1,Acanthaceae,Aphelandra,pharangophila,,,,bracteal: see McDade & Turner 1997,,McDade and Turner 1997,
1,Acanthaceae,Aphelandra,pulcherrima,,,,bracteal: see McDade & Turner 1997,,McDade and Turner 1997,
1,Acanthaceae,Aphelandra,scabra,,,,bracteal: see McDade & Turner 1997,,Durkee 1987; McDade and Turner 1997,
1,Acanthaceae,Aphelandra,scolnikae,,,,bracteal: see McDade & Turner 1997,,McDade and Turner 1997,
1,Acanthaceae,Aphelandra,sinclairiana,,,,bracteal: see McDade & Turner 1997,,Durkee 1987; McDade and Turner 1997,
1,Acanthaceae,Aphelandra,sp.,,,,,,Mizell 2004,
1,Acanthaceae,Aphelandra,storkii,,,,bracteal: see McDade & Turner 1997,,McDade and Turner 1997,
1,Acanthaceae,Aphelandra,terryae,,,,bracteal: see McDade & Turner 1997,,McDade and Turner 1997,
1,Acanthaceae,Aphelandra,tetragona,,herb,,bracteal: see McDade & Turner 1997,"""probable identification error by Zimmermann's source"" McDade and Turner 1997; real A. tetragona described in McD&T",Zimmermann 1932; McDade and Turner 1997,
