Species,fixerCH,fixer,num_introduced,total_area_introduced,total_area_native,lat_native,abs_lat_native,annual,uses_num_uses,mah_state,soud_state,ConsensusTOTAL
Abarema_jupunba,TRUE,2,0,0,6.40E+12,-7.07229421,7.07229421,0,0,NA,AM,AM
Abrus_precatorius,TRUE,2,4,1.48E+11,5.34E+13,9.00301812,9.00301812,0,7,NA,AM,AM
Acacia_alata,TRUE,2,0,0,2.53E+12,-25.46607155,25.46607155,0,0,NA,AM,AM
Acacia_ampliceps,TRUE,2,0,0,3.88E+12,-23.4204532,23.4204532,0,0,NA,AM,AM
Acacia_aneura,TRUE,2,2,1.38E+12,7.39E+12,-25.1628483,25.1628483,0,1,NA,EcM,EM
Acacia_auriculiformis,TRUE,2,23,1.12E+13,4.09E+12,-5.85860106,5.85860106,0,4,AM,AM,AM
Acacia_cincinnata,TRUE,2,0,0,1.73E+12,-22.57378083,22.57378083,0,1,NA,AM,AM
Acacia_dealbata,TRUE,2,28,1.45E+13,4.61E+12,-35.13929898,35.13929898,0,6,AM,AM,AM
Acacia_decurrens,TRUE,2,19,1.00E+13,6.40E+12,-17.04729784,17.04729784,0,4,NA,AM,AM
Acacia_floribunda,TRUE,2,4,2.30E+12,3.49E+12,-7.63227278,7.63227278,0,1,NA,AM,AM
Acacia_koa,TRUE,2,2,85081230499,16858731371,20.26898313,20.26898313,0,0,AM,AM,AM
Acacia_ligulata,TRUE,2,0,0,7.62E+12,-25.55398159,25.55398159,0,1,NA,AM,AM
Acacia_mearnsii,TRUE,2,34,1.78E+13,6.75E+12,-25.13916559,25.13916559,0,5,NA,AM,AM
Acacia_melanoxylon,TRUE,2,26,1.71E+13,6.34E+12,-34.37437305,34.37437305,0,4,NA,EcM,EM
Acacia_pennatula,TRUE,2,1,2645044536,4.62E+12,12.08791594,12.08791594,0,0,AM,NA,AM
Acacia_platycarpa,TRUE,2,0,0,5.61E+12,-23.16077529,23.16077529,0,0,NA,EcM,EM
Acacia_pulchella,TRUE,2,3,3.98E+11,2.53E+12,-25.46607155,25.46607155,0,1,NA,AM,AM
Acacia_pyrifolia,TRUE,2,0,0,2.53E+12,-25.46607155,25.46607155,0,1,NA,AM,AM
Acacia_saligna,TRUE,2,21,2.03E+13,6.27E+12,-26.80241625,26.80241625,0,6,NA,AM,AM
Acacia_spinescens,TRUE,2,1,1.89E+11,1.21E+12,-31.4539516,31.4539516,0,0,NA,AM,AM
Acacia_tortilis,TRUE,2,4,3.35E+12,2.52E+13,7.84844836,7.84844836,0,7,AM,NA,AM
Acacia_tumida,TRUE,2,0,0,3.88E+12,-23.4204532,23.4204532,0,3,NA,AM,AM
Acacia_verticillata,TRUE,2,6,2.28E+12,2.08E+12,-36.84160801,36.84160801,0,1,NA,EcM,EM
Acmispon_brachycarpus,TRUE,2,0,0,1.99E+12,38.7071346,38.7071346,1,0,NA,AM,AM
Acrocarpus_fraxinifolius,FALSE,1,5,6.43E+12,8.76E+12,17.36499145,17.36499145,0,2,NA,AM,AM
Aeschynomene_americana,TRUE,2,24,1.32E+13,2.63E+13,6.39935826,6.39935826,0,4,NA,AM,AM
Aeschynomene_indica,TRUE,2,8,57468988959,4.64E+13,11.15298163,11.15298163,0,8,AM,AM,AM
Albizia_julibrissin,TRUE,2,19,3.04E+13,1.73E+13,27.01483409,27.01483409,0,5,AM,AM,AM
Albizia_kalkora,TRUE,2,0,0,8.99E+12,30.47597992,30.47597992,0,0,AM,AM,AM
Albizia_lebbeck,TRUE,2,55,4.66E+13,9.60E+12,11.73152247,11.73152247,0,9,AM,AM,AM
Albizia_procera,TRUE,2,14,1.64E+13,1.18E+13,8.77720443,8.77720443,0,5,NA,AM,AM
Albizia_versicolor,TRUE,2,1,2055545262,1.15E+13,-18.0040949,18.0040949,0,2,NA,AM,AM
Alhagi_maurorum,TRUE,2,3,5.66E+12,2.48E+13,37.52987616,37.52987616,0,8,AM,AM,AM
Ammopiptanthus_mongolicus,TRUE,2,0,0,3.20E+12,42.77144618,42.77144618,0,0,NA,AM,AM
Amorpha_canescens,TRUE,2,0,0,1.73E+13,54.20867293,54.20867293,0,0,AM,AM,AM
Amorpha_fruticosa,TRUE,2,24,2.40E+13,1.81E+13,34.25752634,34.25752634,0,1,AMNM,AM,AM
Amphicarpaea_bracteata,TRUE,2,0,0,1.91E+13,40.19097826,40.19097826,0,0,NA,AM,AM
Anadenanthera_peregrina,TRUE,2,0,0,1.12E+13,7.23886894,7.23886894,0,1,AM,AM,AM
Andira_inermis,TRUE,2,6,2.84E+12,2.28E+13,9.47607629,9.47607629,0,6,NA,AM,AM
Anthyllis_cytisoides,TRUE,2,0,0,3.76E+12,37.36647152,37.36647152,0,0,AM,AM,AM
Anthyllis_vulneraria,TRUE,2,2,5.61E+11,2.26E+13,42.22690675,42.22690675,0,3,AMNM,AM,AM
Apuleia_leiocarpa,FALSE,1,0,0,1.46E+13,-4.5631422,4.5631422,0,0,NA,AM,AM
Arachis_hypogaea,TRUE,2,67,6.37E+13,1.20E+13,-5.36188821,5.36188821,1,7,AM,AM,AM
Astragalus_alpinus,TRUE,2,0,0,2.94E+13,50.46312881,50.46312881,0,0,NM,non-mycorrhizal (checked for all types),NM
Astragalus_cicer,TRUE,2,6,2.75E+12,1.57E+13,48.64765782,48.64765782,0,3,AM,NA,AM
Astragalus_frigidus,TRUE,2,0,0,5.09E+12,45.42187024,45.42187024,0,0,NM,NA,NM
Astragalus_glycyphyllos,TRUE,2,4,1.39E+13,2.17E+13,48.45940725,48.45940725,0,3,NM,NA,NM
Astragalus_scaberrimus,TRUE,2,0,0,1.25E+13,47.07382447,47.07382447,0,1,NA,AM,AM
Astragalus_sinicus,TRUE,2,0,0,3.44E+12,26.06009224,26.06009224,0,1,NA,AM,AM
Astragalus_tribuloides,TRUE,2,0,0,1.28E+13,38.23611007,38.23611007,1,2,NA,AM,AM
Astragalus_umbellatus,TRUE,2,0,0,1.22E+13,58.41555631,58.41555631,0,1,NM,AM,AM
Baikiaea_plurijuga,FALSE,1,0,0,3.77E+12,-16.98362808,16.98362808,0,3,NA,AM,AM
Baptisia_alba,TRUE,2,0,0,1.76E+13,53.69006494,53.69006494,0,0,AM,AM,AM
Baptisia_australis,TRUE,2,2,1.36E+13,1.09E+13,38.25573071,38.25573071,0,0,AM,NA,AM
Baptisia_bracteata,TRUE,2,0,0,3.47E+12,37.69622659,37.69622659,0,0,AM,NA,AM
Bauhinia_forficata,FALSE,1,1,776198018.1,1.40E+13,-15.98959109,15.98959109,0,0,AM,AM,AM
Bauhinia_galpinii,FALSE,1,15,4.96E+12,3.86E+12,-21.72947512,21.72947512,0,1,NA,AM,AM
Bauhinia_guianensis,FALSE,1,0,0,1.40E+13,9.54852316,9.54852316,0,0,AM,AM,AM
Bauhinia_petersiana,FALSE,1,1,82436185963,1.06E+13,-18.58533779,18.58533779,0,0,NA,AM,AM
Bauhinia_variegata,FALSE,1,27,2.57E+13,1.48E+13,24.00862671,24.00862671,0,6,NA,AM,AM
Berlinia_bracteosa,FALSE,1,0,0,5.23E+12,0.2945389,0.2945389,0,1,EM,EcM,EM
Brachystegia_boehmii,FALSE,1,0,0,7.13E+12,-10.42992091,10.42992091,0,0,NA,EcM,EM
Brachystegia_laurentii,FALSE,1,0,0,3.05E+12,0.28098821,0.28098821,0,1,EM,EcM,EM
Brownea_ariza,FALSE,1,5,2.92E+12,2.12E+12,5.65212555,5.65212555,0,2,NA,non-mycorrhizal (checked for all types),NM
Caesalpinia_decapetala,FALSE,1,14,1.84E+13,1.55E+13,16.79714169,16.79714169,0,5,NA,AM,AM
Caesalpinia_echinata,FALSE,1,0,0,8.47E+12,-10.77227947,10.77227947,0,0,NA,AM,AM
Caesalpinia_eriostachys,FALSE,1,0,0,6.86E+11,16.00816232,16.00816232,0,0,NA,AM,AM
Caesalpinia_pluviosa,FALSE,1,0,0,8.47E+12,-10.77227947,10.77227947,0,0,NA,AM,AM
Cajanus_cajan,TRUE,2,67,4.60E+13,6.61E+12,12.78552409,12.78552409,0,8,AM,AM,AM
Calliandra_eriophylla,TRUE,2,0,0,3.66E+12,28.95454198,28.95454198,0,0,AM,AM,AM
Calopogonium_caeruleum,TRUE,2,3,7.00E+11,1.65E+13,6.24566767,6.24566767,0,1,AM,AM,AM
Calpocalyx_dinklagei,FALSE,1,0,0,3.24E+12,-3.42005008,3.42005008,0,2,NA,AM,AM
Campsiandra_comosa,TRUE,2,0,0,5.34E+12,0.70729115,0.70729115,0,0,NA,AM,AM
Canavalia_cathartica,TRUE,2,1,16858731371,2.05E+13,-0.20727858,0.20727858,0,2,NA,AM,AM
Canavalia_gladiata,TRUE,2,26,2.74E+13,9.06E+12,15.36986344,15.36986344,0,5,NA,AM,AM
Canavalia_rosea,TRUE,2,1,252721684.5,5.30E+13,4.95202097,4.95202097,0,5,AM,AM,AM
Caragana_arborescens,TRUE,2,16,1.92E+13,8.70E+12,44.66466854,44.66466854,0,7,AMNM,AM,AM
Caragana_korshinskii,TRUE,2,0,0,3.40E+12,42.50806299,42.50806299,0,0,NA,AM,AM
Cassia_fistula,FALSE,1,47,3.90E+13,1.02E+13,10.68922491,10.68922491,0,7,NA,AM,AM
Cassia_grandis,FALSE,1,17,9.33E+12,1.27E+13,2.34618617,2.34618617,0,4,AM,AM,AM
Castanospermum_australe,FALSE,1,15,8.87E+12,2.69E+12,-17.64425932,17.64425932,0,5,AM,AM,AM
Cedrelinga_cateniformis,TRUE,2,0,0,7.67E+12,-1.8769988,1.8769988,0,1,NA,AM,AM
Centrolobium_robustum,TRUE,2,0,0,8.52E+11,-17.36275051,17.36275051,0,0,NA,AM,AM
Centrolobium_tomentosum,TRUE,2,0,0,2.08E+12,1.04259791,1.04259791,0,0,AM,AM,AM
Centrosema_pubescens,TRUE,2,31,2.51E+13,2.11E+13,2.2174588,2.2174588,0,3,AM,AM,AM
Ceratonia_siliqua,FALSE,1,27,2.51E+13,7.38E+12,37.31794972,37.31794972,0,7,AM,AM,AM
Cercis_canadensis,FALSE,1,5,3.65E+12,1.43E+13,34.08439623,34.08439623,0,3,NA,EcM,EM
Cercis_siliquastrum,FALSE,1,21,1.50E+13,5.14E+12,39.40398144,39.40398144,0,4,NA,AM,AM
Chamaecrista_nictitans,TRUE,2,5,2.16E+12,1.37E+13,15.47217365,15.47217365,0,1,NA,AM,AM
Chorizema_cordatum,TRUE,2,0,0,2.53E+12,-25.46607155,25.46607155,0,0,NA,EcM,EM
Cicer_arietinum,TRUE,2,48,7.41E+13,7.46E+12,21.96767801,21.96767801,1,6,AM,AM,AM
Cladrastis_sikokiana,FALSE,1,0,0,3.71E+11,37.60209081,37.60209081,0,0,NA,AM,AM
Clitoria_ternatea,TRUE,2,79,4.47E+13,2.13E+13,1.79242466,1.79242466,0,8,NA,AM,AM
Colvillea_racemosa,FALSE,1,12,3.68E+12,5.93E+11,-19.37352737,19.37352737,0,2,NA,AM,AM
Copaifera_langsdorffii,FALSE,1,0,0,6.13E+12,-16.73553387,16.73553387,0,0,AM,AM,AM
Copaifera_officinalis,FALSE,1,5,3.79E+11,3.05E+12,5.62116566,5.62116566,0,5,NA,AM,AM
Coronilla_scorpioides,TRUE,2,1,7.94E+12,2.37E+13,41.75047739,41.75047739,1,4,AM,AM,AM
Crotalaria_assamica,TRUE,2,0,0,6.19E+12,20.88899351,20.88899351,0,2,NA,AM,AM
Crotalaria_goreensis,TRUE,2,8,2.10E+13,1.92E+13,1.07734205,1.07734205,0,3,AM,NA,AM
Crotalaria_incana,TRUE,2,20,1.43E+13,2.93E+12,13.62616928,13.62616928,0,4,AM,AM,AM
Crotalaria_ochroleuca,TRUE,2,9,1.26E+13,1.96E+13,2.46809908,2.46809908,0,0,AM,AM,AM
Crotalaria_pallida,TRUE,2,37,1.73E+13,3.48E+13,12.53796268,12.53796268,0,7,NA,AM,AM
Crotalaria_retusa,TRUE,2,36,1.48E+13,2.34E+13,8.42631233,8.42631233,0,8,NA,AM,AM
Crotalaria_trichotoma,TRUE,2,32,9.41E+12,2.92E+12,-4.85462577,4.85462577,0,3,NA,AM,AM
Cylicodiscus_gabunensis,FALSE,1,0,0,2.22E+12,7.28492296,7.28492296,0,1,AM,AM,AM
Cytisus_purpureus,TRUE,2,5,5.65E+11,6.19E+11,43.30126237,43.30126237,0,1,NA,AM,AM
Cytisus_scoparius,TRUE,2,27,3.10E+13,6.20E+12,47.697596,47.697596,0,9,AM,AM,AM
Dalbergia_assamica,TRUE,2,1,5.82E+11,3.96E+12,22.46971874,22.46971874,0,1,NA,EcM,EM
Dalbergia_hupeana,TRUE,2,0,0,3.19E+12,23.16494434,23.16494434,0,0,NA,AM,AM
Dalbergia_melanoxylon,TRUE,2,4,1.06E+12,2.18E+13,2.84434797,2.84434797,0,1,NA,AM,AM
