Phy,Counts
Abarema auriculata,731
Abarema barbouriana,87
Abarema brachystachya,116
Abarema campestris,4915
Abarema cochleata,128
Abarema cochliocarpos,87
Abarema filamentosa,215
Abarema floribunda,872
Abarema jupunba,90
Abarema macradenia,102
Abarema piresii,99
Abarema turbinata,294
Abrus fruticulosus,523
Abrus precatorius,528
Acacia abyssinica,10687
Acacia acinacea,9629
Acacia acradenia,9638
Acacia acuminata,12660
Acacia adenocalyx,9631
Acacia adsurgens,9669
Acacia adunca,9710
Acacia alata,12308
Acacia alleniana,9633
Acacia alpina,11507
Acacia amoena,9855
Acacia ampliceps,9633
Acacia amythethophylla,9629
Acacia anceps,9869
Acacia ancistrocarpa,9632
Acacia aneura,9674
Acacia angustissima,9692
Acacia arenaria,10920
Acacia argyrodendron,9635
Acacia aroma,19106
Acacia aspera,11173
Acacia ataxacantha,9629
Acacia aulacocarpa,9629
Acacia auriculiformis,9635
Acacia bahiensis,9798
Acacia baileyana,9648
Acacia benthamii,9827
Acacia berlandieri,9785
Acacia bidentata,9948
Acacia biflora,9798
Acacia binervata,9628
Acacia binervia,9628
Acacia bivenosa,9628
Acacia blakei,9676
Acacia blakelyi,9644
Acacia bonariensis,10316
Acacia borleae,9629
Acacia brachybotrya,9635
Acacia brachystachya,9657
Acacia brassii,9687
Acacia brownii,9833
Acacia brumalis,9666
Acacia burkei,9658
Acacia buxifolia,9855
Acacia bynoeana,9628
Acacia caesia,9877
Acacia caffra,9885
Acacia calamifolia,9629
Acacia cambagei,9628
Acacia cana,15358
Acacia cangaiensis,9628
Acacia cardiophylla,9647
Acacia catechu,10239
Acacia catenulata,9674
Acacia caven,10070
Acacia celastrifolia,9631
Acacia chariessa,9637
Acacia chrysotricha,9666
Acacia chundra,9658
Acacia cincinnata,9726
Acacia citrinoviridis,9628
Acacia cochliacantha,9628
Acacia cognata,10415
Acacia colei,9643
Acacia colletioides,9628
Acacia collinsii,9664
Acacia complanata,9950
Acacia concurrens,9632
Acacia confusa,10104
Acacia constricta,9942
Acacia coriacea,10517
Acacia cornigera,9706
Acacia cowleana,9628
Acacia crassicarpa,9630
Acacia cultriformis,9633
Acacia cuthbertsonii,9630
Acacia cyclops,10784
Acacia cyperophylla,9628
Acacia dangarensis,9628
Acacia davyi,9655
Acacia dealbata,9724
Acacia deanei,9690
Acacia decora,9812
Acacia decurrens,9814
Acacia dictyophleba,9633
Acacia difficilis,9794
Acacia dimidiata,10004
Acacia dolichostachya,9640
Acacia doratoxylon,9637
Acacia doratoxylon,9637
Acacia drummondii,9913
Acacia dudgeoni,9629
Acacia dunnii,9837
Acacia ehrenbergiana,9642
Acacia elata,10656
Acacia elatior,10120
Acacia elongata,10872
Acacia eremaea,9640
Acacia ericifolia,9675
Acacia erinacea,9892
Acacia eriocarpa,9672
Acacia erubescens,9725
Acacia estrophiolata,9628
Acacia etbaica,9631
Acacia excelsa,10940
Acacia extensa,9986
Acacia exuvialis,9629
Acacia falcata,10237
Acacia falciformis,9809
Acacia farnesiana,9659
Acacia filicifolia,9654
Acacia filifolia,9711
Acacia fimbriata,10387
Acacia fleckii,9628
Acacia flexifolia,9629
Acacia floribunda,10408
Acacia fulva,10327
Acacia galpinii,9647
Acacia gaumeri,9693
Acacia genistifolia,9641
Acacia georginae,9636
Acacia gerrardii,9669
Acacia gittinsii,9630
Acacia gladiiformis,9629
Acacia glaucocarpa,9649
Acacia glaucoptera,9628
Acacia goetzei,9661
Acacia gonocarpa,9628
Acacia gourmaensis,9629
Acacia grandicornuta,9629
Acacia granitica,9638
Acacia greggii,9758
Acacia gummifera,9771
Acacia haematoxylon,9655
Acacia hakeoides,9629
Acacia harpophylla,9628
Acacia harveyi,10987
Acacia hastulata,9637
Acacia havilandiorum,9628
Acacia hebeclada,9641
Acacia hemsleyi,9637
Acacia hereroensis,9641
Acacia heterophylla,10538
Acacia hilliana,9631
