Phy,,Valid,maxlatall,minlatall,midpoint,abs_lat_native
Acanthognathus_brevicornis,,Acanthognathus.brevicornis,9.62570058,-33.74389942,-12.05909942,12.05909942
Acanthognathus_laevigatus,,Acanthognathus.laevigatus,2.69910058,0.33450058,1.51680058,1.51680058
Acanthognathus_lentus,,Acanthognathus.lentus,17.42020058,-29.35779942,-5.96879942,5.96879942
Acanthognathus_ocellatus,,Acanthognathus.ocellatus,22.47220058,-33.74389942,-5.63584942,5.63584942
Acanthognathus_rudis,,Acanthognathus.rudis,5.48270058,-33.74389942,-14.13059942,14.13059942
Acanthognathus_stipulosus,,Acanthognathus.stipulosus,12.48910058,-22.89889942,-5.20489942,5.20489942
Acanthognathus_teledectus,,Acanthognathus.teledectus,18.74860058,-18.34859942,0.20000058,0.20000058
Acanthomyrmex_basispinosus,,Acanthomyrmex.basispinosus,7.39690058,-7.53499942,-0.06904942,0.06904942
Acanthomyrmex_careoscrobis,,Acanthomyrmex.careoscrobis,7.39690058,-5.11139942,1.14275058,1.14275058
Acanthomyrmex_concavus,,Acanthomyrmex.concavus,7.39690058,-5.11139942,1.14275058,1.14275058
Acanthomyrmex_crassispinus,,Acanthomyrmex.crassispinus,26.38000058,21.90300058,24.14150058,24.14150058
Acanthomyrmex_dusun,,Acanthomyrmex.dusun,7.39690058,-5.11139942,1.14275058,1.14275058
Acanthomyrmex_ferox,,Acanthomyrmex.ferox,20.45520058,-5.95559942,7.24980058,7.24980058
Acanthomyrmex_foveolatus,,Acanthomyrmex.foveolatus,7.39690058,-5.11139942,1.14275058,1.14275058
Acanthomyrmex_glabfemoralis,,Acanthomyrmex.glabfemoralis,26.38550058,8.41440058,17.39995058,17.39995058
Acanthomyrmex_humilis,,Acanthomyrmex.humilis,23.37800058,8.41440058,15.89620058,15.89620058
Acanthomyrmex_laevis,,Acanthomyrmex.laevis,6.71110058,1.20160058,3.95635058,3.95635058
Acanthomyrmex_luciolae,,Acanthomyrmex.luciolae,29.22280058,5.91770058,17.57025058,17.57025058
Acanthomyrmex_malikuli,,Acanthomyrmex.malikuli,20.45520058,5.63110058,13.04315058,13.04315058
Acanthomyrmex_mindanao,,Acanthomyrmex.mindanao,21.11800058,-5.11139942,8.00330058,8.00330058
Acanthomyrmex_minus,,Acanthomyrmex.minus,5.91390058,-5.95559942,-0.02084942,0.02084942
Acanthomyrmex_mizunoi,,Acanthomyrmex.mizunoi,20.45520058,5.63110058,13.04315058,13.04315058
Acanthomyrmex_notabilis,,Acanthomyrmex.notabilis,4.80650058,-8.35499942,-1.77424942,1.77424942
Acanthomyrmex_padanensis,,Acanthomyrmex.padanensis,5.91390058,-5.95559942,-0.02084942,0.02084942
Acanthomyrmex_sulawesiensis,,Acanthomyrmex.sulawesiensis,4.80650058,-7.53499942,-1.36424942,1.36424942
Acanthomyrmex_thailandensis,,Acanthomyrmex.thailandensis,20.45520058,5.63110058,13.04315058,13.04315058
Acanthoponera_goeldii,,Acanthoponera.goeldii,-14.23609942,-29.35779942,-21.79694942,21.79694942
Acanthoponera_minor,,Acanthoponera.minor,22.47220058,-24.05309942,-0.79044942,0.79044942
Acanthoponera_mucronata,,Acanthoponera.mucronata,12.48910058,-35.00229942,-11.25659942,11.25659942
Acanthoponera_peruviana,,Acanthoponera.peruviana,5.75550058,-18.34859942,-6.29654942,6.29654942
Acanthostichus_arizonensis,,Acanthostichus.arizonensis,37.00310058,25.60610058,31.30460058,31.30460058
Acanthostichus_bentoni,,Acanthostichus.bentoni,2.22910058,-18.03809942,-7.90449942,7.90449942
Acanthostichus_brevicornis,,Acanthostichus.brevicornis,21.62330058,-34.38219942,-6.37944942,6.37944942
Acanthostichus_brevinodis,,Acanthostichus.brevinodis,2.22910058,-24.05309942,-10.91199942,10.91199942
