"","Phy","Exotic_status","total.area"
"1","Acromyrmex_octospinosus","Exotic",117997.312188
"2","Acromyrmex_octospinosus cubanus","Exotic",110220.0982
"3","Adelomyrmex_myops","Exotic",7801.23693
"4","Amblyopone_australis","Exotic",269073.349711
"5","Anochetus_emarginatus","Exotic",12839.15863
"6","Anochetus_ghilianii","Exotic",493663.7919
"7","Anochetus_graeffei","Exotic",7533675.29631455
"8","Anochetus_mayri","Exotic",147120.3924
"9","Anochetus_sedilloti","Exotic",3171309.09605
"10","Anoplolepis_gracilipes","Exotic",5754815.44451408
"11","Anoplolepis_steingroeveri gertrudae","Exotic",4576.449391
"12","Aphaenogaster_gemella","Exotic",5092.681198
"13","Aphaenogaster_iberica","Exotic",12574.935666
"14","Aphaenogaster_ovaticeps ","Exotic",251283.8896
"15","Aphaenogaster_senilis","Exotic",51415.700543
"16","Aphaenogaster_splendida","Exotic",562603.3435994
"17","Brachymyrmex_aphidicola","Exotic",149937.31028
"18","Brachymyrmex_australis","Exotic",4576.449391
"19","Brachymyrmex_cordemoyi","Exotic",3862278.60951
"20","Brachymyrmex_heeri","Exotic",10457.44303881
"21","Brachymyrmex_minutus","Exotic",270864.9749
"22","Brachymyrmex_obscurior","Exotic",2494778.48674581
"23","Brachymyrmex_patagonicus","Exotic",4025498.905562
"24","Brachymyrmex_termitophilus","Exotic",685352.5845
"25","Brachyponera_chinensis","Exotic",3199528.1781714
"26","Brachyponera_luteipes","Exotic",269647.10086526
"27","Brachyponera_obscurans","Exotic",4576.449391
"28","Brachyponera_sennaarensis","Exotic",9513340.530094
"29","Camponotus_compressus","Exotic",164.0847609
"30","Camponotus_conspicuus zonatus","Exotic",8077.4096523
"31","Camponotus_essigi","Exotic",5130.98077
"32","Camponotus_fabricator","Exotic",195.911953
"33","Camponotus_hova","Exotic",3829.644984
"34","Camponotus_maculatus","Exotic",597.801711
"35","Camponotus_novogranadensis","Exotic",147120.3924
"36","Camponotus_pennsylvanicus","Exotic",9034.221375
"37","Camponotus_planatus","Exotic",1079276.81623
"38","Camponotus_planatus continentis","Exotic",147120.3924
"39","Camponotus_sericeus","Exotic",4576.449391
"40","Camponotus_sexguttatus","Exotic",159959.55103
"41","Camponotus_tortuganus","Exotic",244199.9057
"42","Camponotus_variegatus","Exotic",814362.54354
"43","Cardiocondyla_batesii","Exotic",5092.681198
"44","Cardiocondyla_breviscapa","Exotic",308966.1496
"45","Cardiocondyla_emeryi","Exotic",23177767.5351879
"46","Cardiocondyla_fajumensis","Exotic",3948.252661
"47","Cardiocondyla_itsukii","Exotic",200145.26615316
"48","Cardiocondyla_kagutsuchi","Exotic",1242398.49343906
"49","Cardiocondyla_mauritanica","Exotic",6677599.20557312
"50","Cardiocondyla_minutior","Exotic",11695960.6124407
"51","Cardiocondyla_nigra","Exotic",3948.252661
"52","Cardiocondyla_nuda","Exotic",24157.78811917
"53","Cardiocondyla_obscurior","Exotic",7145243.34691126
"54","Cardiocondyla_strigifrons","Exotic",154373.302227
"55","Cardiocondyla_tjibodana","Exotic",2554775.3938865
"56","Cardiocondyla_venustula","Exotic",2524270.427473
"57","Cardiocondyla_wroughtonii","Exotic",13694092.207332
"58","Cataglyphis_nodus","Exotic",8316.99827
"59","Chelaner_antarcticus","Exotic",196.57725091
