"","Phy","Exotic_status","total.area"
"1","Anochetus_mayri","Indoor Introduced",287054.20466
"2","Anoplolepis_gracilipes","Indoor Introduced",1556264.9948
"3","Aphaenogaster_gemella","Indoor Introduced",539465.9732
"4","Azteca_constructor","Indoor Introduced",318961.6037
"5","Azteca_flavigaster","Indoor Introduced",318961.6037
"6","Brachymyrmex_cordemoyi","Indoor Introduced",357402.819
"7","Brachymyrmex_heeri","Indoor Introduced",1536078.74665
"8","Brachymyrmex_obscurior","Indoor Introduced",941572.0429
"9","Brachymyrmex_patagonicus","Indoor Introduced",563148.3947
"10","Camponotus_atriceps","Indoor Introduced",495470.6806
"11","Camponotus_barbaricus","Indoor Introduced",539465.9732
"12","Camponotus_brevis","Indoor Introduced",318961.6037
"13","Camponotus_bugnioni","Indoor Introduced",580753.86665
"14","Camponotus_itoi","Indoor Introduced",16654.44205
"15","Camponotus_maculatus","Indoor Introduced",279731.44452
"16","Camponotus_novogranadensis","Indoor Introduced",244186.791
"17","Camponotus_nylanderi","Indoor Introduced",539465.9732
"18","Camponotus_obscuripes","Indoor Introduced",16654.44205
"19","Camponotus_sexguttatus","Indoor Introduced",294395.2916
"20","Camponotus_snellingi","Indoor Introduced",244186.791
"21","Camponotus_thoracicus","Indoor Introduced",318961.6037
"22","Camponotus_vagus","Indoor Introduced",35607.34397
"23","Cardiocondyla_emeryi","Indoor Introduced",805754.19405
"24","Cardiocondyla_obscurior","Indoor Introduced",1069961.85235
"25","Cardiocondyla_wroughtonii","Indoor Introduced",251283.8896
"26","Carebara_affinis","Indoor Introduced",251283.8896
"27","Carebara_diversa","Indoor Introduced",495470.6806
"28","Colobopsis_truncata","Indoor Introduced",244186.791
"29","Crematogaster_terminalis","Indoor Introduced",244186.791
"30","Diacamma_indicum","Indoor Introduced",244186.791
"31","Diacamma_vagans","Indoor Introduced",329567.06174
"32","Dolichoderus_thoracicus","Indoor Introduced",251283.8896
"33","Dorylus_fulvus","Indoor Introduced",539465.9732
"34","Formica_obscuripes","Indoor Introduced",1513562.714
"35","Formica_rufa","Indoor Introduced",1420.695368
"36","Gnamptogenys_regularis","Indoor Introduced",244186.791
"37","Gnamptogenys_striatula","Indoor Introduced",42867.41366
"38","Hypoponera_boerorum","Indoor Introduced",313856.68207
"39","Hypoponera_eduardi","Indoor Introduced",601589.61
"40","Hypoponera_ergatandria","Indoor Introduced",2543508.05313
"41","Hypoponera_gibbinota","Indoor Introduced",244186.791
"42","Hypoponera_opaciceps","Indoor Introduced",348020.6287
"43","Hypoponera_opacior","Indoor Introduced",318961.6037
"44","Hypoponera_punctatissima","Indoor Introduced",14205663.866125
"45","Hypoponera_ragusai","Indoor Introduced",561319.31884
"46","Lasius_emarginatus","Indoor Introduced",35607.34397
"47","Lasius_lasioides","Indoor Introduced",244186.791
"48","Lasius_niger","Indoor Introduced",16654.44205
"49","Lepisiota_frauenfeldi","Indoor Introduced",3093638.44305
"50","Lepisiota_nigra","Indoor Introduced",539465.9732
"51","Linepithema_angulatum","Indoor Introduced",361829.01736
"52","Linepithema_humile","Indoor Introduced",5270286.2258442
"53","Linepithema_iniquum","Indoor Introduced",937805.90817
"54","Linepithema_leucomelas","Indoor Introduced",83976.57525
"55","Monomorium_floricola","Indoor Introduced",3139211.28818
"56","Monomorium_monomorium","Indoor Introduced",244186.791
"57","Monomorium_pharaonis","Indoor Introduced",42768201.5784376
"58","Monomorium_salomonis","Indoor Introduced",427455.60515
"59","Neoponera_unidentata","Indoor Introduced",42867.41366
"60","Nylanderia_bourbonica","Indoor Introduced",251283.8896
"61","Nylanderia_braueri","Indoor Introduced",244186.791
"62","Nylanderia_braueri donisthorpei","Indoor Introduced",244186.791
"63","Nylanderia_clandestina","Indoor Introduced",16654.44205
"64","Nylanderia_flavipes","Indoor Introduced",651857.5304
"65","Nylanderia_fulva","Indoor Introduced",1189795.1867
"66","Nylanderia_guatemalensis","Indoor Introduced",751790.7946
"67","Nylanderia_jaegerskioeldi","Indoor Introduced",311920.4435
"68","Nylanderia_pubens","Indoor Introduced",25978.5976074
"69","Nylanderia_steinheili","Indoor Introduced",318961.6037
"70","Nylanderia_vividula","Indoor Introduced",3870741.33296
"71","Orectognathus_antennatus","Indoor Introduced",268475.548
"72","Paratrechina_longicornis","Indoor Introduced",11314525.7070074
"73","Pheidole_anastasii","Indoor Introduced",2205765.8196974
"74","Pheidole_bilimeki","Indoor Introduced",1998203.29877
"75","Pheidole_fervens","Indoor Introduced",78817.37109
"76","Pheidole_flavens","Indoor Introduced",318961.6037
"77","Pheidole_gertrudae","Indoor Introduced",244186.791
"78","Pheidole_indica","Indoor Introduced",244186.791
"79","Pheidole_megacephala","Indoor Introduced",2419547.75517
"80","Pheidole_moerens","Indoor Introduced",128037.2384
"81","Pheidole_navigans","Indoor Introduced",128037.2384
"82","Pheidole_nodus","Indoor Introduced",495470.6806
"83","Pheidole_pallidula","Indoor Introduced",42867.41366
"84","Pheidole_parva","Indoor Introduced",441379.39425
"85","Pheidole_punctatissima","Indoor Introduced",606015.80836
"86","Pheidole_punctulata","Indoor Introduced",244186.791
"87","Pheidole_sculpturata welgelegenensis","Indoor Introduced",244186.791
"88","Plagiolepis_alluaudi","Indoor Introduced",1307535.6855
"89","Plagiolepis_exigua","Indoor Introduced",244186.791
"90","Plagiolepis_pallescens","Indoor Introduced",354568.94767
"91","Plagiolepis_pygmaea","Indoor Introduced",35607.34397
"92","Plagiolepis_schmitzii","Indoor Introduced",896868.7922
"93","Ponera_coarctata","Indoor Introduced",42867.41366
"94","Prenolepis_nitens","Indoor Introduced",244186.791
"95","Pseudomyrmex_gracilis","Indoor Introduced",651857.5304
"96","Solenopsis_abdita","Indoor Introduced",318961.6037
"97","Solenopsis_geminata","Indoor Introduced",1015876.6705
"98","Solenopsis_invicta","Indoor Introduced",358853.280581
"99","Solenopsis_texana","Indoor Introduced",650329.2135
"100","Strumigenys_argiola","Indoor Introduced",357402.819
"101","Strumigenys_rogeri","Indoor Introduced",1550740.31346
"102","Tapinoma_darioi","Indoor Introduced",7482.254468
"103","Tapinoma_ibericum","Indoor Introduced",279794.13497
"104","Tapinoma_melanocephalum","Indoor Introduced",21374110.757038
"105","Tapinoma_minutum","Indoor Introduced",244186.791
"106","Tapinoma_sessile","Indoor Introduced",41287.89345
"107","Technomyrmex_albipes","Indoor Introduced",1308345.7712
"108","Technomyrmex_difficilis","Indoor Introduced",3265312.4627574
"109","Technomyrmex_elatior","Indoor Introduced",251283.8896
"110","Technomyrmex_pallipes","Indoor Introduced",763946.2286
"111","Technomyrmex_vitiensis","Indoor Introduced",1790079.18656
"112","Temnothorax_recedens","Indoor Introduced",42867.41366
"113","Tetramorium_bicarinatum","Indoor Introduced",4811530.41407
"114","Tetramorium_caldarium","Indoor Introduced",644777.02217
"115","Tetramorium_calidum","Indoor Introduced",539465.9732
"116","Tetramorium_insolens","Indoor Introduced",855497.89428
"117","Tetramorium_kheperra","Indoor Introduced",244186.791
"118","Tetramorium_lanuginosum","Indoor Introduced",260841.23305
"119","Tetramorium_lucayanum","Indoor Introduced",320953.78067
"120","Tetramorium_pacificum","Indoor Introduced",77549.72515
"121","Tetramorium_simillimum","Indoor Introduced",2363311.82295
"122","Tetramorium_tonganum","Indoor Introduced",244186.791
"123","Tetraponera_allaborans","Indoor Introduced",30587.52654
"124","Trichomyrmex_destructor","Indoor Introduced",808115.724
"125","Wasmannia_auropunctata","Indoor Introduced",5238581.1339
