"","Phy","Exotic_status","total.area"
"1","Acromyrmex_coronatus","Intercepted",35607.34397
"2","Acromyrmex_lobicornis","Intercepted",320854.5999
"3","Acromyrmex_lundii","Intercepted",35607.34397
"4","Anonychomyrma_itinerans","Intercepted",268475.548
"5","Anoplolepis_gracilipes","Intercepted",1039314.19547
"6","Aphaenogaster_longiceps","Intercepted",16654.44205
"7","Aphaenogaster_senilis","Intercepted",42867.41366
"8","Aphaenogaster_subterranea","Intercepted",593087.2472
"9","Brachymyrmex_australis","Intercepted",357402.819
"10","Brachymyrmex_cordemoyi","Intercepted",35607.34397
"11","Brachymyrmex_obscurior","Intercepted",304082.89197
"12","Brachymyrmex_patagonicus","Intercepted",393010.16297
"13","Brachyponera_chinensis","Intercepted",374057.26105
"14","Brachyponera_luteipes","Intercepted",16654.44205
"15","Camponotus_aegyptiacus","Intercepted",35607.34397
"16","Camponotus_aeneopilosus","Intercepted",268475.548
"17","Camponotus_atriceps","Intercepted",176006.36852
"18","Camponotus_bishamon","Intercepted",36261.8317
"19","Camponotus_britteni","Intercepted",1049080.5443
"20","Camponotus_bugnioni","Intercepted",35607.34397
"21","Camponotus_canescens","Intercepted",35607.34397
"22","Camponotus_chloroticus","Intercepted",268475.548
"23","Camponotus_chromaiodes","Intercepted",268475.548
"24","Camponotus_compressus","Intercepted",268475.548
"25","Camponotus_conspicuus zonatus","Intercepted",39.41308581
"26","Camponotus_exiguoguttatus","Intercepted",16654.44205
"27","Camponotus_fallax","Intercepted",71827.425086
"28","Camponotus_fastigatus","Intercepted",35607.34397
"29","Camponotus_floridanus","Intercepted",27061.58484581
"30","Camponotus_hemichlaena","Intercepted",36261.8317
"31","Camponotus_herculeanus","Intercepted",584531.51467
"32","Camponotus_irritans","Intercepted",268475.548
"33","Camponotus_irritans carinifer","Intercepted",27022.17176
"34","Camponotus_keihitoi","Intercepted",36261.8317
"35","Camponotus_maculatus","Intercepted",637994.1468
"36","Camponotus_mitis","Intercepted",35607.34397
"37","Camponotus_mus","Intercepted",203087.3576
"38","Camponotus_nawai","Intercepted",36261.8317
"39","Camponotus_nearcticus","Intercepted",268475.548
"40","Camponotus_nigroaeneus","Intercepted",268475.548
"41","Camponotus_novaeboracensis","Intercepted",36301.24478581
"42","Camponotus_novaehollandiae","Intercepted",268475.548
"43","Camponotus_obscuripes","Intercepted",36261.8317
"44","Camponotus_pennsylvanicus","Intercepted",611593.09951581
"45","Camponotus_perrisii nigeriensis","Intercepted",244186.791
"46","Camponotus_planatus","Intercepted",52261.78602
"47","Camponotus_rectangularis","Intercepted",35607.34397
"48","Camponotus_sayi","Intercepted",27022.17176
"49","Camponotus_sericeiventris rex","Intercepted",136998.277
"50","Camponotus_sexguttatus","Intercepted",16654.44205
"51","Camponotus_singularis","Intercepted",36261.8317
"52","Camponotus_sylvaticus","Intercepted",279794.13497
"53","Camponotus_tergestinus","Intercepted",27022.17176
"54","Camponotus_tortuganus","Intercepted",268475.548
"55","Camponotus_ustus","Intercepted",318961.6037
"56","Camponotus_vagus","Intercepted",27022.17176
"57","Camponotus_variegatus","Intercepted",268475.548
"58","Camponotus_werthi","Intercepted",7117.1343
"59","Cardiocondyla_britteni","Intercepted",244186.791
"60","Cardiocondyla_emeryi","Intercepted",304082.89197
"61","Cardiocondyla_nuda","Intercepted",304082.89197
