"","genus","Phy","abs_lat_native","total.area.introduced","Stratum","LogArea.introduced","valid_species_name","Phy_all_underscore","total.area.native","LogArea.native","n_introduced_ranges","Name","EFN","Domatia","Seed_Dispersal","ExoticY","IndoorY","InterceptedY","introducedY","subfamily"
"1","Acanthognathus","Acanthognathus_brevicornis",12.05909942,0,NA,NA,"Acanthognathus.brevicornis","Acanthognathus_brevicornis",5211436.976,6.71695749,NA,"Acanthognathus brevicornis","0","0","0",NA,NA,NA,0,"Myrmicinae"
"2","Acanthognathus","Acanthognathus_laevigatus",1.51680058,0,NA,NA,"Acanthognathus.laevigatus","Acanthognathus_laevigatus",32197.49456,4.507822079,NA,NA,NA,NA,NA,NA,NA,NA,0,"Myrmicinae"
"3","Acanthognathus","Acanthognathus_lentus",5.96879942,0,NA,NA,"Acanthognathus.lentus","Acanthognathus_lentus",2619761.366,6.418261733,NA,NA,NA,NA,NA,NA,NA,NA,0,"Myrmicinae"
"4","Acanthognathus","Acanthognathus_ocellatus",5.63584942,0,NA,NA,"Acanthognathus.ocellatus","Acanthognathus_ocellatus",7043580.208,6.847793464,NA,"Acanthognathus ocellatus","0","0","0",NA,NA,NA,0,"Myrmicinae"
"5","Acanthognathus","Acanthognathus_rudis",14.13059942,0,NA,NA,"Acanthognathus.rudis","Acanthognathus_rudis",3311084.056,6.519970206,NA,"Acanthognathus rudis","0","0","0",NA,NA,NA,0,"Myrmicinae"
"6","Acanthognathus","Acanthognathus_stipulosus",5.20489942,0,NA,NA,"Acanthognathus.stipulosus","Acanthognathus_stipulosus",3065146.857,6.486451287,NA,NA,NA,NA,NA,NA,NA,NA,0,"Myrmicinae"
"7","Acanthognathus","Acanthognathus_teledectus",0.20000058,0,NA,NA,"Acanthognathus.teledectus","Acanthognathus_teledectus",2202699.504,6.342955254,NA,"Acanthognathus teledectus","0","0","0",NA,NA,NA,0,"Myrmicinae"
"8","Acanthomyrmex","Acanthomyrmex_basispinosus",0.06904942,0,NA,NA,"Acanthomyrmex.basispinosus","Acanthomyrmex_basispinosus",924565.6504,5.965937754,NA,NA,NA,NA,NA,NA,NA,NA,0,"Myrmicinae"
"9","Acanthomyrmex","Acanthomyrmex_careoscrobis",1.14275058,0,NA,NA,"Acanthomyrmex.careoscrobis","Acanthomyrmex_careoscrobis",870096.226,5.939567285,NA,NA,NA,NA,NA,NA,NA,NA,0,"Myrmicinae"
"10","Acanthomyrmex","Acanthomyrmex_concavus",1.14275058,0,NA,NA,"Acanthomyrmex.concavus","Acanthomyrmex_concavus",737781.7092,5.867927884,NA,NA,NA,NA,NA,NA,NA,NA,0,"Myrmicinae"
"11","Acanthomyrmex","Acanthomyrmex_crassispinus",24.14150058,0,NA,NA,"Acanthomyrmex.crassispinus","Acanthomyrmex_crassispinus",36261.8317,4.559449738,NA,NA,NA,NA,NA,NA,NA,NA,0,"Myrmicinae"
"12","Acanthomyrmex","Acanthomyrmex_dusun",1.14275058,0,NA,NA,"Acanthomyrmex.dusun","Acanthomyrmex_dusun",737781.7092,5.867927884,NA,NA,NA,NA,NA,NA,NA,NA,0,"Myrmicinae"
"13","Acanthomyrmex","Acanthomyrmex_ferox",7.24980058,0,NA,NA,"Acanthomyrmex.ferox","Acanthomyrmex_ferox",1839833.134,6.264778436,NA,"Acanthomyrmex ferox","0","0","0",NA,NA,NA,0,"Myrmicinae"
"14","Acanthomyrmex","Acanthomyrmex_foveolatus",1.14275058,0,NA,NA,"Acanthomyrmex.foveolatus","Acanthomyrmex_foveolatus",737781.7092,5.867927884,NA,NA,NA,NA,NA,NA,NA,NA,0,"Myrmicinae"
"15","Acanthomyrmex","Acanthomyrmex_glabfemoralis",17.39995058,0,NA,NA,"Acanthomyrmex.glabfemoralis","Acanthomyrmex_glabfemoralis",738168.3433,5.868155416,NA,"Acanthomyrmex glabfemoralis","0","0","0",NA,NA,NA,0,"Myrmicinae"
"16","Acanthomyrmex","Acanthomyrmex_humilis",15.89620058,0,NA,NA,"Acanthomyrmex.humilis","Acanthomyrmex_humilis",326033.7914,5.513262614,NA,"Acanthomyrmex humilis","0","0","0",NA,NA,NA,0,"Myrmicinae"
"17","Acanthomyrmex","Acanthomyrmex_laevis",3.95635058,0,NA,NA,"Acanthomyrmex.laevis","Acanthomyrmex_laevis",132314.5167,5.121607495,NA,NA,NA,NA,NA,NA,NA,NA,0,"Myrmicinae"
"18","Acanthomyrmex","Acanthomyrmex_luciolae",17.57025058,0,NA,NA,"Acanthomyrmex.luciolae","Acanthomyrmex_luciolae",449684.8463,5.652908253,NA,"Acanthomyrmex luciolae","0","0","0",NA,NA,NA,0,"Myrmicinae"
"19","Acanthomyrmex","Acanthomyrmex_malikuli",13.04315058,0,NA,NA,"Acanthomyrmex.malikuli","Acanthomyrmex_malikuli",513327.8129,5.710394796,NA,NA,NA,NA,NA,NA,NA,NA,0,"Myrmicinae"
"20","Acanthomyrmex","Acanthomyrmex_mindanao",8.00330058,0,NA,NA,"Acanthomyrmex.mindanao","Acanthomyrmex_mindanao",1034645.715,6.014791663,NA,NA,NA,NA,NA,NA,NA,NA,0,"Myrmicinae"
"21","Acanthomyrmex","Acanthomyrmex_minus",0.02084942,0,NA,NA,"Acanthomyrmex.minus","Acanthomyrmex_minus",456409.0953,5.65935429,NA,NA,NA,NA,NA,NA,NA,NA,0,"Myrmicinae"
"22","Acanthomyrmex","Acanthomyrmex_mizunoi",13.04315058,0,NA,NA,"Acanthomyrmex.mizunoi","Acanthomyrmex_mizunoi",513327.8129,5.710394796,NA,NA,NA,NA,NA,NA,NA,NA,0,"Myrmicinae"
"23","Acanthomyrmex","Acanthomyrmex_notabilis",1.77424942,0,NA,NA,"Acanthomyrmex.notabilis","Acanthomyrmex_notabilis",264177.0614,5.421895105,NA,NA,NA,NA,NA,NA,NA,NA,0,"Myrmicinae"
"24","Acanthomyrmex","Acanthomyrmex_padanensis",0.02084942,0,NA,NA,"Acanthomyrmex.padanensis","Acanthomyrmex_padanensis",456409.0953,5.65935429,NA,NA,NA,NA,NA,NA,NA,NA,0,"Myrmicinae"
"25","Acanthomyrmex","Acanthomyrmex_sulawesiensis",1.36424942,0,NA,NA,"Acanthomyrmex.sulawesiensis","Acanthomyrmex_sulawesiensis",186783.9411,5.271339535,NA,NA,NA,NA,NA,NA,NA,NA,0,"Myrmicinae"
"26","Acanthomyrmex","Acanthomyrmex_thailandensis",13.04315058,0,NA,NA,"Acanthomyrmex.thailandensis","Acanthomyrmex_thailandensis",513327.8129,5.710394796,NA,"Acanthomyrmex thailandensis","0","0","0",NA,NA,NA,0,"Myrmicinae"
"27","Acanthoponera","Acanthoponera_goeldii",21.79694942,0,NA,NA,"Acanthoponera.goeldii","Acanthoponera_goeldii",1072365.918,6.030343003,NA,NA,NA,NA,NA,NA,NA,NA,0,"Ponerinae"
"28","Acanthoponera","Acanthoponera_minor",0.79044942,0,NA,NA,"Acanthoponera.minor","Acanthoponera_minor",2528942.349,6.402938929,NA,NA,NA,NA,NA,NA,NA,NA,0,"Ponerinae"
"29","Acanthoponera","Acanthoponera_mucronata",11.25659942,0,NA,NA,"Acanthoponera.mucronata","Acanthoponera_mucronata",9674292.032,6.985619193,NA,"Acanthoponera mucronata","0","0","0",NA,NA,NA,0,"Ponerinae"
"30","Acanthoponera","Acanthoponera_peruviana",6.29654942,0,NA,NA,"Acanthoponera.peruviana","Acanthoponera_peruviana",4575886.816,6.660475274,NA,NA,NA,NA,NA,NA,NA,NA,0,"Ponerinae"
"31","Acanthostichus","Acanthostichus_arizonensis",31.30460058,0,NA,NA,"Acanthostichus.arizonensis","Acanthostichus_arizonensis",1037866.929,6.016141674,NA,NA,NA,NA,NA,NA,NA,NA,0,"Cerapachyinae"
"32","Acanthostichus","Acanthostichus_bentoni",7.90449942,0,NA,NA,"Acanthostichus.bentoni","Acanthostichus_bentoni",2469394.25,6.392590433,NA,NA,NA,NA,NA,NA,NA,NA,0,"Cerapachyinae"
"33","Acanthostichus","Acanthostichus_brevicornis",6.37944942,0,NA,NA,"Acanthostichus.brevicornis","Acanthostichus_brevicornis",5466932.68,6.737743726,NA,"Acanthostichus brevicornis","0","0","0",NA,NA,NA,0,"Cerapachyinae"
"34","Acanthostichus","Acanthostichus_brevinodis",10.91199942,0,NA,NA,"Acanthostichus.brevinodis","Acanthostichus_brevinodis",3063575.353,6.486228567,NA,NA,NA,NA,NA,NA,NA,NA,0,"Cerapachyinae"
"35","Acanthostichus","Acanthostichus_concavinodis",11.46624942,0,NA,NA,"Acanthostichus.concavinodis","Acanthostichus_concavinodis",2378365.592,6.376278613,NA,NA,NA,NA,NA,NA,NA,NA,0,"Cerapachyinae"
"36","Acanthostichus","Acanthostichus_davisi",32.01590058,0,NA,NA,"Acanthostichus.davisi","Acanthostichus_davisi",3216484.167,6.507381418,NA,NA,NA,NA,NA,NA,NA,NA,0,"Cerapachyinae"
"37","Acanthostichus","Acanthostichus_emmae",17.16235058,0,NA,NA,"Acanthostichus.emmae","Acanthostichus_emmae",92536.68165,4.966313922,NA,NA,NA,NA,NA,NA,NA,NA,0,"Cerapachyinae"
"38","Acanthostichus","Acanthostichus_femoralis",12.88234942,0,NA,NA,"Acanthostichus.femoralis","Acanthostichus_femoralis",1784684.096,6.251561353,NA,NA,NA,NA,NA,NA,NA,NA,0,"Cerapachyinae"
"39","Acanthostichus","Acanthostichus_flexuosus",27.66294942,0,NA,NA,"Acanthostichus.flexuosus","Acanthostichus_flexuosus",95125.94332,4.978298976,NA,NA,NA,NA,NA,NA,NA,NA,0,"Cerapachyinae"
"40","Acanthostichus","Acanthostichus_fuscipennis",8.43434942,0,NA,NA,"Acanthostichus.fuscipennis","Acanthostichus_fuscipennis",7777094.356,6.890817368,NA,"Acanthostichus fuscipennis","0","0","0",NA,NA,NA,0,"Cerapachyinae"
"41","Acanthostichus","Acanthostichus_kirbyi",12.76724942,0,NA,NA,"Acanthostichus.kirbyi","Acanthostichus_kirbyi",8859507.113,6.947409561,NA,NA,NA,NA,NA,NA,NA,NA,0,"Cerapachyinae"
"42","Acanthostichus","Acanthostichus_laevigatus",6.56885058,0,NA,NA,"Acanthostichus.laevigatus","Acanthostichus_laevigatus",912675.4032,5.960316346,NA,NA,NA,NA,NA,NA,NA,NA,0,"Cerapachyinae"
"43","Acanthostichus","Acanthostichus_laticornis",16.18014942,0,NA,NA,"Acanthostichus.laticornis","Acanthostichus_laticornis",4653036.964,6.667736503,NA,NA,NA,NA,NA,NA,NA,NA,0,"Cerapachyinae"
"44","Acanthostichus","Acanthostichus_lattkei",6.56885058,0,NA,NA,"Acanthostichus.lattkei","Acanthostichus_lattkei",912675.4032,5.960316346,NA,NA,NA,NA,NA,NA,NA,NA,0,"Cerapachyinae"
"45","Acanthostichus","Acanthostichus_longinodis",22.38684942,0,NA,NA,"Acanthostichus.longinodis","Acanthostichus_longinodis",755026.1652,5.877962002,NA,"Acanthostichus longinodis","0","0","0",NA,NA,NA,0,"Cerapachyinae"
"46","Acanthostichus","Acanthostichus_punctiscapus",34.16780058,0,NA,NA,"Acanthostichus.punctiscapus","Acanthostichus_punctiscapus",609492.651,5.784968473,NA,NA,NA,NA,NA,NA,NA,NA,0,"Cerapachyinae"
"47","Acanthostichus","Acanthostichus_quadratus",14.42194942,0,NA,NA,"Acanthostichus.quadratus","Acanthostichus_quadratus",9551677.18,6.980079636,NA,"Acanthostichus quadratus","0","0","0",NA,NA,NA,0,"Cerapachyinae"
"48","Acanthostichus","Acanthostichus_quirozi",19.81110058,0,NA,NA,"Acanthostichus.quirozi","Acanthostichus_quirozi",122349.7784,5.087603187,NA,NA,NA,NA,NA,NA,NA,NA,0,"Cerapachyinae"
"49","Acanthostichus","Acanthostichus_sanchezorum",11.62599942,0,NA,NA,"Acanthostichus.sanchezorum","Acanthostichus_sanchezorum",114976.8885,5.060610552,NA,NA,NA,NA,NA,NA,NA,NA,0,"Cerapachyinae"
"50","Acanthostichus","Acanthostichus_serratulus",14.15049942,0,NA,NA,"Acanthostichus.serratulus","Acanthostichus_serratulus",5370973.664,6.730053023,NA,"Acanthostichus serratulus","0","0","0",NA,NA,NA,0,"Cerapachyinae"
"51","Acanthostichus","Acanthostichus_skwarrae",19.81110058,0,NA,NA,"Acanthostichus.skwarrae","Acanthostichus_skwarrae",71180.75101,4.852362566,NA,NA,NA,NA,NA,NA,NA,NA,0,"Cerapachyinae"
"52","Acanthostichus","Acanthostichus_texanus",27.07655058,0,NA,NA,"Acanthostichus.texanus","Acanthostichus_texanus",1810172.842,6.257720045,NA,NA,NA,NA,NA,NA,NA,NA,0,"Cerapachyinae"
"53","Acanthostichus","Acanthostichus_truncatus",0.42285058,0,NA,NA,"Acanthostichus.truncatus","Acanthostichus_truncatus",25106.7764,4.399790955,NA,NA,NA,NA,NA,NA,NA,NA,0,"Cerapachyinae"
"54","Acromyrmex","Acromyrmex_ambiguus",25.27044942,0,NA,NA,"Acromyrmex.ambiguus","Acromyrmex_ambiguus",3687279.58,6.566706068,NA,"Acromyrmex ambiguus","0","0","0",NA,NA,NA,0,"Myrmicinae"
"55","Acromyrmex","Acromyrmex_ameliae",18.56749942,0,NA,NA,"Acromyrmex.ameliae","Acromyrmex_ameliae",586444.909,5.76822722,NA,"Acromyrmex ameliae","0","0","0",NA,NA,NA,0,"Myrmicinae"
"56","Acromyrmex","Acromyrmex_aspersus",NA,0,NA,NA,"Acromyrmex.aspersus","Acromyrmex_aspersus",9723978.984,6.987844012,NA,"Acromyrmex aspersus","0","0","0",NA,NA,NA,0,"Myrmicinae"
