"","Phy","Stratum"
"1","Acromyrmex_coronatus","Epigaeic"
"2","Acromyrmex_lobicornis","Epigaeic"
"3","Acromyrmex_lundii","Epigaeic"
"4","Acromyrmex_octospinosus","Epigaeic"
"5","Acromyrmex_octospinosus cubanus","Epigaeic"
"6","Adelomyrmex_myops","Epigaeic & Hypogaeic"
"7","Amblyopone_australis","Epigaeic & Hypogaeic"
"8","Anochetus_emarginatus","Arboreal & Epigaeic"
"9","Anochetus_ghilianii","Arboreal & Epigaeic"
"10","Anochetus_graeffei","Arboreal & Epigaeic"
"11","Anochetus_mayri","Arboreal & Epigaeic"
"12","Anochetus_sedilloti","Arboreal & Epigaeic"
"13","Anonychomyrma_itinerans","Arboreal & Epigaeic"
"14","Anoplolepis_gracilipes","Epigaeic"
"15","Anoplolepis_steingroeveri gertrudae","Epigaeic"
"16","Aphaenogaster_gemella","Epigaeic"
"17","Aphaenogaster_iberica","Epigaeic"
"18","Aphaenogaster_longiceps","Epigaeic"
"19","Aphaenogaster_ovaticeps","Epigaeic"
"20","Aphaenogaster_senilis","Epigaeic"
"21","Aphaenogaster_splendida","Epigaeic"
"22","Aphaenogaster_subterranea","Epigaeic"
"23","Azteca_constructor","Arboreal"
"24","Azteca_flavigaster","Arboreal"
"25","Brachymyrmex_aphidicola","Arboreal & Epigaeic"
"26","Brachymyrmex_australis","Arboreal & Epigaeic"
"27","Brachymyrmex_cordemoyi","Arboreal & Epigaeic"
"28","Brachymyrmex_heeri","Arboreal & Epigaeic"
"29","Brachymyrmex_minutus","Arboreal & Epigaeic"
"30","Brachymyrmex_obscurior","Arboreal & Epigaeic"
"31","Brachymyrmex_patagonicus","Arboreal & Epigaeic"
"32","Brachymyrmex_termitophilus","Arboreal & Epigaeic"
"33","Brachyponera_chinensis","Epigaeic"
"34","Brachyponera_luteipes","Epigaeic"
"35","Brachyponera_obscurans","Epigaeic"
"36","Brachyponera_sennaarensis","Epigaeic"
"37","Camponotus_aegyptiacus","Arboreal & Epigaeic"
"38","Camponotus_aeneopilosus","Arboreal & Epigaeic"
"39","Camponotus_atriceps","Arboreal & Epigaeic"
"40","Camponotus_barbaricus","Arboreal & Epigaeic"
"41","Camponotus_bishamon","Arboreal & Epigaeic"
"42","Camponotus_brevis","Arboreal & Epigaeic"
"43","Camponotus_britteni","Arboreal & Epigaeic"
"44","Camponotus_bugnioni","Arboreal & Epigaeic"
"45","Camponotus_canescens","Arboreal & Epigaeic"
"46","Camponotus_chloroticus","Arboreal & Epigaeic"
