genus,tribe
Acanthognathus,Dacetonini
Acanthomyrmex,Myrmecinini
Acanthoponera,Ectatommini
Acanthostichus,Acanthostichini
Acromyrmex,Attini
Acropyga,Plagiolepidini
Adelomyrmex,Stenammini
Adetomyrma,Amblyoponini
Adlerzia,Pheidologetonini
Aenictogiton,NA
Aenictus,NA
Agraulomyrmex,Plagiolepidini
Alloformica,Formicini
Allomerus,Solenopsidini
Amblyopone,Amblyoponini
Ancyridris,Stenammini
Aneuretus,Aneuretini
Anillidris,Leptomyrmicini
Anillomyrma,Solenopsidini
Ankylomyrma,Formicoxenini
Anochetus,Ponerini
Anomalomyrma,Anomalomyrmini
Anonychomyrma,Leptomyrmicini
Anoplolepis,Plagiolepidini
Aphaenogaster,Pheidolini
Aphomomyrmex,Brachymyrmecini
Apomyrma,NA
Apterostigma,Attini
Aptinoma,Tapinomini
Aretidris,Crematogastrini
Arnoldius,Bothriomyrmecini
Asphinctopone,Ponerini
Atopomyrmex,Formicoxenini
Atta,Attini
Aulacopone,Ectatommini
Austromorium,Solenopsidini
Austroponera,Ponerini
Axinidris,Tapinomini
Azteca,Leptomyrmicini
Bajcaridris,Formicini
Bannapone,NA
Baracidris,Stenammini
Bariamyrma,Stenammini
Basiceros,Basicerotini
Belonopelta,Ponerini
Blepharidatta,Blepharidattini
Boloponera,Ponerini
Bondroitia,Solenopsidini
Bothriomyrmex,Bothriomyrmecini
Bothroponera,Ponerini
Brachymyrmex,Brachymyrmecini
Brachyponera,Ponerini
Bregmatomyrma,Bregmatomyrmini
Buniapone,Ponerini
Calomyrmex,Camponotini
Calyptomyrmex,Stenammini
Camponotus,Camponotini
Cardiocondyla,Formicoxenini
Carebara,Pheidologetonini
Cataglyphis,Formicini
Cataglyphoides,Formicini
Cataulacus,Cataulacini
Centromyrmex,Ponerini
Cephalotes,Cephalotini
Cerapachys,Cerapachyini
Chalepoxenus,Formicoxenini
Chelaner,Solenopsidini
Cheliomyrmex,Cheliomyrmecini
Chimaeridris,Pheidolini
Chronoxenus,Bothriomyrmecini
Chrysapace,NA
Cladomyrma,Brachymyrmecini
Colobopsis,Pheidolini
Colobostruma,Dacetonini
Crematogaster,Crematogastrini
Cryptomyrmex,Solenopsidini
Cryptopone,Ponerini
Ctenobethylus,Tapinomini
Cyatta,Attini
Cylindromyrmex,Cylindromyrmecini
Cyphoidris,Stenammini
Cyphomyrmex,Attini
Dacatria,Stenammini
Dacetinops,Stenammini
Daceton,Dacetonini
Decamorium,Tetramoriini
Diacamma,Ponerini
Diaphoromyrma,Attini
Dicroaspis,Stenammini
Dilobocondyla,Formicoxenini
Dinomyrmex,Camponotini
Dinoponera,Ponerini
Diplomorium,Solenopsidini
Discothyrea,Proceratiini
Dlusskyidris,NA
Doleromyrma,Leptomyrmicini
Dolichoderus,Dolichoderini
Dolioponera,Ponerini
Dolopomyrmex,Solenopsidini
Dorylus,NA
Dorymyrmex,Leptomyrmicini
Eburopone,NA
Echinopla,Camponotini
Eciton,Ecitonini
Ecphorella,Tapinomini
Ectatomma,Ectatommini
Ectomomyrmex,Ponerini
Emeryopone,Ponerini
Eoformica,NA
Epelysidris,Solenopsidini
Epopostruma,Dacetonini
Erromyrma,Solenopsidini
Eulithomyrmex,Agroecomyrmecini
Euponera,Ponerini
Euprenolepis,Lasiini
Eurhopalothrix,Basicerotini
Eusphinctus,NA
Eutetramorium,Myrmicini
Feroponera,Ponerini
Fisheropone,Ponerini
Forelius,Leptomyrmicini
Forelophilus,Camponotini
