bentity2_name,Phy,Genus_name,Ecological.Stratum,Exotic_status,Notes,area_sqkm
Acre,Tetramorium_bicarinatum,Tetramorium,Arboreal & Epigaeic,Exotic,,152057.5295
Acre,Monomorium_pharaonis,Monomorium,Arboreal & Epigaeic,Exotic,,152057.5295
Acre,Monomorium_floricola,Monomorium,Arboreal & Epigaeic,Exotic,,152057.5295
Acre,Paratrechina_longicornis,Paratrechina,Epigaeic,Exotic,,152057.5295
Acre,Nylanderia_fulva,Nylanderia,Epigaeic,Exotic,,152057.5295
Acre,Tapinoma_melanocephalum,Tapinoma,Arboreal & Epigaeic,Exotic,,152057.5295
Aegean Islands,Cardiocondyla_mauritanica,Cardiocondyla,Epigaeic,Exotic,,10388.5216
Aegean Islands,Hypoponera_punctatissima,Hypoponera,Epigaeic & Hypogaeic,Exotic,,10388.5216
Aegean Islands,Tapinoma_simrothi,Tapinoma,Arboreal & Epigaeic,Exotic,,10388.5216
Aegean Islands,Nylanderia_jaegerskioeldi,Nylanderia,Epigaeic,Exotic,,10388.5216
Aegean Islands,Solenopsis_geminata,Solenopsis,Epigaeic & Hypogaeic,Indoor Introduced,,10388.5216
Aegean Islands,Aphaenogaster_splendida,Aphaenogaster,Epigaeic,Exotic,,10388.5216
Aegean Islands,Monomorium_pharaonis,Monomorium,Arboreal & Epigaeic,Indoor Introduced,,10388.5216
Aegean Islands,Lepisiota_syriaca,Lepisiota,Epigaeic,Exotic,,10388.5216
Aegean Islands,Monomorium_bicolor,Monomorium,Arboreal & Epigaeic,Exotic,,10388.5216
Aegean Islands,Paratrechina_longicornis,Paratrechina,Epigaeic,Exotic,,10388.5216
Aegean Islands,Tetramorium_immigrans,Tetramorium,Arboreal & Epigaeic,Exotic,,10388.5216
Aegean Islands,Pheidole_indica,Pheidole,Epigaeic,Exotic,,10388.5216
Aegean Islands,Lasius_neglectus,Lasius,Epigaeic & Hypogaeic,Exotic,,10388.5216
Afghanistan,Tapinoma_melanocephalum,Tapinoma,Arboreal & Epigaeic,Exotic,,641660.5846
Afghanistan,Trichomyrmex_destructor,Trichomyrmex,Epigaeic,Exotic,,641660.5846
Aguascalientes,Paratrechina_longicornis,Paratrechina,Epigaeic,Exotic,,5486.759831
Aguascalientes,Solenopsis_invicta,Solenopsis,Epigaeic & Hypogaeic,Exotic,,5486.759831
Aguascalientes,Solenopsis_invicta,Solenopsis,Epigaeic & Hypogaeic,Indoor Introduced,,5486.759831
Aguascalientes,Monomorium_pharaonis,Monomorium,Arboreal & Epigaeic,Exotic,,5486.759831
Aguascalientes,Anoplolepis_gracilipes,Anoplolepis,Epigaeic,Exotic,,5486.759831
Alabama,Pheidole_obscurithorax,Pheidole,Epigaeic,Exotic,,134371.3099
Alabama,Solenopsis_invicta,Solenopsis,Epigaeic & Hypogaeic,Exotic,,134371.3099
Alabama,Linepithema_humile,Linepithema,Epigaeic,Exotic,,134371.3099
Alabama,Strumigenys_silvestrii,Strumigenys,Arboreal & Epigaeic & Hypogaeic,Exotic,,134371.3099
Alabama,Tetramorium_bicarinatum,Tetramorium,Arboreal & Epigaeic,Exotic,,134371.3099
Alabama,Strumigenys_margaritae,Strumigenys,Arboreal & Epigaeic & Hypogaeic,Exotic,,134371.3099
Alabama,Tetramorium_immigrans,Tetramorium,Arboreal & Epigaeic,Exotic,,134371.3099
Alabama,Odontomachus_ruginodis,Odontomachus,Epigaeic,Exotic,,134371.3099
Alabama,Brachymyrmex_obscurior,Brachymyrmex,Arboreal & Epigaeic,Exotic,,134371.3099
Alabama,Monomorium_pharaonis,Monomorium,Arboreal & Epigaeic,Indoor Introduced,,134371.3099
