"","Phy","Valid","abs_lat_native","total.area.introduced","Stratum","Phy_all_underscore","total.area.native","LogArea.native","Name","EFN","Domatia","Seed_Dispersal"
"1","Acanthognathus_brevicornis","Acanthognathus.brevicornis",12.05909942,0,NA,"Acanthognathus_brevicornis",5211436.976,6.71695749,"Acanthognathus brevicornis",0,0,0
"2","Acanthognathus_ocellatus","Acanthognathus.ocellatus",5.63584942,0,NA,"Acanthognathus_ocellatus",7043580.208,6.847793464,"Acanthognathus ocellatus",0,0,0
"3","Acanthognathus_rudis","Acanthognathus.rudis",14.13059942,0,NA,"Acanthognathus_rudis",3311084.056,6.519970206,"Acanthognathus rudis",0,0,0
"4","Acanthognathus_teledectus","Acanthognathus.teledectus",0.20000058,0,NA,"Acanthognathus_teledectus",2202699.504,6.342955254,"Acanthognathus teledectus",0,0,0
"5","Acanthomyrmex_ferox","Acanthomyrmex.ferox",7.24980058,0,NA,"Acanthomyrmex_ferox",1839833.134,6.264778436,"Acanthomyrmex ferox",0,0,0
"6","Acanthomyrmex_glabfemoralis","Acanthomyrmex.glabfemoralis",17.39995058,0,NA,"Acanthomyrmex_glabfemoralis",738168.3433,5.868155416,"Acanthomyrmex glabfemoralis",0,0,0
"7","Acanthomyrmex_humilis","Acanthomyrmex.humilis",15.89620058,0,NA,"Acanthomyrmex_humilis",326033.7914,5.513262614,"Acanthomyrmex humilis",0,0,0
"8","Acanthomyrmex_luciolae","Acanthomyrmex.luciolae",17.57025058,0,NA,"Acanthomyrmex_luciolae",449684.8463,5.652908253,"Acanthomyrmex luciolae",0,0,0
"9","Acanthomyrmex_thailandensis","Acanthomyrmex.thailandensis",13.04315058,0,NA,"Acanthomyrmex_thailandensis",513327.8129,5.710394796,"Acanthomyrmex thailandensis",0,0,0
"10","Acanthoponera_mucronata","Acanthoponera.mucronata",11.25659942,0,NA,"Acanthoponera_mucronata",9674292.032,6.985619193,"Acanthoponera mucronata",0,0,0
"11","Acanthostichus_brevicornis","Acanthostichus.brevicornis",6.37944942,0,NA,"Acanthostichus_brevicornis",5466932.68,6.737743726,"Acanthostichus brevicornis",0,0,0
