Ant domatium-bearing species,Family,References,Geography,Type of domatia,Confidence level,Notes
Absolmsia spartoides (Benth.) Kuntze,Apocynaceae,Wannthorp et al. (2006),Borneo,Tangled roots providing a scaffold for ant nesting,High,
Acacia bullockii Brenan,Fabaceae-Mimosoideae,Hocking (1970),Africa,Swollen stipular thorns,High,
Acacia burttii Baker f.,Fabaceae-Mimosoideae,Hocking (1970),"East Africa, Tanzania",Swollen stipular thorns,High,
Acacia bussei Sjostedt,Fabaceae-Mimosoideae,Wheeler (1942); Jolivet (1996),East Africa,Swollen stipular thorns,High,
Acacia cedilloi L. Rico,Fabaceae-Mimosoideae,Gomez-Acevedo et al. (2010),Neotropics,Swollen stipular thorns,High,
Acacia chiapensis Saff.,Fabaceae-Mimosoideae,Heil et al. (2009),Mexico,Swollen stipular thorns,High,
Acacia collinsii Saff.,Fabaceae-Mimosoideae,Heil et al. (2009),Mexico,Swollen stipular thorns,High,
Acacia cornigera (L.) Willd.,Fabaceae-Mimosoideae,Janzen (1966),Neotropics,Swollen stipular thorns,High,
Acacia drepanolobium Sjostedt,Fabaceae-Mimosoideae,Gomez-Acevedo et al. (2010),Africa,Swollen stipular thorns,High,
Acacia elatior Brenan,Fabaceae-Mimosoideae,Hocking (1970),"East Africa, Tanzania",Swollen stipular thorns,High,
Acacia erythrophloea Brenan,Fabaceae-Mimosoideae,Hocking (1970),"East Africa, Tanzania",Swollen stipular thorns,High,
Acacia gentlei Standl.,Fabaceae-Mimosoideae,Gomez-Acevedo et al. (2010),Neotropics,Swollen stipular thorns,High,
Acacia globulifera Saff.,Fabaceae-Mimosoideae,Gomez-Acevedo et al. (2010),Neotropics,Swollen stipular thorns,High,
Acacia hindsii Benth.,Fabaceae-Mimosoideae,Heil et al. (2009) ; Heil et al. (2010),Neotropics,Swollen stipular thorns,High,
Acacia hirtipes Saff.,Fabaceae-Mimosoideae,"Gomez-Acevedo et al. (2010); confirmed on herbarium specimen, see Eyde E.T & Lux E. 3299 (US)",Neotropics,Swollen stipular thorns,High,https://plants.jstor.org/stable/10.5555/al.ap.specimen.us00000224?searchUri=filter%3Dname%26so%3Dps_group_by_genus_species%2Basc%26Query%3DAcacia%2Bhirtipes
Acacia horrida (L.) Willd.,Fabaceae-Mimosoideae,Hocking (1970); Ward Blog (http://wardlab.wordpress.com/research/pseudomyrmecinae/ant-plants/),India,Swollen stipular thorns,Moderate,
Acacia leucophloea (Roxb.) Willd.,Fabaceae-Mimosoideae,Mani (1964); Jolivet (1996),India,Swollen stipular thorns,High,
Acacia luederitzii Engl.,Fabaceae-Mimosoideae,Gomez-Acevedo et al. (2010),Africa,Swollen stipular thorns,High,
Acacia malacocephala Harms,Fabaceae-Mimosoideae,Wheeler (1942); Jolivet (1996); Hocking (1970),Africa,Swollen stipular thorns,High,
Acacia mayana Lundell,Fabaceae-Mimosoideae,Gomez-Acevedo et al. (2010),Neotropics,Swollen stipular thorns,High,
Acacia mbuluensis Brenan,Fabaceae-Mimosoideae,Hocking (1970),East Africa,Swollen stipular thorns,High,
Acacia melanoceras Beurl.,Fabaceae-Mimosoideae,Seiber and Erbinger (1995),Neotropics,Swollen stipular thorns,High,
Acacia myrmecophila R.Vig.,Fabaceae-Mimosoideae,Paulian (1949),"Madagascar, South of the Island",Swollen stipular thorns,High,
Acacia pseudofistula Harms,Fabaceae-Mimosoideae,Brown (1960); Hocking (1970),Tropical Africa,Swollen stipular thorns,High,
Acacia seyal Delile,Fabaceae-Mimosoideae,Gomez-Acevedo et al. (2010),Africa,Swollen stipular thorns,High,
Acacia sphaerocephala Schltdl. & Cham.,Fabaceae-Mimosoideae,Gomez-Acevedo et al. (2010),Neotropics,Swollen stipular thorns,High,
Acacia zanzibarica (S.Moore) Taub.,Fabaceae-Mimosoideae,Wheeler (1942); Jolivet (1996),Africa,Swollen stipular thorns,High,
Aiouea vexatrix van der Werff,Lauraceae,Van der Werff (1988); Jolivet (1996),Panama,Stem domatia - swollen hollow twigs,High,
Alexa cowanii Yakovlev,Fabaceae-Faboideae,McKey (1989),Neotropics,Stem domatia - hollow stem - details unknown,Moderate,
