Phy,Exotic_status
Acromyrmex_coronatus,Intercepted
Acromyrmex_lobicornis,Intercepted
Acromyrmex_lundii,Intercepted
Acromyrmex_octospinosus,Exotic
Acromyrmex_octospinosus cubanus,Exotic
Adelomyrmex_myops,Exotic
Amblyopone_australis,Exotic
Anochetus_emarginatus,Exotic
Anochetus_ghilianii,Exotic
Anochetus_graeffei,Exotic
Anochetus_sedilloti,Exotic
Anonychomyrma_itinerans,Intercepted
Anoplolepis_steingroeveri gertrudae,Exotic
Aphaenogaster_iberica,Exotic
Aphaenogaster_longiceps,Intercepted
Aphaenogaster_ovaticeps,Exotic
Aphaenogaster_splendida,Exotic
Aphaenogaster_subterranea,Intercepted
Azteca_constructor,Indoor Introduced
Azteca_flavigaster,Indoor Introduced
Brachymyrmex_aphidicola,Exotic
Brachymyrmex_minutus,Exotic
Brachymyrmex_termitophilus,Exotic
Brachyponera_obscurans,Exotic
Brachyponera_sennaarensis,Exotic
Camponotus_aegyptiacus,Intercepted
Camponotus_aeneopilosus,Intercepted
Camponotus_barbaricus,Indoor Introduced
Camponotus_bishamon,Intercepted
Camponotus_brevis,Indoor Introduced
Camponotus_britteni,Intercepted
Camponotus_canescens,Intercepted
Camponotus_chloroticus,Intercepted
Camponotus_chromaiodes,Intercepted
Camponotus_essigi,Exotic
Camponotus_exiguoguttatus,Intercepted
Camponotus_fabricator,Exotic
Camponotus_fallax,Intercepted
Camponotus_fastigatus,Intercepted
Camponotus_floridanus,Intercepted
Camponotus_hemichlaena,Intercepted
Camponotus_herculeanus,Intercepted
Camponotus_hova,Exotic
Camponotus_irritans,Intercepted
Camponotus_irritans carinifer,Intercepted
Camponotus_itoi,Indoor Introduced
Camponotus_keihitoi,Intercepted
Camponotus_mitis,Intercepted
Camponotus_mus,Intercepted
Camponotus_nawai,Intercepted
Camponotus_nearcticus,Intercepted
Camponotus_nigroaeneus,Intercepted
Camponotus_novaeboracensis,Intercepted
Camponotus_novaehollandiae,Intercepted
Camponotus_nylanderi,Indoor Introduced
Camponotus_perrisii nigeriensis,Intercepted
Camponotus_planatus continentis,Exotic
Camponotus_rectangularis,Intercepted
Camponotus_sayi,Intercepted
Camponotus_sericeiventris rex,Intercepted
Camponotus_sericeus,Exotic
Camponotus_singularis,Intercepted
Camponotus_snellingi,Indoor Introduced
Camponotus_sylvaticus,Intercepted
Camponotus_tergestinus,Intercepted
Camponotus_thoracicus,Indoor Introduced
Camponotus_ustus,Intercepted
Camponotus_werthi,Intercepted
Cardiocondyla_batesii,Exotic
Cardiocondyla_breviscapa,Exotic
Cardiocondyla_britteni,Intercepted
Cardiocondyla_fajumensis,Exotic
Cardiocondyla_itsukii,Exotic
Cardiocondyla_kagutsuchi,Exotic
Cardiocondyla_mauritanica,Exotic
Cardiocondyla_minutior,Exotic
Cardiocondyla_nigra,Exotic
Cardiocondyla_strigifrons,Exotic
Cardiocondyla_tjibodana,Exotic
Cardiocondyla_venustula,Exotic
Cataglyphis_nodus,Exotic
Cephalotes_curvistriatus,Intercepted
Cephalotes_pusillus,Intercepted
Chelaner_antarcticus,Exotic
Colobopsis_mississippiensis,Intercepted
Crematogaster_algirica,Intercepted
Crematogaster_ashmeadi,Intercepted
Crematogaster_bicolor,Exotic
Crematogaster_carinata,Intercepted
Crematogaster_coarctata,Intercepted
Crematogaster_crinosa,Intercepted
Crematogaster_curvispinosa,Intercepted
Crematogaster_egidyi,Intercepted
Crematogaster_inermis,Exotic
Crematogaster_irritabilis,Exotic
Crematogaster_lineolata,Intercepted
Crematogaster_nawai,Intercepted
Crematogaster_obscurata,Exotic
Crematogaster_rochai,Intercepted
Crematogaster_rogenhoferi,Intercepted
Crematogaster_steinheili,Intercepted
Crematogaster_subdentata,Exotic
Crematogaster_teranishii,Intercepted
Crematogaster_terminalis,Indoor Introduced
Crematogaster_torosa,Intercepted
Cryptopone_testacea,Exotic
Cylindromyrmex_whymperi,Exotic
Cyphomyrmex_salvini,Exotic
Diacamma_indicum,Indoor Introduced
Diacamma_rugosum,Intercepted
Diacamma_vagans,Indoor Introduced
Doleromyrma_darwiniana,Exotic
Dolichoderus_lutosus,Intercepted
Dolichoderus_quadripunctatus,Intercepted
Ectatomma_brunneum,Intercepted
Ectatomma_ruidum,Exotic
Formica_fusca,Intercepted
Formica_obscuripes,Indoor Introduced
Formica_paralugubris,Exotic
Formica_rufa,Indoor Introduced
Formica_rufibarbis,Exotic
Formica_subpolita,Intercepted
Gnamptogenys_porcata,Intercepted
Gnamptogenys_regularis,Indoor Introduced
Gnamptogenys_triangularis,Exotic
Hypoponera_boerorum,Indoor Introduced
Hypoponera_confinis,Exotic
Hypoponera_elliptica,Exotic
Hypoponera_gibbinota,Indoor Introduced
Hypoponera_opaciceps pampana,Exotic
Hypoponera_punctatissima indifferens,Exotic
Hypoponera_trigona,Exotic
Hypoponera_zwaluwenburgi,Exotic
Iridomyrmex_chasei,Intercepted
Iridomyrmex_cyaneus,Intercepted
Iridomyrmex_minor,Exotic
Iridomyrmex_purpureus,Intercepted
Iridomyrmex_rufoniger,Intercepted
Iridomyrmex_suchieri,Exotic
Iridomyrmex_victorianus,Intercepted
Lasius_americanus,Intercepted
Lasius_citrinus,Exotic
Lasius_flavus,Intercepted
Lasius_fuliginosus,Intercepted
Lasius_interjectus,Intercepted
Lasius_japonicus,Exotic
Lasius_neoniger,Intercepted
Lasius_productus,Intercepted
Lepisiota_bipartita,Exotic
Lepisiota_canescens,Exotic
Lepisiota_frauenfeldi kantarensis,Exotic
Lepisiota_incisa,Intercepted
Lepisiota_nigra,Indoor Introduced
Lepisiota_obtusa,Intercepted
Lepisiota_spinisquama,Exotic
Lepisiota_syriaca,Exotic
Leptogenys_falcigera,Exotic
Leptogenys_maxillosa,Exotic
Leptogenys_pavesii,Exotic
Leptomyrmex_wiburdi,Intercepted
Linepithema_angulatum,Indoor Introduced
Linepithema_dispertitum,Intercepted
Linepithema_leucomelas,Indoor Introduced
Linepithema_micans,Exotic
Liometopum_microcephalum,Intercepted
Lioponera_longitarsus,Exotic
Mayriella_abstinens,Exotic
Mayriella_spinosior,Intercepted
Melophorus_hirsutus,Intercepted
Meranoplus_bicolor,Intercepted
Meranoplus_castaneus,Intercepted
Meranoplus_minor,Exotic
Mesoponera_testacea,Exotic
Messor_capitatus,Exotic
Messor_lusitanicus,Exotic
Messor_minor,Exotic
Messor_structor,Exotic
Monomorium_andrei,Exotic
Monomorium_atomum,Exotic
Monomorium_atomum cooperi,Exotic
Monomorium_bicolor,Exotic
Monomorium_carbonarium,Exotic
Monomorium_clavicorne,Exotic
Monomorium_exiguum,Exotic
Monomorium_fieldi,Exotic
Monomorium_holothir,Exotic
Monomorium_intrudens,Exotic
Monomorium_liliuokalanii,Exotic
Monomorium_minimum,Intercepted
Monomorium_subopacum,Exotic
Monomorium_sydneyense,Exotic
Monomorium_trageri,Exotic
Myrmecia_brevinoda,Exotic
Myrmecia_gulosa,Intercepted
Myrmecia_nigrocincta,Intercepted
Myrmelachista_ramulorum,Exotic
Myrmica_kotokui,Exotic
Myrmica_lobulicornis,Exotic
Myrmica_punctiventris,Intercepted
Myrmica_rubra neolaevinodis,Intercepted
Myrmica_ruginodis,Intercepted
Myrmica_scabrinodis,Exotic
Myrmica_specioides,Exotic
Myrmicaria_natalensis,Intercepted
Myrmoteras_indicum,Exotic
Neoponera_theresiae,Intercepted
Nesomyrmex_echinatinodis,Intercepted
Notoncus_ectatommoides,Intercepted
Nylanderia_amia,Exotic
Nylanderia_braueri,Indoor Introduced
Nylanderia_braueri donisthorpei,Indoor Introduced
Nylanderia_glabrior,Exotic
Nylanderia_guatemalensis itinerans,Exotic
Nylanderia_parvula,Intercepted
Nylanderia_sharpii,Intercepted
Nylanderia_tasmaniensis,Exotic
Ochetellus_glaber clarithorax,Exotic
Ochetellus_vinsoni,Exotic
Odontomachus_bauri,Exotic
Odontomachus_brunneus,Intercepted
Odontomachus_monticola,Intercepted
Odontomachus_ruginodis,Exotic
Odontomachus_troglodytes,Exotic
Oecophylla_longinoda,Intercepted
Oecophylla_smaragdina,Intercepted
Ooceraea_biroi,Exotic
Orectognathus_antennatus,Indoor Introduced
Pachycondyla_harpax,Exotic
Pachycondyla_solitaria,Intercepted
Parasyscia_sylvicola,Exotic
Parvaponera_darwinii,Exotic
Pheidole_barbata,Intercepted
Pheidole_dentata,Intercepted
Pheidole_dossena,Intercepted
Pheidole_fervida,Intercepted
Pheidole_gertrudae,Indoor Introduced
Pheidole_guineensis,Exotic
Pheidole_harrisonfordi,Intercepted
Pheidole_hyatti,Intercepted
Pheidole_lamellinoda,Exotic
Pheidole_longiscapa,Intercepted
Pheidole_obscurithorax,Exotic
Pheidole_oceanica,Intercepted
Pheidole_proxima,Exotic
Pheidole_pubiventris,Exotic
Pheidole_punctulata,Indoor Introduced
Pheidole_radoszkowskii,Intercepted
Pheidole_rugosula,Exotic
Pheidole_sculpturata welgelegenensis,Indoor Introduced
Pheidole_sexspinosa,Intercepted
Pheidole_sospes,Exotic
Pheidole_subarmata,Intercepted
Pheidole_umbonata,Intercepted
Pheidole_vafra,Intercepted
Pheidole_variabilis,Intercepted
Pheidole_vigilans,Exotic
Plagiolepis_pallescens,Indoor Introduced
Platythyrea_punctata,Exotic
Pogonomyrmex_occidentalis,Intercepted
Polyrhachis_ammon,Intercepted
Polyrhachis_atropos,Intercepted
Polyrhachis_erato,Intercepted
Polyrhachis_femorata,Intercepted
Polyrhachis_hector,Intercepted
Polyrhachis_nigrita,Intercepted
Polyrhachis_rastellata,Intercepted
Polyrhachis_rufifemur,Intercepted
Polyrhachis_saevissima argentea,Intercepted
Polyrhachis_semiaurata,Intercepted
Polyrhachis_thrinax,Intercepted
Polyrhachis_trapezoidea,Intercepted
Ponera_bableti,Exotic
Ponera_exotica,Exotic
Ponera_leae,Exotic
Ponera_loi,Exotic
Ponera_testacea,Intercepted
Prenolepis_imparis,Intercepted
Prenolepis_melanogaster,Intercepted
Prionopelta_antillana,Exotic
Pristomyrmex_punctatus,Intercepted
Pseudomyrmex_cubaensis,Exotic
Pseudomyrmex_elongatus,Exotic
Pseudomyrmex_major,Exotic
Rhytidoponera_aspera,Intercepted
Rhytidoponera_chalybaea,Exotic
Rhytidoponera_mayri,Exotic
Rhytidoponera_metallica,Exotic
Rogeria_curvipubens,Exotic
Rogeria_exsulans,Intercepted
Rogeria_stigmatica,Intercepted
Solenopsis_aurea,Intercepted
Solenopsis_fugax,Intercepted
Solenopsis_gayi,Intercepted
Solenopsis_geminata micans,Exotic
Solenopsis_globularia,Exotic
Solenopsis_helena,Exotic
Solenopsis_macdonaghi,Exotic
Solenopsis_molesta,Intercepted
Solenopsis_orbula,Exotic
Solenopsis_pollux,Intercepted
Solenopsis_richteri,Exotic
Solenopsis_saevissima itinerans,Exotic
Solenopsis_terricola,Exotic
Solenopsis_texana,Indoor Introduced
Solenopsis_validiuscula,Exotic
Stigmatomma_besucheti,Exotic
Stigmatomma_emeryi,Exotic
Stigmatomma_zwaluwenburgi,Exotic
Strumigenys_argiola,Indoor Introduced
Strumigenys_eggersi,Exotic
Strumigenys_emmae,Exotic
Strumigenys_epinotalis,Exotic
Strumigenys_gundlachi,Exotic
Strumigenys_hexamera,Exotic
Strumigenys_lanuginosa,Exotic
Strumigenys_lewisi,Exotic
