Species,introduced,native,num_introduced,total_area_introduced,total_area_native,lat_native,tribe,genus,subfamily,tribe_ncbi,fixer,abs_lat_native,woody,annual,uses_num_uses
Abarema_auriculata,0,1,0,0,3.66E+12,-3.56153462,Ingeae,Abarema,Caesalpinioideae,Ingeae,1,3.56153462,1,0,0
Abarema_barbouriana,0,1,0,0,4.22E+12,-0.21255016,Ingeae,Abarema,Caesalpinioideae,Ingeae,1,0.21255016,1,0,0
Abarema_brachystachya,0,1,0,0,4.90E+11,-23.22507591,Ingeae,Abarema,Caesalpinioideae,Ingeae,1,23.22507591,1,0,0
Abarema_campestris,0,0,0,0,0,NA,Ingeae,Abarema,Caesalpinioideae,Ingeae,1,NA,1,0,0
Abarema_cochleata,0,1,0,0,3.13E+12,-4.22237921,Ingeae,Abarema,Caesalpinioideae,Ingeae,1,4.22237921,1,0,0
Abarema_cochliocarpos,0,1,0,0,6.04E+11,-17.33272236,Ingeae,Abarema,Caesalpinioideae,Ingeae,1,17.33272236,1,0,0
Abarema_filamentosa,0,0,0,0,0,NA,Ingeae,Abarema,Caesalpinioideae,Ingeae,1,NA,1,0,0
Abarema_floribunda,0,1,0,0,4.38E+12,-2.89143378,Ingeae,Abarema,Caesalpinioideae,Ingeae,1,2.89143378,1,0,0
Abarema_jupunba,0,1,0,0,6.40E+12,-7.07229421,Ingeae,Abarema,Caesalpinioideae,Ingeae,1,7.07229421,1,0,0
Abarema_macradenia,0,1,0,0,2.46E+12,11.16642911,Ingeae,Abarema,Caesalpinioideae,Ingeae,1,11.16642911,1,0,0
Abarema_piresii,0,1,0,0,2.80E+12,-4.11243055,Ingeae,Abarema,Caesalpinioideae,Ingeae,1,4.11243055,1,0,0
Abarema_turbinata,0,1,0,0,5.60E+11,-12.4751082,Ingeae,Abarema,Caesalpinioideae,Ingeae,1,12.4751082,1,0,0
Abrus_fruticulosus,0,1,0,0,1.51E+12,16.77009689,Abreae,Abrus,Papilionoideae,Abreae,1,16.77009689,1,0,1
Abrus_precatorius,1,1,4,1.48E+11,5.34E+13,9.00301812,Abreae,Abrus,Papilionoideae,Abreae,1,9.00301812,1,0,7
Acacia_abyssinica,0,1,0,0,1.14E+13,13.64776358,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,13.64776358,1,0,0
Acacia_acinacea,1,1,3,4.57E+11,2.01E+12,-31.74043124,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,31.74043124,1,0,0
Acacia_acradenia,0,1,0,0,5.61E+12,-23.16077529,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,23.16077529,1,0,0
Acacia_acuminata,0,1,0,0,3.33E+12,-28.8181412,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,28.8181412,1,0,2
Acacia_adenocalyx,0,1,0,0,2.31E+12,-5.42642733,Acacieae,Acacia,Caesalpinioideae,Acacieae,0,5.42642733,1,0,0
Acacia_adsurgens,0,1,0,0,6.59E+12,-24.24846479,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,24.24846479,1,0,0
Acacia_adunca,1,1,4,3.13E+12,2.53E+12,-25.79163463,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,25.79163463,1,0,1
Acacia_alata,0,1,0,0,2.53E+12,-25.46607155,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,25.46607155,1,0,0
Acacia_alleniana,0,1,0,0,3.08E+12,-21.20529859,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,21.20529859,1,0,0
Acacia_alpina,0,1,0,0,1.03E+12,-33.25653662,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,33.25653662,1,0,0
Acacia_amoena,0,1,0,0,1.03E+12,-33.25127933,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,33.25127933,1,0,0
Acacia_ampliceps,0,1,0,0,3.88E+12,-23.4204532,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,23.4204532,1,0,0
Acacia_amythethophylla,0,1,0,0,1.56E+13,5.94028443,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,5.94028443,1,0,0
Acacia_anceps,0,1,0,0,3.51E+12,-26.80243548,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,26.80243548,1,0,0
Acacia_ancistrocarpa,0,1,0,0,5.61E+12,-23.16077529,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,23.16077529,1,0,0
Acacia_aneura,1,1,2,1.38E+12,7.39E+12,-25.1628483,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,25.1628483,1,0,1
Acacia_angustissima,1,1,2,9.84E+11,4.23E+12,21.47488705,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,21.47488705,1,0,0
Acacia_arenaria,0,1,0,0,3.95E+12,-12.05670466,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,12.05670466,1,0,0
Acacia_argyrodendron,0,1,0,0,1.73E+12,-22.57378083,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,22.57378083,1,0,0
Acacia_aroma,0,1,0,0,5.22E+12,-22.77391815,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,22.77391815,1,0,0
Acacia_aspera,0,1,0,0,1.03E+12,-33.25653662,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,33.25653662,1,0,0
Acacia_ataxacantha,0,1,0,0,1.73E+13,-9.5142675,Acacieae,Acacia,Caesalpinioideae,Acacieae,0,9.5142675,1,0,0
