Phy,total.area.introduced,Stratum,LogArea.introduced
Acromyrmex_coronatus,35607.34397,Epigaeic,4.55153958
Acromyrmex_lobicornis,320854.5999,Epigaeic,5.50630827
Acromyrmex_lundii,35607.34397,Epigaeic,4.55153958
Acromyrmex_octospinosus,117997.3122,Epigaeic,5.071872115
Acromyrmex_octospinosus cubanus,110220.0982,Epigaeic,5.042260794
Adelomyrmex_myops,7801.23693,Epigaeic & Hypogaeic,3.892163468
Amblyopone_australis,269073.3497,Epigaeic & Hypogaeic,5.429870685
Anochetus_emarginatus,12839.15863,Arboreal & Epigaeic,4.108536565
Anochetus_ghilianii,493663.7919,Arboreal & Epigaeic,5.693431275
Anochetus_graeffei,7533675.295,Arboreal & Epigaeic,6.877006898
Anochetus_mayri,434174.597,Arboreal & Epigaeic,5.63766441
Anochetus_sedilloti,3171309.096,Arboreal & Epigaeic,6.501238573
Anonychomyrma_itinerans,268475.548,Arboreal & Epigaeic,5.428904738
Anoplolepis_gracilipes,8350394.634,Epigaeic,6.921707
Anoplolepis_steingroeveri gertrudae,4576.449391,Epigaeic,3.660528664
Aphaenogaster_gemella,544558.6544,Epigaeic,5.736044664
Aphaenogaster_iberica,12574.93567,Epigaeic,4.099505772
Aphaenogaster_longiceps,16654.44205,Epigaeic,4.221530088
Aphaenogaster_ovaticeps,251283.8896,Epigaeic,5.400164646
Aphaenogaster_senilis,94283.1142,Epigaeic,4.974433919
Aphaenogaster_splendida,562603.3436,Epigaeic,5.750202309
Aphaenogaster_subterranea,593087.2472,Epigaeic,5.773118586
Azteca_constructor,318961.6037,Arboreal,5.503738406
Azteca_flavigaster,318961.6037,Arboreal,5.503738406
Brachymyrmex_aphidicola,149937.3102,Arboreal & Epigaeic,5.175909716
Brachymyrmex_australis,361979.2684,Arboreal & Epigaeic,5.558683698
Brachymyrmex_cordemoyi,4255288.772,Arboreal & Epigaeic,6.628929037
Brachymyrmex_heeri,1546536.19,Arboreal & Epigaeic,6.189360087
Brachymyrmex_minutus,270864.9748,Arboreal & Epigaeic,5.432752851
Brachymyrmex_obscurior,3740433.422,Arboreal & Epigaeic,6.572921929
Brachymyrmex_patagonicus,4981657.463,Arboreal & Epigaeic,6.697373862
Brachymyrmex_termitophilus,685352.5845,Arboreal & Epigaeic,5.835914055
Brachyponera_chinensis,3573585.439,Epigaeic,6.55310417
Brachyponera_luteipes,286301.5429,Epigaeic,5.456823688
Brachyponera_obscurans,4576.449391,Epigaeic,3.660528664
Brachyponera_sennaarensis,9513340.53,Epigaeic,6.978333043
Camponotus_aegyptiacus,35607.34397,Arboreal & Epigaeic,4.55153958
Camponotus_aeneopilosus,268475.548,Arboreal & Epigaeic,5.428904738
Camponotus_atriceps,671477.0491,Arboreal & Epigaeic,5.827031173
Camponotus_barbaricus,539465.9732,Arboreal & Epigaeic,5.731964057
Camponotus_bishamon,36261.8317,Arboreal & Epigaeic,4.559449738
Camponotus_brevis,318961.6037,Arboreal & Epigaeic,5.503738406
Camponotus_britteni,1049080.544,Arboreal & Epigaeic,6.020808833
Camponotus_bugnioni,616361.2107,Arboreal & Epigaeic,5.7898353
Camponotus_canescens,35607.34397,Arboreal & Epigaeic,4.55153958
Camponotus_chloroticus,268475.548,Arboreal & Epigaeic,5.428904738
Camponotus_chromaiodes,268475.548,Arboreal & Epigaeic,5.428904738
Camponotus_compressus,268639.6328,Arboreal & Epigaeic,5.429170085
Camponotus_conspicuus zonatus,8116.822738,Arboreal & Epigaeic,3.909386062
Camponotus_essigi,5130.98077,Arboreal & Epigaeic,3.710200387
Camponotus_exiguoguttatus,16654.44205,Arboreal & Epigaeic,4.221530088
Camponotus_fabricator,195.911953,Arboreal & Epigaeic,2.292060934
Camponotus_fallax,71827.42508,Arboreal & Epigaeic,4.856290298
Camponotus_fastigatus,35607.34397,Arboreal & Epigaeic,4.55153958
Camponotus_floridanus,27061.58485,Arboreal & Epigaeic,4.432353227
Camponotus_hemichlaena,36261.8317,Arboreal & Epigaeic,4.559449738
Camponotus_herculeanus,584531.5147,Arboreal & Epigaeic,5.766807931
Camponotus_hova,3829.644984,Arboreal & Epigaeic,3.583158516
Camponotus_irritans,268475.548,Arboreal & Epigaeic,5.428904738
Camponotus_irritans carinifer,27022.17176,Arboreal & Epigaeic,4.43172025
Camponotus_itoi,16654.44205,Arboreal & Epigaeic,4.221530088
Camponotus_keihitoi,36261.8317,Arboreal & Epigaeic,4.559449738
Camponotus_maculatus,918323.3931,Arboreal & Epigaeic,5.962995648
Camponotus_mitis,35607.34397,Arboreal & Epigaeic,4.55153958
Camponotus_mus,203087.3576,Arboreal & Epigaeic,5.307682889
Camponotus_nawai,36261.8317,Arboreal & Epigaeic,4.559449738
Camponotus_nearcticus,268475.548,Arboreal & Epigaeic,5.428904738
Camponotus_nigroaeneus,268475.548,Arboreal & Epigaeic,5.428904738
Camponotus_novaeboracensis,36301.24479,Arboreal & Epigaeic,4.559921517
Camponotus_novaehollandiae,268475.548,Arboreal & Epigaeic,5.428904738
Camponotus_novogranadensis,391307.1834,Arboreal & Epigaeic,5.592517821
Camponotus_nylanderi,539465.9732,Arboreal & Epigaeic,5.731964057
Camponotus_obscuripes,52916.27375,Arboreal & Epigaeic,4.723589255
Camponotus_pennsylvanicus,620627.3209,Arboreal & Epigaeic,5.79283089
Camponotus_perrisii nigeriensis,244186.791,Arboreal & Epigaeic,5.387722168
Camponotus_planatus,1131538.602,Arboreal & Epigaeic,6.053669374
Camponotus_planatus continentis,147120.3924,Arboreal & Epigaeic,5.167672875
Camponotus_rectangularis,35607.34397,Arboreal & Epigaeic,4.55153958
Camponotus_sayi,27022.17176,Arboreal & Epigaeic,4.43172025
Camponotus_sericeiventris rex,136998.277,Arboreal & Epigaeic,5.136715105
Camponotus_sericeus,4576.449391,Arboreal & Epigaeic,3.660528664
Camponotus_sexguttatus,471009.2847,Arboreal & Epigaeic,5.673029468
Camponotus_singularis,36261.8317,Arboreal & Epigaeic,4.559449738
Camponotus_snellingi,244186.791,Arboreal & Epigaeic,5.387722168
Camponotus_sylvaticus,279794.135,Arboreal & Epigaeic,5.446838607
Camponotus_tergestinus,27022.17176,Arboreal & Epigaeic,4.43172025
Camponotus_thoracicus,318961.6037,Arboreal & Epigaeic,5.503738406
Camponotus_tortuganus,512675.4537,Arboreal & Epigaeic,5.709842524
Camponotus_ustus,318961.6037,Arboreal & Epigaeic,5.503738406
Camponotus_vagus,62629.51573,Arboreal & Epigaeic,4.796779054
Camponotus_variegatus,1082838.092,Arboreal & Epigaeic,6.034563525
Camponotus_werthi,7117.1343,Arboreal & Epigaeic,3.852305161
Cardiocondyla_batesii,5092.681198,Epigaeic,3.70694649
Cardiocondyla_breviscapa,308966.1496,Epigaeic,5.489910901
Cardiocondyla_britteni,244186.791,Epigaeic,5.387722168
Cardiocondyla_emeryi,24287604.62,Epigaeic,7.385384684
Cardiocondyla_fajumensis,3948.252661,Epigaeic,3.596404937
Cardiocondyla_itsukii,200145.2662,Epigaeic,5.301345323
Cardiocondyla_kagutsuchi,1242398.493,Epigaeic,6.094260916
Cardiocondyla_mauritanica,6677599.206,Epigaeic,6.824620349
Cardiocondyla_minutior,11695960.61,Epigaeic,7.068035897
Cardiocondyla_nigra,3948.252661,Epigaeic,3.596404937
Cardiocondyla_nuda,328240.6801,Epigaeic,5.516192404
Cardiocondyla_obscurior,8483680.747,Epigaeic,6.928584317
Cardiocondyla_strigifrons,154373.3022,Epigaeic,5.188572194
Cardiocondyla_tjibodana,2554775.394,Epigaeic,6.407352725
Cardiocondyla_venustula,2524270.427,Epigaeic,6.402135879
Cardiocondyla_wroughtonii,14249458.99,Epigaeic,7.153798376
Carebara_affinis,267938.3316,Epigaeic & Hypogaeic,5.428034849
Carebara_diversa,547732.4666,Epigaeic & Hypogaeic,5.738568484
Cataglyphis_nodus,8316.99827,Epigaeic,3.919966611
Cephalotes_curvistriatus,35607.34397,Arboreal,4.55153958
Cephalotes_pusillus,35607.34397,Arboreal,4.55153958
Chelaner_antarcticus,196.5772509,Epigaeic,2.293533257
Colobopsis_mississippiensis,268475.548,Arboreal,5.428904738
Colobopsis_truncata,591137.0966,Arboreal,5.771688214
Crematogaster_algirica,35607.34397,Arboreal & Epigaeic,4.55153958
Crematogaster_ashmeadi,330002.6356,Arboreal & Epigaeic,5.518517408
Crematogaster_bicolor,12491.7291,Arboreal & Epigaeic,4.096622557
Crematogaster_carinata,35607.34397,Arboreal & Epigaeic,4.55153958
Crematogaster_coarctata,16654.44205,Arboreal & Epigaeic,4.221530088
Crematogaster_crinosa,35607.34397,Arboreal & Epigaeic,4.55153958
Crematogaster_curvispinosa,35607.34397,Arboreal & Epigaeic,4.55153958
Crematogaster_egidyi,36261.8317,Arboreal & Epigaeic,4.559449738
Crematogaster_inermis,913991.2024,Arboreal & Epigaeic,5.960942015
Crematogaster_irritabilis,132314.5167,Arboreal & Epigaeic,5.121607495
Crematogaster_lineolata,16654.44205,Arboreal & Epigaeic,4.221530088
Crematogaster_nawai,16654.44205,Arboreal & Epigaeic,4.221530088
Crematogaster_obscurata,1166864.013,Arboreal & Epigaeic,6.067020246
Crematogaster_rochai,35607.34397,Arboreal & Epigaeic,4.55153958
Crematogaster_rogenhoferi,35607.34397,Arboreal & Epigaeic,4.55153958
Crematogaster_scutellaris,1219530.341,Arboreal & Epigaeic,6.08619261
Crematogaster_sordidula,409664.605,Arboreal & Epigaeic,5.612428443
Crematogaster_steinheili,39.41308581,Arboreal & Epigaeic,1.595640439
Crematogaster_subdentata,2239962.317,Arboreal & Epigaeic,6.350240712
Crematogaster_teranishii,36261.8317,Arboreal & Epigaeic,4.559449738
Crematogaster_terminalis,244186.791,Arboreal & Epigaeic,5.387722168
Crematogaster_torosa,35607.34397,Arboreal & Epigaeic,4.55153958
Cryptopone_testacea,2978.330857,Hypogaeic,3.473972941
Cylindromyrmex_whymperi,7801.23693,Epigaeic & Hypogaeic,3.892163468
Cyphomyrmex_rimosus,1910347.325,Epigaeic,6.281112335
Cyphomyrmex_salvini,25.00536106,Epigaeic,1.39803313
Diacamma_indicum,244186.791,Epigaeic,5.387722168
Diacamma_rugosum,285129.9901,Epigaeic,5.455042899
Diacamma_vagans,329567.0617,Epigaeic,5.5179438
Doleromyrma_darwiniana,268475.548,Epigaeic,5.428904738
Dolichoderus_lutosus,35607.34397,Arboreal & Epigaeic,4.55153958
Dolichoderus_quadripunctatus,16654.44205,Arboreal & Epigaeic,4.221530088
Dolichoderus_thoracicus,1480341.916,Arboreal & Epigaeic,6.170362036
Dorylus_fulvus,799433.1067,Epigaeic & Hypogaeic,5.90278213
Ectatomma_brunneum,35607.34397,Epigaeic,4.55153958
Ectatomma_ruidum,7801.23693,Epigaeic,3.892163468
Erromyrma_latinodis,2953306.107,Epigaeic,6.470308463
Formica_fusca,268475.548,Epigaeic,5.428904738
Formica_obscuripes,1513562.714,Epigaeic,6.180000421
Formica_paralugubris,1870965.533,Epigaeic,6.272065787
Formica_rufa,1420.695368,Epigaeic,3.152500965
Formica_rufibarbis,403453.0567,Epigaeic,5.60579301
Formica_subpolita,16654.44205,Epigaeic,4.221530088
Gnamptogenys_porcata,16654.44205,Epigaeic,4.221530088
