Species,fixer,num_introduced,total_area_introduced,total_area_native,lat_native,abs_lat_native,annual,uses_num_uses
Abarema_auriculata,1,0,0,3.66E+12,-3.56153462,3.56153462,0,0
Abarema_barbouriana,1,0,0,4.22E+12,-0.21255016,0.21255016,0,0
Abarema_brachystachya,1,0,0,4.90E+11,-23.22507591,23.22507591,0,0
Abarema_campestris,1,0,0,NA,NA,NA,0,0
Abarema_cochleata,1,0,0,3.13E+12,-4.22237921,4.22237921,0,0
Abarema_cochliocarpos,1,0,0,6.04E+11,-17.33272236,17.33272236,0,0
Abarema_filamentosa,1,0,0,NA,NA,NA,0,0
Abarema_floribunda,1,0,0,4.38E+12,-2.89143378,2.89143378,0,0
Abarema_jupunba,1,0,0,6.40E+12,-7.07229421,7.07229421,0,0
Abarema_macradenia,1,0,0,2.46E+12,11.16642911,11.16642911,0,0
Abarema_piresii,1,0,0,2.80E+12,-4.11243055,4.11243055,0,0
Abarema_turbinata,1,0,0,5.60E+11,-12.4751082,12.4751082,0,0
Abrus_fruticulosus,1,0,0,1.51E+12,16.77009689,16.77009689,0,1
Abrus_precatorius,1,4,1.48E+11,5.34E+13,9.00301812,9.00301812,0,7
Acacia_abyssinica,1,0,0,1.14E+13,13.64776358,13.64776358,0,0
Acacia_acinacea,1,3,4.57E+11,2.01E+12,-31.74043124,31.74043124,0,0
Acacia_acradenia,1,0,0,5.61E+12,-23.16077529,23.16077529,0,0
Acacia_acuminata,1,0,0,3.33E+12,-28.8181412,28.8181412,0,2
Acacia_adenocalyx,0,0,0,2.31E+12,-5.42642733,5.42642733,0,0
Acacia_adsurgens,1,0,0,6.59E+12,-24.24846479,24.24846479,0,0
Acacia_adunca,1,4,3.13E+12,2.53E+12,-25.79163463,25.79163463,0,1
Acacia_alata,1,0,0,2.53E+12,-25.46607155,25.46607155,0,0
Acacia_alleniana,1,0,0,3.08E+12,-21.20529859,21.20529859,0,0
Acacia_alpina,1,0,0,1.03E+12,-33.25653662,33.25653662,0,0
Acacia_amoena,1,0,0,1.03E+12,-33.25127933,33.25127933,0,0
Acacia_ampliceps,1,0,0,3.88E+12,-23.4204532,23.4204532,0,0
Acacia_amythethophylla,1,0,0,1.56E+13,5.94028443,5.94028443,0,0
Acacia_anceps,1,0,0,3.51E+12,-26.80243548,26.80243548,0,0
Acacia_ancistrocarpa,1,0,0,5.61E+12,-23.16077529,23.16077529,0,0
Acacia_aneura,1,2,1.38E+12,7.39E+12,-25.1628483,25.1628483,0,1
Acacia_angustissima,1,2,9.84E+11,4.23E+12,21.47488705,21.47488705,0,0
Acacia_arenaria,1,0,0,3.95E+12,-12.05670466,12.05670466,0,0
Acacia_argyrodendron,1,0,0,1.73E+12,-22.57378083,22.57378083,0,0
Acacia_aroma,1,0,0,5.22E+12,-22.77391815,22.77391815,0,0
Acacia_aspera,1,0,0,1.03E+12,-33.25653662,33.25653662,0,0
Acacia_ataxacantha,0,0,0,1.73E+13,-9.5142675,9.5142675,0,0
Acacia_aulacocarpa,1,0,0,9.34E+12,-8.51803986,8.51803986,0,1
Acacia_auriculiformis,1,23,1.12E+13,4.09E+12,-5.85860106,5.85860106,0,4
Acacia_bahiensis,1,0,0,8.47E+12,-10.77227947,10.77227947,0,0
Acacia_baileyana,1,13,1.07E+13,6.27E+12,-26.80596132,26.80596132,0,2
Acacia_benthamii,1,0,0,2.53E+12,-25.46607155,25.46607155,0,0
Acacia_berlandieri,1,0,0,7.51E+11,25.31401375,25.31401375,0,0
Acacia_bidentata,1,0,0,2.53E+12,-25.46607155,25.46607155,0,0
Acacia_biflora,1,0,0,2.53E+12,-25.46607155,25.46607155,0,0
Acacia_binervata,1,2,2.68E+11,2.53E+12,-25.79163463,25.79163463,0,2
Acacia_binervia,1,1,5.82E+11,1.03E+12,-33.25127933,33.25127933,0,0
Acacia_bivenosa,1,1,3.42E+11,5.61E+12,-23.16077529,23.16077529,0,1
Acacia_blakei,1,0,0,2.53E+12,-25.79163463,25.79163463,0,0
Acacia_blakelyi,1,0,0,2.53E+12,-25.46607155,25.46607155,0,0
Acacia_bonariensis,0,0,0,4.27E+12,-26.94705186,26.94705186,0,0
Acacia_borleae,1,0,0,3.86E+12,-21.72947512,21.72947512,0,0
Acacia_brachybotrya,1,1,1.15E+11,2.01E+12,-31.74043124,31.74043124,0,0
Acacia_brachystachya,1,0,0,7.39E+12,-25.1628483,25.1628483,0,0
Acacia_brassii,1,0,0,1.73E+12,-22.57378083,22.57378083,0,0
Acacia_brownii,1,0,0,2.76E+12,-26.80239184,26.80239184,0,0
Acacia_brumalis,1,0,0,2.53E+12,-25.46607155,25.46607155,0,0
Acacia_burkei,1,1,3.13E+11,4.44E+12,-22.42811457,22.42811457,0,0
Acacia_buxifolia,1,1,1.89E+11,2.76E+12,-26.81043334,26.81043334,0,1
Acacia_bynoeana,1,0,0,8.02E+11,-32.17021086,32.17021086,0,0
Acacia_caesia,1,0,0,8.29E+12,19.25459014,19.25459014,0,3
Acacia_caffra,1,1,1.89E+11,4.05E+12,-21.71309195,21.71309195,0,0
Acacia_calamifolia,1,1,1284364074,2.01E+12,-31.74043124,31.74043124,0,1
Acacia_cambagei,1,0,0,4.86E+12,-25.00497902,25.00497902,0,1
Acacia_cana,1,0,0,2.53E+12,-25.79163463,25.79163463,0,0
Acacia_cangaiensis,1,0,0,8.02E+11,-32.17021086,32.17021086,0,0
