"Phy","fixer","num_introduced","total_area_introduced","total_area_native","lat_native","abs_lat_native","annual","uses_num_uses","submitted_name","matched_name","data_source_title","score","num_words","diff","RangeY","domY","efnY","n.records","sum.AM","sum.EM","AM","EM","EFN","matched_name_EFN","Domatia"
"Abarema auriculata",1,0,0,3.66e+12,-3.56153462,3.56153462,0,0,"Abarema auriculata","Abarema auriculata","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Abarema barbouriana",1,0,0,4.22e+12,-0.21255016,0.21255016,0,0,"Abarema barbouriana","Abarema barbouriana","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Abarema brachystachya",1,0,0,4.9e+11,-23.22507591,23.22507591,0,0,"Abarema brachystachya","Abarema brachystachya","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Abarema campestris",1,0,0,NA,NA,NA,0,0,"Abarema campestris","Abarema campestris","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Abarema cochleata",1,0,0,3.13e+12,-4.22237921,4.22237921,0,0,"Abarema cochleata","Abarema cochleata","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Abarema cochliocarpos",1,0,0,6.04e+11,-17.33272236,17.33272236,0,0,"Abarema cochliocarpos","Abarema cochliocarpos","Freebase",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Abarema filamentosa",1,0,0,NA,NA,NA,0,0,"Abarema filamentosa","Abarema filamentosa","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Abarema floribunda",1,0,0,4.38e+12,-2.89143378,2.89143378,0,0,"Abarema floribunda","Abarema floribunda","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Abarema jupunba",1,0,0,6.4e+12,-7.07229421,7.07229421,0,0,"Abarema jupunba","Abarema jupunba","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,1,1,0,"Y","N",0,NA,0
"Abarema macradenia",1,0,0,2.46e+12,11.16642911,11.16642911,0,0,"Abarema macradenia","Abarema macradenia","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Abarema piresii",1,0,0,2.8e+12,-4.11243055,4.11243055,0,0,"Abarema piresii","Abarema piresii","National Center for Biotechnology Information",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Abarema turbinata",1,0,0,5.6e+11,-12.4751082,12.4751082,0,0,"Abarema turbinata","Abarema turbinata","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Abrus fruticulosus",1,0,0,1.51e+12,16.77009689,16.77009689,0,1,"Abrus fruticulosus","Abrus fruticulosus","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Abrus precatorius",1,4,1.48e+11,5.34e+13,9.00301812,9.00301812,0,7,"Abrus precatorius","Abrus precatorius","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,5,5,0,"Y","N",0,NA,0
"Acacia abyssinica",1,0,0,1.14e+13,13.64776358,13.64776358,0,0,"Acacia abyssinica","Acacia abyssinica","Encyclopedia of Life",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,"Acacia abyssinica",0
"Acacia acinacea",1,3,4.57e+11,2.01e+12,-31.74043124,31.74043124,0,0,"Acacia acinacea","Acacia acinacea","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Acacia acradenia",1,0,0,5.61e+12,-23.16077529,23.16077529,0,0,"Acacia acradenia","Acacia acradenia","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,"Acacia acradenia",0
"Acacia acuminata",1,0,0,3.33e+12,-28.8181412,28.8181412,0,2,"Acacia acuminata","Acacia acuminata","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Acacia adenocalyx",0,0,0,2.31e+12,-5.42642733,5.42642733,0,0,"Acacia adenocalyx","Acacia adenocalyx","Encyclopedia of Life",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Acacia adsurgens",1,0,0,6.59e+12,-24.24846479,24.24846479,0,0,"Acacia adsurgens","Acacia adsurgens","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Acacia adunca",1,4,3.13e+12,2.53e+12,-25.79163463,25.79163463,0,1,"Acacia adunca","Acacia adunca","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,"Acacia adunca",0
"Acacia alata",1,0,0,2.53e+12,-25.46607155,25.46607155,0,0,"Acacia alata","Acacia alata","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,3,3,0,"Y","N",0,NA,0
