"Phy","species","RangeY","domY","efnY","n","sum.AM","sum.EM","AM","EM","match"
"Abarema jupunba","Abarema jupunba",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Abrus precatorius","Abrus precatorius",TRUE,FALSE,FALSE,5,5,0,"Y","N",TRUE
"Acacia alata","Acacia alata",TRUE,FALSE,FALSE,3,3,0,"Y","N",TRUE
"Acacia alleniana","Acacia alleniana",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Acacia ampliceps","Acacia ampliceps",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Acacia ancistrocarpa","Acacia ancistrocarpa",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Acacia aneura","Acacia aneura",TRUE,FALSE,TRUE,5,2,4,"Y","Y",TRUE
"Acacia aulacocarpa","Acacia aulacocarpa",TRUE,FALSE,TRUE,4,4,1,"Y","Y",TRUE
"Acacia auriculiformis","Acacia auriculiformis",TRUE,FALSE,TRUE,22,19,3,"Y","Y",TRUE
"Acacia bivenosa","Acacia bivenosa",TRUE,FALSE,FALSE,1,1,1,"Y","Y",TRUE
"Acacia cincinnata","Acacia cincinnata",TRUE,FALSE,TRUE,1,1,0,"Y","N",TRUE
"Acacia cochliacantha","Acacia cochliacantha",TRUE,FALSE,TRUE,1,1,0,"Y","N",TRUE
"Acacia concurrens","Acacia concurrens",TRUE,FALSE,TRUE,2,2,0,"Y","N",TRUE
"Acacia confusa","Acacia confusa",TRUE,FALSE,TRUE,3,1,0,"Y","N",TRUE
"Acacia coriacea","Acacia coriacea",TRUE,FALSE,TRUE,1,1,1,"Y","Y",TRUE
"Acacia cowleana","Acacia cowleana",TRUE,FALSE,FALSE,1,1,1,"Y","Y",TRUE
"Acacia crassicarpa","Acacia crassicarpa",TRUE,FALSE,FALSE,1,1,1,"Y","Y",TRUE
"Acacia cyclops","Acacia cyclops",TRUE,FALSE,TRUE,1,1,0,"Y","N",TRUE
"Acacia dealbata","Acacia dealbata",TRUE,FALSE,TRUE,7,4,3,"Y","Y",TRUE
"Acacia decurrens","Acacia decurrens",TRUE,FALSE,TRUE,8,5,3,"Y","Y",TRUE
"Acacia difficilis","Acacia difficilis",TRUE,FALSE,FALSE,2,2,2,"Y","Y",TRUE
"Acacia dimidiata","Acacia dimidiata",TRUE,FALSE,FALSE,2,2,1,"Y","Y",TRUE
"Acacia dunnii","Acacia dunnii",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Acacia extensa","Acacia extensa",TRUE,FALSE,FALSE,3,3,0,"Y","N",TRUE
"Acacia floribunda","Acacia floribunda",TRUE,FALSE,TRUE,2,2,0,"Y","N",TRUE
"Acacia gonocarpa","Acacia gonocarpa",TRUE,FALSE,FALSE,2,2,1,"Y","Y",TRUE
"Acacia hilliana","Acacia hilliana",TRUE,FALSE,FALSE,1,1,1,"Y","Y",TRUE
"Acacia hippuroides","Acacia hippuroides",TRUE,FALSE,FALSE,1,1,1,"Y","Y",TRUE
"Acacia holosericea","Acacia holosericea",TRUE,FALSE,FALSE,13,12,8,"Y","Y",TRUE
"Acacia implexa","Acacia implexa",TRUE,FALSE,FALSE,2,1,2,"Y","Y",TRUE
"Acacia koa","Acacia heterophylla",TRUE,FALSE,TRUE,2,2,0,"Y","N",FALSE
"Acacia koa","Acacia koa",TRUE,FALSE,TRUE,2,2,0,"Y","N",TRUE
"Acacia latescens","Acacia latescens",TRUE,FALSE,FALSE,4,4,1,"Y","Y",TRUE
"Acacia leptocarpa","Acacia leptocarpa",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Acacia ligulata","Acacia ligulata",TRUE,FALSE,TRUE,1,1,0,"Y","N",TRUE
"Acacia linifolia","Acacia linifolia",TRUE,FALSE,FALSE,2,2,1,"Y","Y",TRUE
"Acacia lysiphloia","Acacia lysiphloia",TRUE,FALSE,FALSE,1,1,1,"Y","Y",TRUE
"Acacia mangium","Acacia mangium",TRUE,FALSE,FALSE,13,11,5,"Y","Y",TRUE
"Acacia mearnsii","Acacia mearnsii",TRUE,FALSE,TRUE,4,4,1,"Y","Y",TRUE
"Acacia melanoxylon","Acacia latifolia",TRUE,FALSE,TRUE,6,1,4,"Y","Y",FALSE
"Acacia melanoxylon","Acacia melanoxylon",TRUE,FALSE,TRUE,6,1,4,"Y","Y",TRUE
"Acacia mimula","Acacia mimula",TRUE,FALSE,FALSE,4,4,3,"Y","Y",TRUE
"Acacia monticola","Acacia monticola",TRUE,FALSE,FALSE,1,1,1,"Y","Y",TRUE
"Acacia myrtifolia","Acacia myrtifolia",TRUE,FALSE,TRUE,5,2,3,"Y","Y",TRUE
"Acacia notabilis","Acacia notabilis",TRUE,FALSE,FALSE,1,0,0,"N","N",TRUE
"Acacia oncinocarpa","Acacia oncinocarpa",TRUE,FALSE,FALSE,6,6,2,"Y","Y",TRUE
"Acacia pellita","Acacia pellita",TRUE,FALSE,FALSE,1,1,1,"Y","Y",TRUE
"Acacia platycarpa","Acacia platycarpa",TRUE,FALSE,FALSE,3,1,2,"Y","Y",TRUE
"Acacia plectocarpa","Acacia plectocarpa",TRUE,FALSE,FALSE,4,3,3,"Y","Y",TRUE
"Acacia pravissima","Acacia pravissima",TRUE,FALSE,FALSE,1,0,1,"N","Y",TRUE
"Acacia pulchella","Acacia pulchella",TRUE,FALSE,TRUE,7,7,1,"Y","Y",TRUE
"Acacia pycnantha","Acacia pycnantha",TRUE,FALSE,TRUE,4,2,2,"Y","Y",TRUE
