"","id","synonym","author","rank","taxonomicStatus","matched_name","syndomY","synrangeY","synefnY"
"1","urn:lsid:ipni.org:names:60428342-2","Racosperma alatum","(R.Br.) Pedley","SPECIES","Homotypic_Synonym","Acacia alata",FALSE,FALSE,FALSE
"2","urn:lsid:ipni.org:names:514256-1","Phyllodoce alata","(R.Br.) Link","SPECIES","Homotypic_Synonym","Acacia alata",FALSE,FALSE,FALSE
"3","urn:lsid:ipni.org:names:944301-1","Racosperma allenianum","(Maiden) Pedley","SPECIES","Homotypic_Synonym","Acacia alleniana",FALSE,FALSE,FALSE
"4","urn:lsid:ipni.org:names:60428762-2","Racosperma ampliceps","(Maslin) Pedley","SPECIES","Homotypic_Synonym","Acacia ampliceps",FALSE,FALSE,FALSE
"5","urn:lsid:ipni.org:names:944304-1","Racosperma ancistrocarpum","(Maiden & Blakely) Pedley","SPECIES","Homotypic_Synonym","Acacia ancistrocarpa",FALSE,FALSE,FALSE
"6","urn:lsid:ipni.org:names:944305-1","Racosperma aneurum","(F.Muell. ex Benth.) Pedley","SPECIES","Homotypic_Synonym","Acacia aneura",FALSE,FALSE,FALSE
"7","urn:lsid:ipni.org:names:944313-1","Racosperma aulacocarpum","(A.Cunn. ex Benth.) Pedley","SPECIES","Homotypic_Synonym","Acacia aulacocarpa",FALSE,FALSE,FALSE
"8","urn:lsid:ipni.org:names:942631-1","Racosperma auriculiforme","(A.Cunn. ex Benth.) Pedley","SPECIES","Homotypic_Synonym","Acacia auriculiformis",FALSE,FALSE,FALSE
"9","urn:lsid:ipni.org:names:470243-1","Acacia elliptica","A.Cunn. ex Benth.","SPECIES","Synonym","Acacia bivenosa",FALSE,FALSE,FALSE
"10","urn:lsid:ipni.org:names:469847-1","Acacia binervosa","DC.","SPECIES","Synonym","Acacia bivenosa",FALSE,FALSE,FALSE
"11","urn:lsid:ipni.org:names:60429982-2","Racosperma bivenosum","(DC.) Pedley","SPECIES","Homotypic_Synonym","Acacia bivenosa",FALSE,FALSE,FALSE
"12","urn:lsid:ipni.org:names:944341-1","Racosperma cincinnatum","(F.Muell.) Pedley","SPECIES","Homotypic_Synonym","Acacia cincinnata",FALSE,FALSE,FALSE
"13","urn:lsid:ipni.org:names:942635-1","Racosperma concurrens","(Pedley) Pedley","SPECIES","Homotypic_Synonym","Acacia concurrens",FALSE,FALSE,FALSE
"14","urn:lsid:ipni.org:names:470093-1","Acacia cunninghamii","Hook.","SPECIES","Synonym","Acacia concurrens",FALSE,FALSE,FALSE
"15","urn:lsid:ipni.org:names:942663-1","Racosperma confusum","(Merr.) Pedley","SPECIES","Homotypic_Synonym","Acacia confusa",FALSE,FALSE,FALSE
"16","urn:lsid:ipni.org:names:942637-1","Racosperma coriaceum","(DC.) Pedley","SPECIES","Homotypic_Synonym","Acacia coriacea",FALSE,FALSE,FALSE
"17","urn:lsid:ipni.org:names:944448-1","Racosperma oligophlebum","(Pedley) Pedley","SPECIES","Synonym","Acacia cowleana",FALSE,FALSE,FALSE
"18","urn:lsid:ipni.org:names:944345-1","Racosperma cowleanum","(Tate) Pedley","SPECIES","Homotypic_Synonym","Acacia cowleana",FALSE,FALSE,FALSE
"19","urn:lsid:ipni.org:names:471032-1","Acacia oligophleba","Pedley","SPECIES","Synonym","Acacia cowleana",FALSE,FALSE,FALSE
"20","urn:lsid:ipni.org:names:944347-1","Racosperma crassicarpum","(A.Cunn. ex Benth.) Pedley","SPECIES","Homotypic_Synonym","Acacia crassicarpa",FALSE,FALSE,FALSE
"21","urn:lsid:ipni.org:names:470232-1","Acacia eglandulosa","DC.","SPECIES","Synonym","Acacia cyclops",FALSE,FALSE,FALSE
"22","urn:lsid:ipni.org:names:60433145-2","Racosperma eglandulosum","(DC.) Pedley","SPECIES","Synonym","Acacia cyclops",FALSE,FALSE,FALSE
"23","urn:lsid:ipni.org:names:470912-1","Acacia mirbelii","Dehnh.","SPECIES","Synonym","Acacia cyclops",FALSE,FALSE,FALSE
"24","urn:lsid:ipni.org:names:507878-1","Mimosa dealbata","(Link) Page","SPECIES","Homotypic_Synonym","Acacia dealbata",FALSE,FALSE,FALSE
"25","urn:lsid:ipni.org:names:944515-1","Racosperma dealbatum","(Link) Pedley","SPECIES","Homotypic_Synonym","Acacia dealbata",FALSE,FALSE,FALSE
"26","urn:lsid:ipni.org:names:469653-1","Acacia adenophora","Spreng.","SPECIES","Synonym","Acacia decurrens",FALSE,FALSE,FALSE
"27","urn:lsid:ipni.org:names:507639-1","Mimosa angulata","(Desv.) Poir.","SPECIES","Synonym","Acacia decurrens",FALSE,FALSE,FALSE
"28","urn:lsid:ipni.org:names:944516-1","Racosperma decurrens","(J.C.Wendl.) Pedley","SPECIES","Homotypic_Synonym","Acacia decurrens",FALSE,FALSE,FALSE
"29","urn:lsid:ipni.org:names:469718-1","Acacia angulata","Desv.","SPECIES","Synonym","Acacia decurrens",FALSE,FALSE,FALSE
"30","urn:lsid:ipni.org:names:507883-1","Mimosa decurrens","J.C.Wendl.","SPECIES","Homotypic_Synonym","Acacia decurrens",FALSE,FALSE,FALSE
"31","urn:lsid:ipni.org:names:508561-1","Mimosa pulchra","Dum.Cours.","SPECIES","Synonym","Acacia decurrens",FALSE,FALSE,FALSE
"32","urn:lsid:ipni.org:names:508342-1","Mimosa mollissima","Willd.","SPECIES","Synonym","Acacia decurrens",FALSE,FALSE,FALSE
"33","urn:lsid:ipni.org:names:944358-1","Racosperma difficile","(Maiden) Pedley","SPECIES","Homotypic_Synonym","Acacia difficilis",FALSE,FALSE,FALSE
"34","urn:lsid:ipni.org:names:63792-3","Acacia dolabriformis","A.Cunn. ex Hook.","SPECIES","Synonym","Acacia dimidiata",FALSE,FALSE,FALSE
"35","urn:lsid:ipni.org:names:944359-1","Racosperma dimidiatum","(Benth.) Pedley","SPECIES","Homotypic_Synonym","Acacia dimidiata",FALSE,FALSE,FALSE
"36","urn:lsid:ipni.org:names:60433138-2","Racosperma dunnii","(Turrill) Pedley","SPECIES","Homotypic_Synonym","Acacia dunnii",FALSE,FALSE,FALSE
"37","urn:lsid:ipni.org:names:60433478-2","Racosperma extensum","(Lindl.) Pedley","SPECIES","Homotypic_Synonym","Acacia extensa",FALSE,FALSE,FALSE
"38","urn:lsid:ipni.org:names:469910-1","Acacia calamistrata","Jacq.","SPECIES","Synonym","Acacia extensa",FALSE,FALSE,FALSE
"39","urn:lsid:ipni.org:names:66665-3","Acacia graminea","Lehm. ex Meisn.","SPECIES","Synonym","Acacia extensa",FALSE,FALSE,FALSE
"40","urn:lsid:ipni.org:names:471116-1","Acacia pentaedra","Regel","SPECIES","Synonym","Acacia extensa",FALSE,FALSE,FALSE
"41","urn:lsid:ipni.org:names:944372-1","Racosperma floribundum","(Vent.) Pedley","SPECIES","Homotypic_Synonym","Acacia floribunda",FALSE,FALSE,FALSE
"42","urn:lsid:ipni.org:names:508357-1","Mimosa mucronulata","Dum.Cours.","SPECIES","Synonym","Acacia floribunda",FALSE,FALSE,FALSE
"43","urn:lsid:ipni.org:names:514261-1","Phyllodoce floribunda","(Vent.) Link","SPECIES","Homotypic_Synonym","Acacia floribunda",FALSE,FALSE,FALSE
"44","urn:lsid:ipni.org:names:470604-1","Acacia intermedia","A.Cunn. ex Hook.","SPECIES","Synonym","Acacia floribunda",FALSE,FALSE,FALSE
"45","urn:lsid:ipni.org:names:508017-1","Mimosa floribunda","Vent.","SPECIES","Homotypic_Synonym","Acacia floribunda",FALSE,FALSE,FALSE
"46","urn:lsid:ipni.org:names:469723-1","Acacia angustifolia","G.Lodd.","SPECIES","Synonym","Acacia floribunda",FALSE,FALSE,FALSE
