Phy,Genus_name,Ecological Stratum,Exotic_status,bentity2_name,Notes
Crematogaster_scutellaris,Crematogaster,Arboreal & Epigaeic,Exotic,France,Native and exotic in the same bentity
Tapinoma_darioi,Tapinoma,Arboreal & Epigaeic,Exotic,France,Native and exotic in the same bentity
Tapinoma_magnum,Tapinoma,Arboreal & Epigaeic,Exotic,France,Native and exotic in the same bentity
Tapinoma_nigerrimum,Tapinoma,Arboreal & Epigaeic,Exotic,France,Native and exotic in the same bentity
Anoplolepis_custodiens,Anoplolepis,Epigaeic,Intercepted,Australia,Special geographic resolution as records are not available at a finer resolution)
Atta_laevigata,Atta,Epigaeic,Intercepted,Australia,Special geographic resolution as records are not available at a finer resolution)
Camponotus_modoc,Camponotus,Arboreal & Epigaeic,Intercepted,Australia,Special geographic resolution as records are not available at a finer resolution)
Camponotus_navigator,Camponotus,Arboreal & Epigaeic,Intercepted,Australia,Special geographic resolution as records are not available at a finer resolution)
Camponotus_sexguttatus biguttatus,Camponotus,Arboreal & Epigaeic,Exotic,USA,Special geographic resolution as records are not available at a finer resolution)
Cataulacus_intrudens,Cataulacus,Arboreal,Intercepted,Australia,Special geographic resolution as records are not available at a finer resolution)
Cephalotes_maculatus,Cephalotes,Arboreal,Intercepted,Australia,Special geographic resolution as records are not available at a finer resolution)
Chelaner_antarcticus,Chelaner,Epigaeic,Intercepted,Australia,Special geographic resolution as records are not available at a finer resolution)
Crematogaster_peringueyi,Crematogaster,Arboreal & Epigaeic,Intercepted,Australia,Special geographic resolution as records are not available at a finer resolution)
Myrmica_sabuleti,Myrmica,Epigaeic,Intercepted,Australia,Special geographic resolution as records are not available at a finer resolution)
Pheidole_bicarinata,Pheidole,Epigaeic,Intercepted,Australia,Special geographic resolution as records are not available at a finer resolution)
Pheidole_exigua,Pheidole,Epigaeic,Exotic,USA,Special geographic resolution as records are not available at a finer resolution)
Polyrhachis_viehmeyeri,Polyrhachis,Arboreal & Epigaeic,Intercepted,Australia,Special geographic resolution as records are not available at a finer resolution)
Acromyrmex_coronatus,Acromyrmex,Epigaeic,Intercepted,Netherlands,
Acromyrmex_lobicornis,Acromyrmex,Epigaeic,Intercepted,Ivory Coast,
Acromyrmex_lundii,Acromyrmex,Epigaeic,Intercepted,Netherlands,
Acromyrmex_octospinosus,Acromyrmex,Epigaeic,Exotic,Cuba,
Acromyrmex_octospinosus,Acromyrmex,Epigaeic,Exotic,Lesser Antilles,
Acromyrmex_octospinosus cubanus,Acromyrmex,Epigaeic,Exotic,Cuba,
Adelomyrmex_myops,Adelomyrmex,Epigaeic & Hypogaeic,Exotic,Galapagos Islands,
Amblyopone_australis,Amblyopone,Epigaeic & Hypogaeic,Exotic,Caroline Islands,
Amblyopone_australis,Amblyopone,Epigaeic & Hypogaeic,Exotic,New Zealand,
Anochetus_emarginatus,Anochetus,Arboreal & Epigaeic,Exotic,Bahamas,
Anochetus_ghilianii,Anochetus,Arboreal & Epigaeic,Exotic,Spain,
Anochetus_graeffei,Anochetus,Arboreal & Epigaeic,Exotic,Bismarck Archipelago,
Anochetus_graeffei,Anochetus,Arboreal & Epigaeic,Exotic,Caroline Islands,
Anochetus_graeffei,Anochetus,Arboreal & Epigaeic,Exotic,Cook Islands,
Anochetus_graeffei,Anochetus,Arboreal & Epigaeic,Exotic,Fiji,
Anochetus_graeffei,Anochetus,Arboreal & Epigaeic,Exotic,Kiribati,
Anochetus_graeffei,Anochetus,Arboreal & Epigaeic,Exotic,Mariana Islands,
Anochetus_graeffei,Anochetus,Arboreal & Epigaeic,Exotic,New Caledonia,
Anochetus_graeffei,Anochetus,Arboreal & Epigaeic,Exotic,New Guinea,
Anochetus_graeffei,Anochetus,Arboreal & Epigaeic,Exotic,New South Wales,
Anochetus_graeffei,Anochetus,Arboreal & Epigaeic,Exotic,North Western Australia,
Anochetus_graeffei,Anochetus,Arboreal & Epigaeic,Exotic,Northern Territory,
Anochetus_graeffei,Anochetus,Arboreal & Epigaeic,Exotic,Palau,
Anochetus_graeffei,Anochetus,Arboreal & Epigaeic,Exotic,Queensland,
Anochetus_graeffei,Anochetus,Arboreal & Epigaeic,Exotic,Samoan Islands,
Anochetus_graeffei,Anochetus,Arboreal & Epigaeic,Exotic,Seychelles,
Anochetus_graeffei,Anochetus,Arboreal & Epigaeic,Exotic,Society Islands,
Anochetus_graeffei,Anochetus,Arboreal & Epigaeic,Exotic,Solomon Islands,
Anochetus_graeffei,Anochetus,Arboreal & Epigaeic,Exotic,South Africa,
Anochetus_graeffei,Anochetus,Arboreal & Epigaeic,Exotic,Tokelau,
Anochetus_graeffei,Anochetus,Arboreal & Epigaeic,Exotic,Tonga,
Anochetus_graeffei,Anochetus,Arboreal & Epigaeic,Exotic,Vanuatu,
Anochetus_graeffei,Anochetus,Arboreal & Epigaeic,Exotic,Wallis and Futuna,
