"Phy","fixer","num_introduced","total_area_introduced","total_area_native","lat_native","abs_lat_native","annual","uses_num_uses","submitted_name","matched_name","data_source_title","score","num_words","diff"
"Abarema auriculata",1,0,0,3.66e+12,-3.56153462,3.56153462,0,0,"Abarema auriculata","Abarema auriculata","Wikispecies",0.988,2,TRUE
"Abarema barbouriana",1,0,0,4.22e+12,-0.21255016,0.21255016,0,0,"Abarema barbouriana","Abarema barbouriana","Wikispecies",0.988,2,TRUE
"Abarema brachystachya",1,0,0,4.9e+11,-23.22507591,23.22507591,0,0,"Abarema brachystachya","Abarema brachystachya","Wikispecies",0.988,2,TRUE
"Abarema campestris",1,0,0,NA,NA,NA,0,0,"Abarema campestris","Abarema campestris","Wikispecies",0.988,2,TRUE
"Abarema cochleata",1,0,0,3.13e+12,-4.22237921,4.22237921,0,0,"Abarema cochleata","Abarema cochleata","Wikispecies",0.988,2,TRUE
"Abarema cochliocarpos",1,0,0,6.04e+11,-17.33272236,17.33272236,0,0,"Abarema cochliocarpos","Abarema cochliocarpos","Freebase",0.988,2,TRUE
"Abarema filamentosa",1,0,0,NA,NA,NA,0,0,"Abarema filamentosa","Abarema filamentosa","Wikispecies",0.988,2,TRUE
"Abarema floribunda",1,0,0,4.38e+12,-2.89143378,2.89143378,0,0,"Abarema floribunda","Abarema floribunda","Wikispecies",0.988,2,TRUE
"Abarema jupunba",1,0,0,6.4e+12,-7.07229421,7.07229421,0,0,"Abarema jupunba","Abarema jupunba","Wikispecies",0.988,2,TRUE
"Abarema macradenia",1,0,0,2.46e+12,11.16642911,11.16642911,0,0,"Abarema macradenia","Abarema macradenia","Wikispecies",0.988,2,TRUE
"Abarema piresii",1,0,0,2.8e+12,-4.11243055,4.11243055,0,0,"Abarema piresii","Abarema piresii","National Center for Biotechnology Information",0.988,2,TRUE
"Abarema turbinata",1,0,0,5.6e+11,-12.4751082,12.4751082,0,0,"Abarema turbinata","Abarema turbinata","Wikispecies",0.988,2,TRUE
