"","genus","subfamily"
"1","Acanthognathus","Myrmicinae"
"2","Acanthomyrmex","Myrmicinae"
"3","Acanthoponera","Ponerinae"
"4","Acanthostichus","Cerapachyinae"
"5","Acromyrmex","Myrmicinae"
"6","Acropyga","Formicinae"
"7","Adelomyrmex","Myrmicinae"
"8","Adetomyrma","Ponerinae"
"9","Adlerzia","Myrmicinae"
"10","Aenictogiton","Aenictogitoninae"
"11","Aenictus","Aenictinae"
"12","Agraulomyrmex","Formicinae"
"13","Alloformica","Formicinae"
"14","Allomerus","Myrmicinae"
"15","Amblyopone","Ponerinae"
"16","Ancyridris","Myrmicinae"
"17","Aneuretus","Aneuretinae"
"18","Anillidris","Dolichoderinae"
"19","Anillomyrma","Myrmicinae"
"20","Ankylomyrma","Myrmicinae"
"21","Anochetus","Ponerinae"
"22","Anomalomyrma","Leptanillinae"
"23","Anonychomyrma","Dolichoderinae"
"24","Anoplolepis","Formicinae"
"25","Aphaenogaster","Myrmicinae"
"26","Aphomomyrmex","Formicinae"
"27","Apomyrma","Apomyrminae"
"28","Apterostigma","Myrmicinae"
"29","Aptinoma",NA
"30","Aretidris",NA
"31","Arnoldius",NA
"32","Asphinctopone","Ponerinae"
"33","Atopomyrmex","Myrmicinae"
"34","Atta","Myrmicinae"
"35","Aulacopone","Ponerinae"
"36","Austromorium",NA
"37","Austroponera",NA
"38","Axinidris","Dolichoderinae"
"39","Azteca","Dolichoderinae"
"40","Bajcaridris","Formicinae"
"41","Bannapone",NA
"42","Baracidris","Myrmicinae"
"43","Bariamyrma","Myrmicinae"
"44","Basiceros","Myrmicinae"
"45","Belonopelta","Ponerinae"
"46","Blepharidatta","Myrmicinae"
"47","Boloponera",NA
"48","Bondroitia","Myrmicinae"
"49","Bothriomyrmex","Dolichoderinae"
"50","Bothroponera",NA
"51","Brachymyrmex","Formicinae"
"52","Brachyponera",NA
"53","Bregmatomyrma","Formicinae"
"54","Buniapone",NA
"55","Calomyrmex","Formicinae"
"56","Calyptomyrmex","Myrmicinae"
"57","Camponotus","Formicinae"
"58","Cardiocondyla","Myrmicinae"
"59","Carebara","Myrmicinae"
"60","Cataglyphis","Formicinae"
"61","Cataglyphoides",NA
"62","Cataulacus","Myrmicinae"
"63","Centromyrmex","Ponerinae"
"64","Cephalotes","Myrmicinae"
"65","Cerapachys","Cerapachyinae"
"66","Chalepoxenus","Myrmicinae"
"67","Chelaner",NA
"68","Cheliomyrmex","Ecitoninae"
"69","Chimaeridris","Myrmicinae"
"70","Chronoxenus",NA
"71","Chrysapace",NA
"72","Cladomyrma","Formicinae"
"73","Colobopsis","Myrmicinae"
"74","Colobostruma","Myrmicinae"
"75","Crematogaster","Myrmicinae"
"76","Cryptomyrmex",NA
"77","Cryptopone","Ponerinae"
"78","Ctenobethylus",NA
"79","Cyatta",NA
"80","Cylindromyrmex","Cerapachyinae"
"81","Cyphoidris","Myrmicinae"
"82","Cyphomyrmex","Myrmicinae"
"83","Dacatria","Myrmicinae"
"84","Dacetinops","Myrmicinae"
"85","Daceton","Myrmicinae"
"86","Decamorium","Myrmicinae"
"87","Diacamma","Ponerinae"
"88","Diaphoromyrma",NA
"89","Dicroaspis","Myrmicinae"
"90","Dilobocondyla","Myrmicinae"
"91","Dinomyrmex",NA
"92","Dinoponera","Ponerinae"
"93","Diplomorium","Myrmicinae"
"94","Discothyrea","Ponerinae"
"95","Dlusskyidris","Sphecomyrminae"
"96","Doleromyrma","Dolichoderinae"
"97","Dolichoderus","Dolichoderinae"
"98","Dolioponera","Ponerinae"
"99","Dolopomyrmex",NA
"100","Dorylus","Dorylinae"
"101","Dorymyrmex","Dolichoderinae"
"102","Eburopone",NA
"103","Echinopla","Formicinae"
"104","Eciton","Ecitoninae"
"105","Ecphorella","Dolichoderinae"
"106","Ectatomma","Ponerinae"
"107","Ectomomyrmex",NA
"108","Emeryopone","Ponerinae"
"109","Eoformica","Myrmicinae"
"110","Epelysidris","Myrmicinae"
"111","Epopostruma","Myrmicinae"
"112","Erromyrma",NA
"113","Eulithomyrmex","Myrmicinae"
"114","Euponera",NA
"115","Euprenolepis","Formicinae"
"116","Eurhopalothrix","Myrmicinae"
"117","Eusphinctus",NA
"118","Eutetramorium","Myrmicinae"
"119","Feroponera",NA
"120","Fisheropone",NA
"121","Forelius","Dolichoderinae"
"122","Forelophilus","Formicinae"
"123","Formica","Formicinae"
"124","Formicoxenus","Myrmicinae"
"125","Formosimyrma",NA
"126","Froggattella","Dolichoderinae"
"127","Fulakora","Formicinae"
"128","Furcotanilla",NA
"129","Gaoligongidris",NA
"130","Gauromyrmex",NA
"131","Gesomyrmex","Formicinae"
"132","Gigantiops","Formicinae"
"133","Gnamptogenys","Ponerinae"
"134","Goniomma","Myrmicinae"
"135","Gracilidris",NA
"136","Hagensia",NA
"137","Harpagoxenus","Myrmicinae"
"138","Harpegnathos","Ponerinae"
"139","Heteroponera","Ponerinae"
"140","Huberia","Myrmicinae"
"141","Hylomyrma","Myrmicinae"
"142","Hypoponera","Ponerinae"
"143","Iberoformica",NA
"144","Indomyrma","Myrmicinae"
"145","Iridomyrmex","Dolichoderinae"
"146","Iroponera",NA
"147","Ishakidris","Myrmicinae"
"148","Kalathomyrmex",NA
"149","Kartidris","Myrmicinae"
"150","Kempfidris",NA
"151","Labidus","Ecitoninae"
"152","Lachnomyrmex","Myrmicinae"
"153","Lasiomyrma",NA
"154","Lasiophanes","Formicinae"
"155","Lasius","Formicinae"
"156","Lenomyrmex","Myrmicinae"
"157","Lepisiota","Formicinae"
"158","Leptanilla","Leptanillinae"
"159","Leptanilloides","Leptanilloidinae"
"160","Leptogenys","Ponerinae"
"161","Leptomyrmex","Dolichoderinae"
"162","Leptothorax","Myrmicinae"
"163","Linepithema","Dolichoderinae"
"164","Liometopum","Dolichoderinae"
"165","Liomyrmex","Myrmicinae"
"166","Lioponera",NA
"167","Lividopone",NA
"168","Loboponera",NA
"169","Lophomyrmex","Myrmicinae"
"170","Lordomyrma","Myrmicinae"
"171","Loweriella","Dolichoderinae"
"172","Malagidris",NA
"173","Manica","Myrmicinae"
"174","Martialis",NA
"175","Mayaponera",NA
"176","Mayriella","Myrmicinae"
"177","Megalomyrmex","Myrmicinae"
"178","Megaponera","Abraeinae"
"179","Melissotarsus","Myrmicinae"
"180","Melophorus","Formicinae"
"181","Meranoplus","Myrmicinae"
"182","Mesoponera",NA
"183","Mesostruma","Myrmicinae"
"184","Messor","Myrmicinae"
"185","Metapone","Myrmicinae"
"186","Microdaceton","Myrmicinae"
"187","Monomorium","Myrmicinae"
"188","Mycetagroicus",NA
"189","Mycetarotes","Myrmicinae"
"190","Mycetomoellerius",NA
"191","Mycetophylax","Myrmicinae"
"192","Mycetosoritis","Myrmicinae"
"193","Mycocepurus","Myrmicinae"
"194","Myopias","Ponerinae"
"195","Myopopone","Ponerinae"
"196","Myrcidris","Pseudomyrmecinae"
"197","Myrmecia","Myrmeciinae"
"198","Myrmecina","Myrmicinae"
"199","Myrmecocystus","Formicinae"
"200","Myrmecorhynchus","Formicinae"
"201","Myrmelachista","Formicinae"
"202","Myrmica","Myrmicinae"
"203","Myrmicaria","Myrmicinae"
"204","Myrmicocrypta","Myrmicinae"
"205","Myrmoteras","Formicinae"
"206","Myrmoxenus",NA
"207","Mystrium","Ponerinae"
"208","Nebothriomyrmex",NA
"209","Neivamyrmex","Ecitoninae"
"210","Neocerapachys",NA
"211","Neoponera",NA
"212","Nesomyrmex",NA
"213","Nomamyrmex","Ecitoninae"
"214","Noonilla","Leptanillinae"
"215","Nothomyrmecia","Nothomyrmeciinae"
"216","Notoncus","Formicinae"
"217","Notostigma","Formicinae"
"218","Novomessor",NA
"219","Nylanderia",NA
"220","Ochetellus","Dolichoderinae"
"221","Ochetomyrmex","Myrmicinae"
"222","Octostruma","Myrmicinae"
"223","Ocymyrmex","Myrmicinae"
"224","Odontomachus","Ponerinae"
"225","Odontoponera","Ponerinae"
"226","Oecophylla","Formicinae"
"227","Onychomyrmex","Ponerinae"
"228","Ooceraea",NA
"229","Opamyrma",NA
"230","Ophthalmopone",NA
"231","Opisthopsis","Formicinae"
"232","Orectognathus","Myrmicinae"
"233","Overbeckia","Formicinae"
"234","Oxyepoecus","Myrmicinae"
"235","Oxyopomyrmex","Myrmicinae"
"236","Pachycondyla","Ponerinae"
"237","Paltothyreus",NA
"238","Papyrius","Dolichoderinae"
"239","Paramycetophylax",NA
"240","Paraparatrechina",NA
"241","Paraponera","Ponerinae"
"242","Parasyscia",NA
"243","Paratopula","Myrmicinae"
"244","Paratrachymyrmex",NA
"245","Paratrechina","Formicinae"
"246","Parvaponera",NA
"247","Patagonomyrmex",NA
"248","Perissomyrmex","Myrmicinae"
"249","Peronomyrmex","Myrmicinae"
"250","Petalomyrmex","Formicinae"
"251","Phalacromyrmex","Myrmicinae"
"252","Phasmomyrmex","Formicinae"
"253","Phaulomyrma","Leptanillinae"
"254","Pheidole","Myrmicinae"
"255","Philidris","Dolichoderinae"
"256","Phrynoponera","Ponerinae"
"257","Pilotrochus","Myrmicinae"
"258","Plagiolepis","Formicinae"
"259","Platythyrea","Ponerinae"
"260","Plectroctena","Ponerinae"
"261","Podomyrma","Myrmicinae"
"262","Poecilomyrma","Myrmicinae"
"263","Pogonomyrmex","Myrmicinae"
"264","Polyergus","Formicinae"
"265","Polyrhachis","Formicinae"
"266","Ponera","Ponerinae"
"267","Prenolepis","Formicinae"
"268","Prionopelta","Ponerinae"
"269","Pristomyrmex","Myrmicinae"
"270","Proatta","Myrmicinae"
"271","Probolomyrmex","Ponerinae"
"272","Proceratium","Ponerinae"
"273","Procryptocerus","Myrmicinae"
"274","Proformica","Formicinae"
"275","Prolasius","Formicinae"
"276","Promyopias",NA
"277","Propodilobus",NA
"278","Protalaridris","Myrmicinae"
"279","Protanilla","Leptanillinae"
"280","Protazteca","Dolichoderinae"
"281","Psalidomyrmex","Ponerinae"
"282","Pseudoatta","Myrmicinae"
"283","Pseudolasius","Formicinae"
"284","Pseudomyrmex","Pseudomyrmecinae"
"285","Pseudoneoponera",NA
"286","Pseudonotoncus","Formicinae"
"287","Pseudoponera",NA
"288","Rasopone",NA
"289","Ravavy",NA
"290","Recurvidris","Myrmicinae"
"291","Rhopalomastix","Myrmicinae"
"292","Rhopalothrix","Myrmicinae"
"293","Rhoptromyrmex","Myrmicinae"
"294","Rhytidoponera","Ponerinae"
"295","Rogeria","Myrmicinae"
"296","Romblonella","Myrmicinae"
"297","Rossomyrmex","Formicinae"
"298","Rostromyrmex","Myrmicinae"
"299","Rotastruma","Myrmicinae"
"300","Royidris",NA
"301","Santschiella","Formicinae"
"302","Scyphodon","Leptanillinae"
"303","Secostruma","Myrmicinae"
"304","Sericomyrmex","Myrmicinae"
"305","Sicilomyrmex","Formicinae"
"306","Simopelta","Ponerinae"
"307","Simopone","Cerapachyinae"
"308","Solenopsis","Myrmicinae"
"309","Sphinctomyrmex","Cerapachyinae"
"310","Stegomyrmex","Myrmicinae"
"311","Stenamma","Myrmicinae"
"312","Stereomyrmex","Myrmicinae"
"313","Stigmacros","Formicinae"
"314","Stigmatomma",NA
"315","Streblognathus","Ponerinae"
"316","Strongylognathus","Myrmicinae"
"317","Strumigenys","Myrmicinae"
"318","Syllophopsis",NA
"319","Syscia",NA
"320","Talaridris","Myrmicinae"
"321","Tanipone",NA
"322","Tapinolepis",NA
"323","Tapinoma","Dolichoderinae"
"324","Tatuidris","Myrmicinae"
"325","Technomyrmex","Dolichoderinae"
"326","Temnothorax",NA
"327","Terataner","Myrmicinae"
"328","Teratomyrmex","Formicinae"
"329","Tetheamyrma","Myrmicinae"
"330","Tetramorium","Myrmicinae"
"331","Tetraponera","Pseudomyrmecinae"
"332","Thaumatomyrmex","Ponerinae"
"333","Trachymyrmex","Myrmicinae"
"334","Tranopelta","Myrmicinae"
"335","Trichomyrmex",NA
"336","Tropidomyrmex",NA
"337","Turneria","Dolichoderinae"
"338","Typhlomyrmex","Ponerinae"
"339","Tyrannomyrmex",NA
"340","Veromessor",NA
"341","Vicinopone",NA
