"","x"
"1","Dacetonini"
"2","Dacetonini"
"3","Dacetonini"
"4","Dacetonini"
"5","Myrmecinini"
"6",NA
"7",NA
"8","Myrmecinini"
"9",NA
"10","Ectatommini"
"11","Acanthostichini"
"12","Acanthostichini"
"13",NA
"14","Acanthostichini"
"15","Acanthostichini"
"16","Attini"
"17",NA
"18","Attini"
"19","Attini"
"20","Attini"
"21","Attini"
"22","Attini"
"23",NA
"24","Attini"
"25","Attini"
"26","Attini"
"27",NA
"28","Attini"
"29","Attini"
"30","Attini"
"31","Attini"
"32","Attini"
"33","Attini"
"34","Attini"
"35","Attini"
"36","Attini"
"37","Attini"
"38","Attini"
"39","Attini"
"40",NA
"41","Plagiolepidini"
"42","Plagiolepidini"
"43",NA
"44",NA
"45","Plagiolepidini"
"46","Plagiolepidini"
"47","Plagiolepidini"
"48","Plagiolepidini"
"49","Plagiolepidini"
"50",NA
"51",NA
"52","Plagiolepidini"
"53","Plagiolepidini"
"54","Plagiolepidini"
"55","Plagiolepidini"
"56",NA
"57",NA
"58",NA
"59","Stenammini"
"60","Stenammini"
"61","Amblyoponini"
"62","Pheidologetonini"
"63",NA
"64",NA
"65",NA
"66",NA
"67",NA
"68",NA
"69",NA
"70",NA
"71",NA
"72",NA
"73",NA
"74",NA
"75",NA
"76",NA
"77",NA
"78",NA
"79",NA
"80",NA
"81",NA
"82",NA
"83",NA
"84",NA
"85",NA
"86",NA
"87",NA
"88",NA
"89",NA
"90",NA
"91",NA
"92",NA
"93",NA
"94",NA
"95",NA
"96",NA
"97",NA
"98",NA
"99",NA
"100",NA
"101",NA
"102",NA
"103",NA
"104",NA
"105",NA
"106",NA
"107",NA
"108",NA
"109",NA
"110",NA
"111",NA
"112",NA
"113",NA
"114",NA
"115",NA
"116",NA
"117",NA
"118",NA
"119",NA
"120",NA
"121",NA
"122",NA
"123",NA
"124",NA
"125",NA
"126",NA
"127",NA
"128",NA
"129",NA
"130",NA
"131",NA
"132",NA
"133","Plagiolepidini"
"134","Plagiolepidini"
"135",NA
"136","Solenopsidini"
"137","Solenopsidini"
"138","Amblyoponini"
"139",NA
"140",NA
"141","Solenopsidini"
"142","Solenopsidini"
"143","Ponerini"
"144","Ponerini"
"145","Ponerini"
"146",NA
"147",NA
"148","Ponerini"
"149","Ponerini"
"150","Ponerini"
"151","Ponerini"
"152","Ponerini"
"153","Ponerini"
"154",NA
"155","Ponerini"
"156","Ponerini"
"157","Ponerini"
"158","Ponerini"
"159",NA
"160",NA
"161","Ponerini"
"162","Ponerini"
"163",NA
"164","Ponerini"
"165","Ponerini"
"166",NA
"167","Ponerini"
"168","Ponerini"
"169","Ponerini"
"170",NA
"171",NA
"172","Ponerini"
"173","Ponerini"
"174","Ponerini"
"175","Ponerini"
"176","Ponerini"
"177",NA
"178",NA
"179",NA
"180",NA
"181","Anomalomyrmini"
"182",NA
"183",NA
"184",NA
"185",NA
"186",NA
"187",NA
"188","Plagiolepidini"
"189","Plagiolepidini"
"190",NA
"191","Plagiolepidini"
"192","Plagiolepidini"
"193","Plagiolepidini"
"194",NA
"195","Pheidolini"
"196","Pheidolini"
"197","Pheidolini"
"198","Pheidolini"
"199",NA
"200","Pheidolini"
"201","Pheidolini"
"202","Pheidolini"
"203","Pheidolini"
"204","Pheidolini"
"205","Pheidolini"
"206",NA
"207","Pheidolini"
"208","Pheidolini"
"209","Pheidolini"
"210","Pheidolini"
"211",NA
"212","Pheidolini"
"213","Pheidolini"
"214","Pheidolini"
"215","Pheidolini"
"216","Pheidolini"
"217","Pheidolini"
"218","Pheidolini"
"219","Pheidolini"
"220","Pheidolini"
"221","Pheidolini"
"222","Pheidolini"
"223",NA
"224",NA
"225","Pheidolini"
"226",NA
"227","Pheidolini"
"228",NA
"229",NA
"230","Pheidolini"
"231","Pheidolini"
"232","Pheidolini"
"233","Pheidolini"
"234","Pheidolini"
"235","Pheidolini"
"236","Pheidolini"
"237","Pheidolini"
